1024 29886
937 1009 1
36 1009 310
732 937 324
623 1009 156
36 291 856
937 973 993
719 732 98
222 1009 818
97 623 69
36 431 717
291 346 314
617 937 196
384 973 132
732 794 202
719 751 245
948 1009 971
222 789 778
623 1012 602
97 619 108
36 72 396
287 431 563
291 911 84
231 346 883
713 937 134
617 633 11
227 973 37
250 384 114
732 925 775
604 794 224
507 719 463
439 751 517
474 1009 678
390 948 829
222 882 342
786 789 185
472 623 295
692 1012 873
97 349 749
569 619 999
36 271 497
72 306 397
388 431 663
242 287 187
291 673 370
351 911 864
188 346 833
231 278 415
312 937 407
272 713 194
617 664 737
379 633 164
416 973 675
227 921 248
384 665 514
250 484 489
406 732 419
34 925 772
339 794 573
210 604 162
555 719 939
499 507 676
451 751 849
439 502 3
990 1009 438
474 715 308
253 948 259
390 797 758
16 222 955
645 882 985
694 789 391
786 997 505
623 871 584
472 898 284
381 1012 23
692 919 217
97 762 672
349 368 968
619 918 729
569 763 31
36 205 820
271 784 366
72 745 1023
279 306 691
414 431 8
388 1019 1005
287 632 518
125 242 1017
14 291 50
398 673 534
215 911 150
351 590 328
94 346 54
95 188 542
231 252 930
256 278 653
931 937 556
312 488 293
511 713 915
272 683 273
154 617 427
664 913 238
616 633 525
379 744 961
47 973 35
57 416 362
227 553 539
921 927 466
384 512 494
286 665 718
56 250 671
484 530 299
241 732 787
68 406 13
426 925 333
34 73 680
794 805 790
339 552 637
604 705 436
210 888 869
99 719 743
555 682 962
229 507 592
111 499 100
677 751 27
212 451 268
274 439 228
502 606 425
782 1009 809
754 990 902
20 474 687
105 715 551
204 948 258
253 944 506
380 390 10
389 797 110
222 801 135
16 967 965
621 882 5
645 657 846
746 789 263
694 825 667
235 786 916
956 997 554
623 668 367
647 871 557
86 472 171
486 898 395
979 1012 635
381 589 987
692 908 413
457 919 562
70 97 52
762 992 192
77 349 785
368 814 375
186 619 832
535 918 347
378 569 641
323 763 909
36 978 938
205 485 167
271 837 625
382 784 29
72 757 133
654 745 142
66 306 1006
279 932 355
120 431 960
414 847 364
92 388 644
824 1019 393
287 816 972
632 926 560
242 827 940
125 345 360
165 291 643
14 421 508
402 673 924
145 398 795
586 911 885
191 215 30
254 351 970
528 590 461
74 346 199
94 798 55
188 558 174
95 686 2
139 231 607
226 252 103
278 907 441
256 576 835
858 937 75
371 931 980
312 564 571
488 892 403
713 974 549
43 511 206
272 877 471
173 683 977
79 617 392
154 874 831
298 664 326
452 913 58
87 633 881
616 648 661
379 636 702
257 744 651
276 973 115
47 728 372
123 416 681
57 565 297
227 793 736
180 553 540
294 921 613
578 927 356
201 384 655
512 727 153
538 665 776
286 634 807
250 296 747
56 479 669
484 857 543
93 530 509
147 732 46
241 620 48
406 791 464
68 207 804
698 925 868
426 544 178
34 580 353
73 929 232
794 1010 1000
277 805 478
322 339 412
301 552 575
138 604 701
705 844 526
210 867 1022
888 893 454
719 876 325
99 812 861
555 742 792
361 682 779
126 507 385
229 470 433
317 499 131
111 587 697
462 751 839
677 725 387
90 451 233
143 212 62
439 764 986
274 536 696
502 720 149
606 935 860
469 1009 890
445 782 1004
788 990 726
559 754 270
230 474 815
20 811 658
179 715 752
105 344 124
838 948 159
182 204 684
253 994 160
759 944 408
352 390 38
380 455 519
264 797 624
260 389 334
222 1007 695
468 801 157
16 981 59
967 975 841
882 1015 1021
621 630 950
144 645 67
657 914 102
285 789 851
746 954 83
383 694 593
765 825 329
446 786 600
88 235 420
796 997 852
280 956 340
623 756 905
60 668 121
456 871 265
437 647 476
472 631 405
86 739 894
249 898 218
330 486 808
140 1012 917
976 979 401
381 806 175
327 589 269
692 946 685
266 908 261
307 919 966
457 840 292
97 842 875
70 168 151
491 762 311
189 992 652
136 349 399
77 928 337
368 608 891
814 870 211
460 619 448
186 660 880
163 918 7
12 535 42
459 569 373
122 378 826
521 763 53
323 458 482
36 410 769
177 978 320
116 205 155
473 485 26
197 271 900
78 837 803
709 784 49
213 382 595
72 522 223
118 757 570
745 854 341
654 712 22
306 527 611
66 699 483
81 279 490
404 932 933
431 646 504
120 146 148
414 434 996
6 847 609
63 388 642
92 958 262
316 1019 198
824 964 358
287 957 89
816 901 290
632 862 335
541 926 267
128 242 498
240 827 781
125 219 734
345 953 475
291 810 423
45 165 561
14 65 208
158 421 897
243 673 731
402 766 774
398 520 853
145 172 823
706 911 819
586 942 365
195 215 690
191 895 610
255 351 741
254 773 119
590 1013 568
528 887 304
346 1020 529
74 181 638
94 546 670
33 798 44
85 188 767
127 558 129
95 627 354
214 686 336
231 679 572
139 283 822
51 252 850
226 581 941
82 278 221
487 907 19
237 256 904
576 845 735
113 937 910
855 858 991
331 931 688
371 582 532
312 738 17
386 564 40
450 488 943
547 892 952
28 713 1001
246 974 884
496 511 603
43 896 656
272 428 303
877 920 865
166 683 234
173 707 203
617 817 141
79 495 442
154 585 449
531 874 923
200 664 435
298 988 480
722 913 376
216 452 104
513 633 447
87 598 184
616 662 949
275 648 319
379 492 550
636 710 969
700 744 626
9 257 566
377 973 417
276 936 703
47 659 430
281 728 282
416 889 597
123 516 117
57 984 41
565 771 91
227 1002 599
793 922 594
553 596 500
161 180 24
859 921 533
294 650 639
548 927 313
209 578 309
384 409 18
201 813 866
512 674 899
727 777 477
665 982 545
538 995 945
286 878 493
634 780 666
101 250 357
296 591 574
56 305 711
369 479 879
484 750 843
453 857 912
530 640 152
93 501 588
239 732 193
147 315 628
241 951 730
289 620 612
332 406 1014
302 791 251
68 515 830
112 207 418
723 925 959
698 704 71
426 947 836
225 544 503
34 903 424
580 828 834
73 130 1003
481 929 190
601 794 848
394 1010 107
422 805 622
21 277 799
170 339 411
322 998 25
552 802 821
301 934 444
604 716 714
138 768 244
705 800 886
844 906 872
210 753 32
605 867 963
220 888 467
721 893 579
169 719 400
689 876 440
99 348 183
64 812 614
432 555 429
742 1018 863
106 682 338
361 374 96
176 507 39
126 693 343
229 618 761
470 708 733
499 537 109
300 317 748
111 321 615
587 783 61
76 751 318
462 1024 983
465 677 1011
510 725 629
451 577 1008
90 236 80
4 212 350
143 1016 524
247 439 740
649 764 989
274 583 363
536 770 760
137 502 359
15 720 288
606 755 523
443 935 567
551 863 1
20 706 310
452 605 324
168 811 156
358 853 856
117 969 993
228 244 98
455 801 818
122 840 69
434 1006 717
188 924 314
566 688 196
514 597 132
130 478 202
400 577 245
230 390 971
16 997 778
265 908 602
189 378 108
177 404 396
316 862 563
14 195 84
54 907 883
910 977 134
154 961 11
356 728 37
669 878 114
112 868 775
210 637 224
689 761 463
80 363 517
124 890 678
38 182 829
59 846 342
383 786 185
739 871 295
217 327 873
151 814 749
53 163 999
900 938 497
611 1023 397
146 642 663
219 901 187
243 810 370
819 887 864
2 798 833
19 226 415
738 855 407
203 656 194
104 817 737
257 598 164
47 117 675
356 922 248
286 409 514
93 669 489
241 332 419
225 834 772
25 107 573
604 893 162
348 432 939
39 615 676
350 387 849
502 740 3
724 726 438
752 815 308
253 258 259
38 334 758
16 1007 955
102 1021 985
263 694 391
280 446 505
367 476 584
894 898 284
381 976 23
840 946 217
311 875 672
399 891 968
535 660 729
641 763 31
26 978 820
709 900 366
757 854 1023
404 611 691
431 434 8
335 957 518
475 827 1017
14 643 50
520 924 534
195 942 150
255 590 328
346 546 54
2 127 542
231 941 930
19 576 653
488 571 293
43 884 915
428 707 273
495 531 427
298 722 238
275 513 525
651 710 961
728 936 35
41 597 362
553 594 539
309 639 466
201 899 494
776 780 718
296 305 671
640 857 299
48 315 787
791 830 13
836 959 333
828 1003 680
799 1000 790
322 575 637
244 872 436
467 963 869
99 325 743
682 742 962
126 761 592
61 317 100
677 839 27
236 1016 268
740 770 228
137 935 425
445 890 809
559 788 902
811 815 687
684 838 258
160 408 506
38 455 10
334 624 110
157 222 135
621 1015 5
67 914 846
83 789 263
329 593 667
235 600 916
340 997 554
60 623 367
265 647 557
631 894 171
917 979 635
269 806 987
685 908 413
292 307 562
97 151 52
337 399 785
211 608 375
619 660 832
373 826 641
53 458 909
36 320 938
116 485 167
78 900 625
49 213 29
223 757 133
22 854 142
483 611 1006
148 504 960
6 996 364
262 642 644
316 358 393
816 957 972
541 632 560
240 242 940
734 953 360
291 561 643
208 421 508
673 774 924
172 520 795
586 819 885
195 610 30
119 741 970
528 1013 461
638 1020 199
33 670 55
85 558 174
627 686 2
139 572 607
19 221 441
735 904 835
331 371 980
17 564 571
450 952 403
246 713 549
166 173 977
79 141 392
154 531 831
298 435 326
104 376 58
87 513 881
319 949 661
492 636 702
276 377 115
282 430 372
117 416 681
57 91 297
24 553 540
650 859 613
313 578 356
201 409 655
674 727 153
296 357 747
56 879 669
