256 32640
1 117 1
52 117 117
36 52 52
16 36 36
16 44 16
44 160 44
160 238 160
147 238 238
147 250 147
106 250 250
28 106 106
28 70 28
22 70 70
22 176 22
176 228 176
25 228 228
25 236 25
207 236 236
192 207 207
79 192 192
79 134 79
121 134 134
121 194 121
139 194 194
139 185 139
75 185 185
75 146 75
101 146 146
101 215 101
215 233 215
133 233 233
34 133 133
34 107 34
100 107 107
48 100 100
48 162 48
148 162 162
148 169 148
169 256 169
248 256 256
224 248 248
174 224 224
43 174 174
30 43 43
30 239 30
6 239 239
6 105 6
105 132 105
26 132 132
26 51 26
51 197 51
2 197 197
2 39 2
39 181 39
157 181 181
46 157 157
46 198 46
3 198 198
3 120 3
77 120 120
77 137 77
60 137 137
60 242 60
38 242 242
38 109 38
9 109 109
9 255 9
144 255 255
144 222 144
211 222 222
196 211 211
103 196 196
103 170 103
80 170 170
47 80 80
47 49 47
49 223 49
223 249 223
68 249 249
68 72 68
72 229 72
187 229 229
143 187 187
104 143 143
104 153 104
13 153 153
13 182 13
27 182 182
27 247 27
119 247 247
119 190 119
116 190 190
116 241 116
125 241 241
115 125 125
115 158 115
158 205 158
53 205 205
20 53 53
5 20 20
5 226 5
150 226 226
56 150 150
31 56 56
31 83 31
40 83 83
32 40 40
32 63 32
63 191 63
130 191 191
130 210 130
188 210 210
102 188 188
102 111 102
91 111 111
90 91 91
66 90 90
66 179 66
8 179 179
8 232 8
4 232 232
4 88 4
88 227 88
149 227 227
62 149 149
62 183 62
183 231 183
124 231 231
124 151 124
151 225 151
145 225 225
84 145 145
84 245 84
76 245 245
76 201 76
7 201 201
7 54 7
54 97 54
97 123 97
94 123 123
94 253 94
204 253 253
17 204 204
17 129 17
59 129 129
59 175 59
175 184 175
184 216 184
186 216 216
45 186 186
35 45 45
35 141 35
141 156 141
81 156 156
81 127 81
127 171 127
92 171 171
92 237 92
214 237 237
122 214 214
73 122 122
73 82 73
57 82 82
57 86 57
86 140 86
140 177 140
29 177 177
29 254 29
33 254 254
33 108 33
23 108 108
23 209 23
113 209 209
98 113 113
85 98 98
50 85 85
11 50 50
11 142 11
142 173 142
173 221 173
87 221 221
87 110 87
110 165 110
165 251 165
163 251 251
163 193 163
99 193 193
24 99 99
24 208 24
202 208 208
159 202 202
18 159 159
18 96 18
96 217 96
178 217 217
167 178 178
167 218 167
218 220 218
168 220 220
58 168 168
58 235 58
164 235 235
41 164 164
41 155 41
69 155 155
64 69 69
64 234 64
219 234 234
138 219 219
15 138 138
15 152 15
12 152 152
12 154 12
154 212 154
203 212 212
112 203 203
112 195 112
93 195 195
55 93 93
55 166 55
166 244 166
135 244 244
10 135 135
10 200 10
200 206 200
37 206 206
37 89 37
78 89 89
74 78 78
74 180 74
14 180 180
14 67 14
67 128 67
61 128 128
61 95 61
95 243 95
161 243 243
161 240 161
114 240 240
114 246 114
65 246 246
65 230 65
126 230 230
126 189 126
136 189 189
136 199 136
199 252 199
131 252 252
19 131 131
19 213 19
71 213 213
21 71 71
21 118 21
118 172 118
42 172 172
1 52 1
36 117 117
16 52 52
36 44 36
16 160 16
44 238 44
147 160 160
238 250 238
106 147 147
28 250 250
70 106 106
22 28 28
70 176 70
22 228 22
25 176 176
228 236 228
25 207 25
192 236 236
79 207 207
134 192 192
79 121 79
134 194 134
121 139 121
185 194 194
75 139 139
146 185 185
75 101 75
146 215 146
101 233 101
133 215 215
34 233 233
107 133 133
34 100 34
48 107 107
100 162 100
48 148 48
162 169 162
148 256 148
169 248 169
224 256 256
174 248 248
43 224 224
30 174 174
43 239 43
6 30 30
105 239 239
6 132 6
26 105 105
51 132 132
26 197 26
2 51 51
39 197 197
2 181 2
39 157 39
46 181 181
157 198 157
3 46 46
120 198 198
3 77 3
120 137 120
60 77 77
137 242 137
38 60 60
109 242 242
9 38 38
109 255 109
9 144 9
222 255 255
144 211 144
196 222 222
103 211 211
170 196 196
80 103 103
47 170 170
49 80 80
47 223 47
49 249 49
68 223 223
72 249 249
68 229 68
72 187 72
143 229 229
104 187 187
143 153 143
13 104 104
153 182 153
13 27 13
182 247 182
27 119 27
190 247 247
116 119 119
190 241 190
116 125 116
115 241 241
125 158 125
115 205 115
53 158 158
20 205 205
5 53 53
20 226 20
5 150 5
56 226 226
31 150 150
56 83 56
31 40 31
32 83 83
40 63 40
32 191 32
63 130 63
191 210 191
130 188 130
102 210 210
111 188 188
91 102 102
90 111 111
66 91 91
90 179 90
8 66 66
179 232 179
4 8 8
88 232 232
4 227 4
88 149 88
62 227 227
149 183 149
62 231 62
124 183 183
151 231 231
124 225 124
145 151 151
84 225 225
145 245 145
76 84 84
201 245 245
7 76 76
54 201 201
7 97 7
54 123 54
94 97 97
123 253 123
94 204 94
17 253 253
129 204 204
17 59 17
129 175 129
59 184 59
175 216 175
184 186 184
45 216 216
35 186 186
45 141 45
35 156 35
81 141 141
127 156 156
81 171 81
92 127 127
171 237 171
92 214 92
122 237 237
73 214 214
82 122 122
57 73 73
82 86 82
57 140 57
86 177 86
29 140 140
177 254 177
29 33 29
108 254 254
23 33 33
108 209 108
23 113 23
98 209 209
85 113 113
50 98 98
11 85 85
50 142 50
11 173 11
142 221 142
87 173 173
110 221 221
87 165 87
110 251 110
163 165 165
193 251 251
99 163 163
24 193 193
99 208 99
24 202 24
159 208 208
18 202 202
96 159 159
18 217 18
96 178 96
167 217 217
178 218 178
167 220 167
168 218 218
58 220 220
168 235 168
58 164 58
41 235 235
155 164 164
41 69 41
64 155 155
69 234 69
64 219 64
138 234 234
15 219 219
138 152 138
12 15 15
152 154 152
12 212 12
154 203 154
112 212 212
195 203 203
93 112 112
55 195 195
93 166 93
55 244 55
135 166 166
10 244 244
135 200 135
10 206 10
37 200 200
89 206 206
37 78 37
74 89 89
78 180 78
14 74 74
67 180 180
14 128 14
61 67 67
95 128 128
61 243 61
95 161 95
240 243 243
114 161 161
240 246 240
65 114 114
230 246 246
65 126 65
189 230 230
126 136 126
189 199 189
136 252 136
131 199 199
19 252 252
131 213 131
19 71 19
21 213 213
71 118 71
21 172 21
42 118 118
1 16 1
44 117 117
52 160 52
36 238 36
16 147 16
44 250 44
106 160 160
28 238 238
70 147 147
22 250 250
106 176 106
28 228 28
25 70 70
22 236 22
176 207 176
192 228 228
25 79 25
134 236 236
121 207 207
192 194 192
79 139 79
134 185 134
75 121 121
146 194 194
101 139 139
185 215 185
75 233 75
133 146 146
34 101 101
107 215 215
100 233 233
48 133 133
34 162 34
107 148 107
