4096 2047
469 3290 3756
2535 3614 4094
3967 3980 2499
363 3580 1848
2284 4081 2677
220 1113 3474
860 2146 3202
3509 3828 419
161 1873 1552
2611 3879 1867
336 1877 2251
1473 1808 1070
1883 2070 3695
2928 3063 981
720 2340 1955
555 2285 2046
145 438 351
1214 1279 3673
902 2841 3509
245 4029 842
1250 3939 1911
2943 3811 3633
326 3450 2276
2331 2911 2361
2085 3534 1995
2398 3165 1000
2198 2241 11
514 2476 3060
450 1077 1278
782 2792 1352
30 344 2101
958 975 2409
1390 2180 3410
1487 2760 1350
590 2724 4041
3 166 2048
1129 2740 3981
685 2577 2980
505 925 1865
1520 4057 3436
2527 2886 1074
740 4065 632
3338 3567 856
1429 2971 3531
249 2450 1718
1960 2310 2265
132 2782 1023
759 2171 2596
2953 3553 3978
2178 3622 2097
891 992 2636
3293 3497 3067
1944 3470 226
3044 3949 704
1074 2336 1469
170 851 3243
3132 3219 3171
2596 3827 3967
1018 2793 4019
370 3306 3807
467 2721 2853
2190 2777 819
1340 2061 4043
3447 4049 237
1570 2584 566
25 2081 404
2484 2755 2413
1656 3575 714
874 2631 1520
1917 2320 2517
41 331 860
1266 2879 3402
1509 1785 408
2091 3373 1254
665 2301 1131
264 492 3322
725 3515 2633
1278 3794 4077
1263 1475 1523
86 882 3316
909 3093 1936
2115 3995 4013
402 1247 3740
2551 3525 12
291 1432 3397
1189 1957 512
458 3891 1020
647 2657 1688
3333 3336 1203
293 3804 3195
1759 1949 762
1724 3032 390
1628 3052 3093
547 3324 446
1915 3709 84
2161 2872 2959
2744 3655 3550
47 3633 3711
1070 3677 3571
1064 1903 3728
3283 3629 1480
315 2470 4012
2089 3938 3527
1422 3241 1966
283 479 3707
493 3193 3142
1217 4069 2736
199 3255 563
417 2722 4074
369 2866 2802
1436 1655 3187
2205 2920 520
970 1000 2695
1233 2602 2083
1410 3599 3564
1055 3863 343
1045 4005 2193
121 3531 3611
785 1082 834
106 2155 2474
735 3651 3846
2050 2094 1578
2467 4003 2104
2353 2720 1798
2921 4010 2576
1995 3623 3058
1362 1602 1611
100 2220 263
818 2168 1556
2491 3042 2663
312 3344 275
1188 1442 2089
2691 4031 1999
949 1810 1075
272 2980 3227
812 1743 613
1174 3905 2641
2499 2637 1414
1401 3712 4072
1091 1211 1406
1322 2330 3207
117 2280 1992
960 3005 3851
3298 3493 3186
1901 3377 998
233 3423 610
58 757 551
2324 2367 3885
242 2802 4047
690 3275 2648
1967 3966 959
1288 3077 1047
1341 1381 1613
51 2510 1832
1874 2191 1284
699 1369 3897
3269 3708 1776
274 3942 150
1248 2612 352
1023 3718 2784
1595 2096 2554
825 2555 1098
879 3666 3652
2629 3392 2987
1379 3339 1988
319 3157 3276
763 3670 1980
948 3037 1069
915 2681 2450
3150 3322 1973
352 1793 425
1061 2518 209
2599 3479 1188
2123 3201 3444
1600 3700 200
1102 1415 3449
2199 3983 2210
348 2477 1856
1319 3315 533
2752 3445 522
886 1550 851
742 2701 2685
768 1885 1291
3475 3846 730
1186 1958 3600
2134 2806 629
1485 1817 3945
3323 4001 3959
1414 2076 48
1256 1811 3255
2579 3779 832
1498 2797 2182
726 3074 2570
511 1458 3544
2516 3014 4009
1848 1996 411
819 945 3495
541 4055 2428
358 1896 2996
306 1862 2849
935 3807 3744
702 2799 4053
2582 3669 1446
1198 3941 1213
5 75 2548
1480 2073 1631
1764 2830 994
1053 2197 1289
424 2890 3437
2325 3200 30
1547 3152 2486
415 1385 806
1395 3502 4007
1569 1884 3853
1338 3468 3231
1471 2441 1418
368 2288 671
251 3453 473
512 3407 524
1674 3302 2315
1738 1942 988
969 1562 1037
1455 2563 2670
3425 3962 1319
1421 2359 727
1965 3786 1632
625 1573 3990
1760 3257 3523
290 545 2601
1125 1521 852
1834 3408 894
189 856 2494
1795 3232 4016
2355 3292 4076
1165 2166 575
1446 2471 611
309 2179 2863
2656 3733 1764
666 961 3918
605 2005 2865
995 3756 1950
1621 2400 1012
2959 3742 3487
1745 2147 2568
3110 3357 147
1312 3404 2866
212 565 3467
471 3039 1788
1325 2401 403
2827 2931 311
3683 3707 1082
1670 1999 1363
892 2613 1555
1506 3972 846
3280 4037 1211
2154 2240 2300
2270 3800 3964
32 3663 3281
1108 2974 4025
59 1639 3542
3122 3823 3511
926 2399 2425
835 1294 1790
2763 3160 673
1497 3309 698
123 1284 3832
360 3261 3414
1305 3001 2719
1879 3361 207
2397 3894 1288
2487 3075 3965
366 1373 327
628 1399 1703
2726 3285 917
442 2871 3702
691 3527 3107
296 419 2318
600 1094 1846
871 1734 3274
609 3215 1757
2998 3934 1990
2835 2969 1751
2222 2732 1951
3726 3755 360
606 1798 2621
3089 4094 554
1571 1778 1292
620 3230 3730
2741 3448 3662
476 2935 787
303 3243 1961
1206 3224 3184
1009 3676 1543
487 3417 1108
1120 3277 595
1633 2540 2390
2013 3250 1997
1878 2671 3670
198 537 3239
2217 2653 3162
474 2459 2536
2949 3919 3928
923 2708 494
1180 3310 3201
1768 4014 3010
416 820 1609
772 3636 2661
722 3113 1698
61 1508 3080
3480 3944 926
2395 2854 1484
1413 1838 966
227 3163 1529
580 3998 3912
1419 3640 2794
3459 3898 2374
1966 2725 3939
1933 3926 218
3490 3933 1875
273 1515 2879
1371 2697 3951
2654 3703 1723
2430 3166 1396
472 836 466
542 2603 1818
678 3376 583
1755 3427 4031
2067 3369 665
45 2766 461
951 3785 76
2068 2937 4065
83 682 281
648 1117 1387
2646 3117 2223
1059 2007 1912
888 2916 273
2617 3020 372
1051 3550 913
217 2794 1220
2049 3540 333
49 3917 133
1339 3578 3101
270 916 1657
1666 3857 1409
933 3675 759
1417 2192 708
796 1864 1095
34 1551 3859
431 3837 3786
2308 3768 600
1142 2938 2690
1126 2883 3050
1517 2443 3614
1988 2765 3558
752 2738 464
3208 3451 2478
564 1976 718
321 1694 2894
908 3204 2286
50 255 3914
1231 1499 3879
188 269 134
2451 3047 73
1261 1624 2014
2996 3724 2528
398 1032 2501
827 2970 3310
2183 3740 2116
2517 3149 955
3106 3682 100
407 2074 1649
875 3297 1030
1572 2539 3323
1723 2215 2722
239 2321 2376
551 677 452
2547 2608 1729
976 1748 2960
1047 2947 1977
1488 3704 1264
552 2195 1571
1317 3699 2816
1956 2124 3644
448 2915 3969
1769 2733 256
1143 2820 1132
642 1608 2090
2633 3254 1889
129 2954 1513
116 987 1306
968 2798 2999
351 4030 128
2812 3465 1112
