8192 100000
4963 6656 3325
3807 4265 655
1329 7750 1329
690 1070 4551
2293 6436 6436
2697 5168 3249
5279 7269 2488
6135 8174 8174
2684 2815 1861
3469 7876 1295
6565 6641 2388
2012 2013 5256
3851 7894 7894
355 2819 355
4290 6856 814
5808 7979 5808
7217 7772 7772
6017 6252 6250
5264 6265 7080
7373 8156 4022
6973 8065 5107
3247 6498 1794
422 7304 7304
2472 6147 2143
1305 6416 7047
1705 5761 7710
427 2228 1102
1911 7743 7594
1392 1832 1392
4178 5120 1457
3265 7254 1922
2285 7262 2285
25 4953 25
2369 5808 5808
149 6624 3519
112 1348 1348
4314 6778 8083
2630 4833 4833
3411 5782 8142
1514 6960 6960
3340 6865 5079
452 5494 6970
4716 7749 6871
4347 7618 1778
2765 3069 2765
3336 4112 5794
1081 2230 1081
4454 6920 3289
5639 7239 7755
6430 6872 6430
1759 5082 2528
6654 7759 6594
607 5574 365
5028 7372 1422
1143 2743 1143
4090 4608 1081
7414 7711 2622
4193 7059 747
1100 7378 6158
1511 3997 5032
6903 7391 6126
4118 6259 834
453 6306 6843
1380 8014 3814
5494 8035 7684
433 3566 433
4376 5287 3889
404 3275 6926
60 182 182
4896 5887 7795
4507 8091 6316
360 4139 3687
1787 7270 7270
6141 7706 1365
5110 7748 5110
3509 6002 5890
584 2905 584
2313 3751 4553
2669 6200 1063
7597 7750 7750
1429 7331 1429
4604 8063 7595
9 7290 7595
1148 6855 4024
312 4911 7238
4947 6702 6302
3035 3991 5729
1056 5992 172
2869 5732 5732
2723 2924 2924
1964 6196 6196
4064 7450 7450
5494 7944 8117
4131 7440 286
2007 2622 2007
1329 3939 1329
5977 8069 5396
5073 5552 3659
5494 6636 2285
557 2765 253
3782 4967 813
5494 6370 6370
5548 5945 4994
1845 5481 1845
688 1253 3813
479 864 7405
6569 7086 6569
2563 6009 5859
2393 6166 1138
2644 4581 6374
722 2643 1965
2577 3484 3484
1511 6845 6845
5483 7112 729
2481 5155 1912
883 4139 4857
668 7666 286
209 1817 7750
4143 6478 7173
1147 6578 182
4035 4136 554
5063 5983 6875
625 2477 5079
6483 7568 7568
4312 6583 586
685 7862 2249
1178 5494 1229
1878 5212 6415
1568 2040 2405
2868 7587 8055
3521 6444 4407
5196 5791 2847
603 5497 603
596 2919 1215
4718 7811 1262
5600 7688 962
5409 6908 5409
660 1277 660
5331 5910 5910
4078 6731 6100
3692 5126 5126
5670 8184 3299
1193 5859 7594
1040 5873 7026
3438 7159 6112
1869 7260 3933
2061 3389 7227
1305 2179 2179
1217 3078 686
4418 5841 4020
1577 4625 1114
6149 7679 463
4712 5664 4712
1983 5194 1176
1800 2178 1822
1070 6090 7934
459 5486 5301
166 5704 1649
2908 5755 4325
