1024 47477
242 502 242
174 832 174
213 1020 206
198 217 198
193 306 186
50 708 50
809 976 802
122 310 122
949 950 942
10 72 10
439 919 434
38 432 38
326 329 322
621 896 614
67 291 62
488 844 482
18 270 18
53 966 46
74 312 74
3 127 1
345 954 338
208 875 202
254 1019 254
338 389 338
114 503 114
158 835 158
309 938 302
386 534 386
658 927 658
509 819 502
294 297 290
818 886 818
22 727 22
622 703 622
70 282 70
198 783 198
224 944 218
293 833 286
10 358 10
12 286 6
126 442 126
810 993 810
46 179 46
320 647 314
588 911 582
234 715 234
473 1008 466
82 172 82
382 390 382
130 150 130
284 461 278
353 719 346
614 670 614
173 493 166
840 894 834
709 810 702
230 535 230
142 336 142
92 990 86
336 719 330
296 990 290
342 491 342
154 159 154
99 187 94
114 402 114
462 567 462
717 751 710
260 854 254
85 904 78
2 38 2
568 569 562
329 480 322
570 690 570
822 960 822
512 513 506
774 880 774
380 983 374
931 965 926
42 444 42
655 950 650
549 998 542
142 794 142
10 687 10
304 571 298
172 655 166
240 313 234
407 808 402
476 1022 470
457 970 450
114 885 114
77 726 70
46 47 42
290 551 290
819 847 814
18 50 18
138 276 138
39 267 34
2 680 2
269 942 262
12 637 6
122 226 122
719 721 714
508 533 502
586 822 586
134 657 134
389 722 382
408 409 402
794 797 790
118 637 118
854 947 854
234 572 234
857 1004 850
41 344 34
616 781 610
259 694 254
411 631 406
534 960 534
445 723 438
346 367 346
18 377 18
717 953 710
970 972 966
201 413 194
940 981 934
635 922 630
464 939 458
88 1022 82
912 926 906
4 594 1
210 389 210
851 959 846
113 554 106
802 813 802
2 325 2
399 596 394
109 1022 102
403 874 398
562 586 562
477 687 470
382 619 382
94 956 94
290 612 290
122 173 122
814 817 810
328 452 322
858 860 854
611 828 606
338 452 338
87 163 82
924 997 918
976 981 970
62 986 62
366 455 366
58 468 58
338 501 338
27 958 22
330 746 330
198 270 198
70 182 70
514 595 514
454 923 454
118 415 118
506 563 506
134 470 134
218 536 218
725 771 718
493 722 486
876 902 870
387 527 382
492 493 486
32 1022 26
207 423 202
388 803 382
395 537 390
70 758 70
464 494 458
916 1021 910
315 476 310
744 907 738
26 84 26
442 517 442
49 468 42
723 982 718
597 712 590
329 928 322
449 528 442
518 630 518
99 603 94
563 1012 558
38 654 38
72 267 66
31 471 26
313 1022 306
470 543 470
142 147 142
350 552 350
459 893 454
294 958 294
230 473 230
419 660 414
121 716 114
887 941 882
248 716 242
1 574 1
158 645 158
58 137 58
575 968 570
743 933 738
889 984 882
491 995 486
957 985 950
102 735 102
386 887 386
514 719 514
82 255 82
530 545 530
745 757 738
75 764 70
170 180 170
10 25 10
833 896 826
34 202 34
877 981 870
351 962 346
756 778 750
221 300 214
149 573 142
750 1012 750
498 606 498
42 298 42
24 673 18
887 987 882
159 740 154
162 266 162
47 383 42
110 877 110
469 763 462
223 594 218
217 918 210
933 1002 926
115 944 110
136 832 130
159 282 154
58 446 58
993 1024 986
160 362 154
394 480 394
254 320 254
202 239 202
80 736 74
42 235 42
636 828 630
217 577 210
740 908 734
22 655 22
644 978 638
176 177 170
158 243 158
515 714 510
280 340 274
169 489 162
254 325 254
181 457 174
254 826 254
921 967 914
34 317 34
551 996 546
345 359 338
319 357 314
784 985 778
389 905 382
769 1000 762
66 748 66
391 674 386
3 6 1
604 657 598
522 778 522
76 765 70
417 907 410
110 1010 110
376 861 370
904 951 898
220 871 214
821 1024 814
