64 1610
48 64 1
40 64 2
48 56 3
36 64 4
40 44 5
48 52 6
56 60 7
34 64 8
36 38 9
40 42 10
44 46 11
48 50 12
52 54 13
56 58 14
60 62 15
33 64 16
34 35 17
36 37 18
38 39 19
40 41 20
42 43 21
44 45 22
46 47 23
48 49 24
50 51 25
52 53 26
54 55 27
56 57 28
58 59 29
60 61 30
62 63 31
33 59 1
16 20 2
15 50 3
17 18 4
10 47 5
13 51 6
28 30 7
35 64 8
37 38 9
20 42 10
44 47 11
49 51 12
28 58 14
31 60 15
22 64 2
32 33 16
38 53 1
3 14 3
30 31 15
32 34 8
18 39 9
34 54 1
22 37 2
6 64 1
6 53 6
28 35 1
53 54 13
1 4 1
17 35 17
2 5 2
1 31 1
3 61 3
2 56 1
15 51 3
29 49 3
4 57 1
29 54 3
11 59 1
13 52 13
1 22 1
1 34 1
1 2 1
16 19 4
28 29 14
1 7 1
40 57 1
1 30 1
22 40 5
48 51 12
23 43 5
5 22 5
21 30 1
13 21 1
12 49 12
6 55 6
31 52 3
29 40 1
37 41 2
5 41 5
27 53 13
41 47 5
5 27 1
11 16 2
11 47 11
1 48 1
52 55 13
29 57 14
2 30 1
31 45 1
44 49 1
14 25 3
28 33 1
14 41 1
23 46 23
2 35 2
11 46 11
5 17 2
5 23 5
1 9 1
1 10 1
3 36 1
20 46 5
6 54 6
5 52 1
3 29 3
5 62 1
11 45 11
11 22 11
12 22 1
7 61 7
3 58 3
2 44 2
28 31 7
15 41 1
24 27 6
28 62 7
8 34 8
31 57 7
5 24 1
45 50 1
21 51 1
26 54 13
43 46 5
28 54 3
21 40 10
8 24 1
31 43 1
6 18 1
4 38 4
26 64 1
18 32 4
11 43 5
1 6 1
3 53 3
5 37 2
9 55 1
3 6 3
21 44 5
39 55 1
22 58 1
4 25 1
2 19 2
22 41 5
17 33 8
20 21 10
23 29 1
8 42 2
1 17 1
17 37 4
12 56 3
15 48 3
12 37 1
40 46 5
41 53 1
10 63 1
23 45 11
30 46 1
54 57 3
36 61 1
45 46 11
2 38 2
18 63 1
45 62 1
27 54 27
17 40 2
30 58 7
10 38 2
10 42 10
14 31 7
24 51 12
7 60 7
9 18 9
22 23 11
1 5 1
12 25 12
11 19 2
3 54 3
1 29 1
14 22 1
49 55 6
36 39 9
16 21 2
31 58 7
25 54 6
41 42 10
1 43 1
18 38 9
19 36 9
32 63 1
19 35 4
15 31 15
17 32 8
31 59 7
8 17 8
49 50 12
24 50 12
18 19 9
19 37 9
33 35 8
31 61 15
20 40 20
54 58 3
18 41 2
33 57 1
26 62 3
26 55 13
6 49 6
29 56 14
12 48 12
20 41 20
10 23 5
8 40 2
61 62 15
29 60 7
46 63 1
4 19 4
14 28 14
4 18 4
23 47 23
14 58 14
32 38 4
9 22 2
12 55 6
57 63 7
4 61 1
13 27 13
5 21 5
9 20 2
14 61 7
17 38 4
39 51 1
45 47 11
4 37 4
60 63 15
5 45 5
56 63 7
42 46 5
14 30 7
16 38 4
3 15 3
23 63 1
19 61 1
16 34 8
36 45 2
54 64 1
21 54 1
4 8 4
47 55 1
14 57 14
39 49 1
31 62 31
13 43 1
25 26 6
7 28 7
27 52 13
24 34 1
6 20 1
2 20 2
1 42 1
25 42 1
2 22 2
6 62 3
2 41 2
36 53 1
16 59 1
17 25 1
