512 100000
1 340 1
340 358 340
83 358 358
83 118 83
118 381 118
381 454 381
203 454 454
154 203 203
154 179 154
99 179 179
99 284 99
284 394 284
394 405 394
405 409 405
373 409 409
23 373 373
23 297 23
160 297 297
160 287 160
287 421 287
380 421 421
164 380 380
164 307 164
27 307 307
27 507 27
176 507 507
176 419 176
134 419 419
134 510 134
501 510 510
16 501 501
16 457 16
393 457 457
393 430 393
430 453 430
298 453 453
155 298 298
155 369 155
68 369 369
2 68 68
2 67 2
67 463 67
463 509 463
343 509 509
197 343 343
125 197 197
125 412 125
384 412 412
246 384 384
246 260 246
260 446 260
388 446 446
77 388 388
77 351 77
191 351 351
191 315 191
34 315 315
34 272 34
272 327 272
90 327 327
90 391 90
225 391 391
7 225 225
7 156 7
156 469 156
237 469 469
177 237 237
177 337 177
285 337 337
206 285 285
206 511 206
59 511 511
6 59 59
6 262 6
79 262 262
79 268 79
213 268 268
213 432 213
9 432 432
9 426 9
112 426 426
112 449 112
397 449 449
60 397 397
60 312 60
312 320 312
320 406 320
130 406 406
130 458 130
196 458 458
196 267 196
36 267 267
36 492 36
224 492 492
224 255 224
100 255 255
100 288 100
92 288 288
92 200 92
200 495 200
349 495 495
210 349 349
75 210 210
75 336 75
336 494 336
223 494 494
117 223 223
117 281 117
242 281 281
242 395 242
58 395 395
53 58 58
53 464 53
13 464 464
13 429 13
207 429 429
207 328 207
94 328 328
94 103 94
88 103 103
88 481 88
63 481 481
28 63 63
25 28 28
25 279 25
180 279 279
180 238 180
238 450 238
20 450 450
20 143 20
93 143 143
93 276 93
253 276 276
253 411 253
263 411 411
263 482 263
482 508 482
295 508 508
135 295 295
4 135 135
4 478 4
201 478 478
201 496 201
123 496 496
123 239 123
82 239 239
82 271 82
10 271 271
10 440 10
216 440 440
45 216 216
45 52 45
30 52 52
30 122 30
122 282 122
282 512 282
389 512 512
168 389 389
168 182 168
182 305 182
192 305 305
97 192 192
97 334 97
19 334 334
19 132 19
14 132 132
14 184 14
184 443 184
348 443 443
165 348 348
165 329 165
313 329 329
133 313 313
133 306 133
218 306 306
71 218 218
21 71 71
21 147 21
147 235 147
235 387 235
280 387 387
163 280 280
31 163 163
31 261 31
261 447 261
110 447 447
110 231 110
231 493 231
183 493 493
98 183 183
98 484 98
366 484 484
173 366 366
173 448 173
448 477 448
228 477 477
172 228 228
80 172 172
80 211 80
96 211 211
96 435 96
73 435 435
73 417 73
202 417 417
202 208 202
208 442 208
442 474 442
199 474 474
146 199 199
146 341 146
219 341 341
219 433 219
136 433 433
136 485 136
455 485 485
230 455 455
61 230 230
61 314 61
32 314 314
32 331 32
264 331 331
171 264 264
171 479 171
302 479 479
302 456 302
12 456 456
12 368 12
265 368 368
265 441 265
41 441 441
41 169 41
169 460 169
221 460 460
102 221 221
102 424 102
354 424 424
322 354 354
131 322 322
131 415 131
324 415 415
324 344 324
187 344 344
178 187 187
178 286 178
195 286 286
195 229 195
229 335 229
76 335 335
55 76 76
55 452 55
49 452 452
49 375 49
375 465 375
65 465 465
65 234 65
128 234 234
128 489 128
382 489 489
174 382 382
38 174 174
38 352 38
352 473 352
308 473 473
17 308 308
17 95 17
43 95 95
43 466 43
48 466 466
48 108 48
108 116 108
116 436 116
142 436 436
127 142 142
26 127 127
26 467 26
140 467 467
42 140 140
42 400 42
244 400 400
244 332 244
332 491 332
451 491 491
428 451 451
404 428 428
356 404 404
356 408 356
408 422 408
166 422 422
166 186 166
157 186 186
157 346 157
194 346 346
194 245 194
245 488 245
316 488 488
274 316 316
15 274 274
15 462 15
371 462 462
371 487 371
249 487 487
22 249 249
22 137 22
137 215 137
215 413 215
84 413 413
84 87 84
87 471 87
323 471 471
40 323 323
40 248 40
78 248 248
78 293 78
293 370 293
370 503 370
390 503 503
150 390 390
150 476 150
410 476 476
109 410 410
109 317 109
317 365 317
44 365 365
44 300 44
300 309 300
309 499 309
499 500 499
190 500 500
190 247 190
247 319 247
129 319 319
5 129 129
5 461 5
189 461 461
189 425 189
425 427 425
24 427 427
24 330 24
141 330 330
141 209 141
62 209 209
62 259 62
259 379 259
379 472 379
283 472 472
114 283 283
114 490 114
414 490 490
414 431 414
299 431 431
91 299 299
81 91 91
81 399 81
357 399 399
148 357 357
148 326 148
326 418 326
275 418 418
275 290 275
105 290 290
105 193 105
193 205 193
101 205 205
101 257 101
257 338 257
338 364 338
333 364 364
333 470 333
270 470 470
270 483 270
144 483 483
144 374 144
318 374 374
126 318 318
51 126 126
51 149 51
149 296 149
29 296 296
29 153 29
153 240 153
185 240 240
185 243 185
243 480 243
227 480 480
227 266 227
266 321 266
47 321 321
47 251 47
251 367 251
120 367 367
74 120 120
74 158 74
121 158 158
121 311 121
145 311 311
