256 8335
2 3 1
2 4 1
2 5 1
2 6 1
2 7 1
8 9 2
8 10 2
8 11 2
8 12 2
8 13 2
14 15 8
14 16 8
14 17 8
14 18 8
14 19 8
20 21 14
20 22 14
20 23 14
20 24 14
20 25 14
26 27 20
26 28 20
26 29 20
26 30 20
26 31 20
32 33 26
32 34 26
32 35 26
32 36 26
32 37 26
38 39 32
38 40 32
38 41 32
38 42 32
38 43 32
44 45 38
44 46 38
44 47 38
44 48 38
44 49 38
50 51 44
50 52 44
50 53 44
50 54 44
50 55 44
56 57 50
56 58 50
56 59 50
56 60 50
56 61 50
62 63 56
62 64 56
62 65 56
62 66 56
62 67 56
68 69 62
68 70 62
68 71 62
68 72 62
68 73 62
74 75 68
74 76 68
74 77 68
74 78 68
74 79 68
80 81 74
80 82 74
80 83 74
80 84 74
80 85 74
86 87 80
86 88 80
86 89 80
86 90 80
86 91 80
92 93 86
92 94 86
92 95 86
92 96 86
92 97 86
98 99 92
98 100 92
98 101 92
98 102 92
98 103 92
104 105 98
104 106 98
104 107 98
104 108 98
104 109 98
110 111 104
110 112 104
110 113 104
110 114 104
110 115 104
116 117 110
116 118 110
116 119 110
116 120 110
116 121 110
122 123 116
122 124 116
122 125 116
122 126 116
122 127 116
128 129 122
128 130 122
128 131 122
128 132 122
128 133 122
134 135 128
134 136 128
134 137 128
134 138 128
134 139 128
140 141 134
140 142 134
140 143 134
140 144 134
140 145 134
146 147 140
146 148 140
146 149 140
146 150 140
146 151 140
152 153 146
152 154 146
152 155 146
152 156 146
152 157 146
158 159 152
158 160 152
158 161 152
158 162 152
158 163 152
164 165 158
164 166 158
164 167 158
164 168 158
164 169 158
170 171 164
170 172 164
170 173 164
170 174 164
170 175 164
176 177 170
176 178 170
176 179 170
176 180 170
176 181 170
182 183 176
182 184 176
182 185 176
182 186 176
182 187 176
188 189 182
188 190 182
188 191 182
188 192 182
188 193 182
194 195 188
194 196 188
194 197 188
194 198 188
194 199 188
200 201 194
200 202 194
200 203 194
200 204 194
200 205 194
206 207 200
206 208 200
206 209 200
206 210 200
206 211 200
212 213 206
212 214 206
212 215 206
212 216 206
212 217 206
218 219 212
218 220 212
218 221 212
218 222 212
218 223 212
224 225 218
224 226 218
224 227 218
224 228 218
224 229 218
230 231 224
230 232 224
230 233 224
230 234 224
230 235 224
236 237 230
236 238 230
236 239 230
236 240 230
236 241 230
242 243 236
242 244 236
242 245 236
242 246 236
242 247 236
248 249 242
248 250 242
248 251 242
248 252 242
248 253 242
254 255 248
254 256 248
3 254 1
4 254 1
5 254 1
6 254 1
7 254 1
9 254 2
10 254 2
11 254 2
12 254 2
13 254 2
15 254 8
16 254 8
17 254 8
18 254 8
19 254 8
21 254 14
22 254 14
23 254 14
24 254 14
25 254 14
27 254 20
28 254 20
29 254 20
30 254 20
31 254 20
33 254 26
34 254 26
35 254 26
36 254 26
37 254 26
39 254 32
40 254 32
41 254 32
42 254 32
43 254 32
45 254 38
46 254 38
47 254 38
48 254 38
49 254 38
51 254 44
52 254 44
53 254 44
54 254 44
55 254 44
57 254 50
58 254 50
59 254 50
60 254 50
61 254 50
63 254 56
64 254 56
65 254 56
66 254 56
67 254 56
69 254 62
70 254 62
71 254 62
72 254 62
73 254 62
75 254 68
76 254 68
77 254 68
78 254 68
79 254 68
81 254 74
82 254 74
83 254 74
84 254 74
85 254 74
87 254 80
88 254 80
89 254 80
90 254 80
91 254 80
93 254 86
94 254 86
95 254 86
96 254 86
97 254 86
99 254 92
100 254 92
101 254 92
102 254 92
103 254 92
105 254 98
106 254 98
107 254 98
108 254 98
109 254 98
111 254 104
112 254 104
113 254 104
114 254 104
115 254 104
117 254 110
118 254 110
119 254 110
120 254 110
121 254 110
123 254 116
124 254 116
125 254 116
126 254 116
127 254 116
129 254 122
130 254 122
131 254 122
132 254 122
133 254 122
135 254 128
136 254 128
137 254 128
138 254 128
139 254 128
141 254 134
142 254 134
143 254 134
144 254 134
145 254 134
147 254 140
148 254 140
149 254 140
150 254 140
151 254 140
153 254 146
154 254 146
155 254 146
156 254 146
157 254 146
159 254 152
160 254 152
161 254 152
162 254 152
163 254 152
165 254 158
166 254 158
167 254 158
168 254 158
169 254 158
171 254 164
172 254 164
173 254 164
174 254 164
175 254 164
177 254 170
178 254 170
179 254 170
180 254 170
181 254 170
183 254 176
184 254 176
185 254 176
186 254 176
187 254 176
189 254 182
190 254 182
191 254 182
192 254 182
193 254 182
195 254 188
196 254 188
197 254 188
198 254 188
199 254 188
201 254 194
202 254 194
203 254 194
204 254 194
205 254 194
207 254 200
208 254 200
209 254 200
210 254 200
211 254 200
213 254 206
214 254 206
215 254 206
216 254 206
217 254 206
219 254 212
220 254 212
221 254 212
222 254 212
223 254 212
225 254 218
226 254 218
227 254 218
228 254 218
229 254 218
231 254 224
232 254 224
233 254 224
234 254 224
235 254 224
237 254 230
238 254 230
239 254 230
240 254 230
241 254 230
243 254 236
244 254 236
245 254 236
246 254 236
247 254 236
249 254 242
250 254 242
251 254 242
252 254 242
253 254 242
1 254 1
2 254 2
8 254 8
14 254 14
20 254 20
26 254 26
32 254 32
38 254 38
44 254 44
50 254 50
56 254 56
62 254 62
68 254 68
74 254 74
80 254 80
86 254 86
92 254 92
98 254 98
104 254 104
110 254 110
116 254 116
122 254 122
128 254 128
134 254 134
140 254 140
146 254 146
152 254 152
158 254 158
164 254 164
170 254 170
176 254 176
182 254 182
188 254 188
194 254 194
200 254 200
206 254 206
212 254 212
218 254 218
224 254 224
230 254 230
236 254 236
242 254 242
248 254 248
28 72 20
249 251 242
149 150 140
90 128 80
15 114 8
50 242 50
135 139 128
52 214 44
112 130 104
18 202 8
153 155 146
11 88 2
88 202 80
87 125 80
136 138 128
8 157 8
195 198 188
187 247 176
77 78 68
6 7 1
87 91 80
104 206 104
31 169 20
44 73 44
237 238 230
99 102 92
125 127 116
129 131 122
153 209 146
86 175 86
90 91 80
11 12 2
117 121 110
28 31 20
54 104 44
88 236 80
20 194 20
39 42 32
255 256 248
154 243 146
70 174 62
109 119 98
209 210 200
8 23 8
207 208 200
130 244 122
214 224 206
57 58 50
213 216 206
114 115 104
24 56 14
7 8 1
45 228 38
171 175 164
148 150 140
82 85 74
157 225 146
84 85 74
107 242 98
158 200 158
70 72 62
210 211 200
95 118 86
12 39 2
1 76 1
32 128 32
52 79 44
126 235 116
157 164 146
196 198 188
16 18 8
207 243 200
86 176 86
129 225 122
6 233 1
129 130 122
74 240 74
10 32 2
116 150 116
52 55 44
33 35 26
197 199 188
183 185 176
25 113 14
82 189 74
180 199 170
69 70 62
56 185 56
52 137 44
42 228 32
124 196 116
204 222 194
123 125 116
233 234 224
150 151 140
229 239 218
89 106 80
87 229 80
191 207 182
43 124 32
249 255 242
172 175 164
62 176 62
251 253 242
102 237 92
50 134 50
88 157 80
62 150 62
35 173 26
94 97 86
2 41 2
44 103 44
6 38 1
101 103 92
99 101 92
42 43 32
50 104 50
1 55 1
130 171 122
189 240 182
21 22 14
14 61 14
70 71 62
237 241 230
165 166 158
1 44 1
58 60 50
53 55 44
50 63 50
50 185 50
39 41 32
24 96 14
231 241 224
204 205 194
56 72 56
32 46 32
89 91 80
121 146 110
225 227 218
225 236 218
4 5 1
82 205 74
16 78 8
60 61 50
34 35 26
201 209 194
33 108 26
105 109 98
105 106 98
225 226 218
103 212 92
50 139 50
36 137 26
32 186 32
69 158 62
23 28 14
32 235 32
142 170 134
202 211 194
119 200 110
52 53 44
96 97 86
201 247 194
251 252 242
14 53 14
125 180 116
136 139 128
124 126 116
233 246 224
41 195 32
29 69 20
190 192 182
250 251 242
132 133 122
87 90 80
2 242 2
40 42 32
246 247 236
38 57 38
168 223 158
50 74 50
121 253 110
141 144 134
132 209 122
198 199 188
177 227 170
118 120 110
203 204 194
197 198 188
5 6 1
115 248 104
138 197 128
143 145 134
46 47 38
70 73 62
133 212 122
148 216 140
44 112 44
80 126 80
44 127 44
14 25 14
57 222 50
21 24 14
252 256 242
92 143 92
21 206 14
8 77 8
156 202 146
208 209 200
5 53 1
50 188 50
29 137 20
172 198 164
93 95 86
216 217 206
139 144 128
118 119 110
183 184 176
8 150 8
60 197 50
122 209 122
190 191 182
116 132 116
211 215 200
219 222 212
10 12 2
2 73 2
86 222 86
203 247 194
45 46 38
40 43 32
145 242 134
243 247 236
196 210 188
20 187 20
107 112 98
153 154 146
195 251 188
11 141 2
106 108 98
51 88 44
111 248 104
172 187 164
196 226 188
231 232 224
3 7 1
167 168 158
26 167 26
188 209 188
72 183 62
220 223 212
55 123 44
135 145 128
38 110 38
246 250 236
112 113 104
45 48 38
2 33 2
81 83 74
249 253 242
47 48 38
149 179 140
71 73 62
202 206 194
8 21 8
228 255 218
15 18 8
180 212 170
41 43 32
1 7 1
159 162 152
74 164 74
86 214 86
98 180 98
