1024 47336
676 951 38
149 170 794
718 935 484
540 622 323
95 480 670
628 846 463
380 1009 88
350 688 688
57 990 914
102 139 102
496 796 796
46 138 356
122 845 914
5 526 415
274 852 852
100 333 333
85 281 85
352 735 37
233 674 355
506 636 855
248 323 323
196 790 790
211 408 408
45 337 955
85 266 85
495 767 211
50 65 937
850 943 850
392 901 37
713 820 309
410 487 410
348 634 318
256 816 816
274 812 497
276 597 853
403 425 8
25 152 544
951 967 596
209 930 333
475 481 11
143 665 143
537 974 974
414 710 414
464 718 276
801 920 335
237 402 92
268 309 309
159 185 185
207 1019 553
849 870 370
503 985 562
434 836 440
77 681 770
300 718 41
577 643 913
332 466 548
104 826 299
71 217 217
178 498 262
106 546 790
922 1007 1007
173 630 381
18 302 143
371 865 677
533 974 974
233 1024 736
625 810 625
264 416 446
76 949 76
674 1020 1020
106 195 790
53 966 966
172 318 318
504 778 497
388 895 195
308 591 308
536 942 783
379 551 914
93 889 553
226 866 866
110 393 393
408 891 408
295 448 619
160 346 346
248 628 14
49 1013 12
626 747 603
89 685 468
836 857 304
330 859 859
202 957 484
446 511 625
417 550 375
107 591 41
308 952 149
200 760 131
225 837 837
12 300 12
357 456 216
204 467 569
855 912 837
256 686 244
768 875 317
205 907 205
196 230 196
614 964 459
493 749 749
400 913 400
901 930 333
635 854 562
437 808 438
603 673 673
743 865 743
326 641 326
400 783 400
645 921 261
117 263 263
36 823 715
122 615 914
431 672 627
782 854 562
728 983 43
284 634 318
344 469 817
25 44 544
349 454 349
160 728 196
494 1000 494
505 926 640
36 916 326
620 672 627
96 939 941
128 383 451
24 401 24
741 945 741
719 973 488
4 906 906
161 242 161
187 591 41
544 898 544
658 701 5
450 806 806
127 208 587
112 463 88
864 870 370
548 962 548
118 198 1007
103 530 587
93 411 786
212 610 555
111 210 578
490 508 426
787 909 535
261 444 444
323 532 323
559 833 715
497 880 963
90 574 227
566 782 786
246 443 441
730 892 93
14 768 14
264 748 136
445 963 963
36 504 261
71 739 19
53 121 932
48 667 446
11 703 11
307 720 446
801 937 335
586 743 743
77 145 770
930 983 333
192 217 217
40 379 40
344 837 837
84 389 128
187 536 783
682 848 963
594 799 161
202 567 635
761 912 837
661 959 890
765 814 555
376 794 794
73 799 1020
309 912 309
909 950 950
46 130 917
200 239 339
124 284 124
268 338 338
407 912 837
179 427 776
106 649 790
309 765 309
278 988 753
28 959 806
60 589 60
925 978 917
438 617 438
80 828 80
149 929 149
77 966 770
216 227 216
100 947 100
281 537 959
796 1021 855
112 594 88
399 525 796
15 604 15
237 393 92
109 549 549
167 520 76
422 578 666
323 447 323
277 424 381
712 997 1007
43 447 410
738 805 738
341 477 1
14 445 356
540 989 323
970 980 346
23 770 770
125 407 407
346 809 81
219 806 806
316 1008 555
725 1012 306
62 433 806
5 738 738
619 694 619
494 675 675
625 842 955
482 533 533
653 711 653
209 503 945
393 937 393
