64 1624
12 26 1
12 37 24
26 31 30
12 52 9
7 37 58
25 26 36
31 48 63
12 33 22
43 52 61
20 37 21
7 8 17
26 35 13
25 62 60
4 31 34
46 48 47
12 23 2
33 64 5
3 52 29
43 57 45
37 51 28
20 44 14
7 11 15
8 19 42
26 38 10
35 41 39
25 32 6
55 62 50
31 53 54
4 49 16
48 56 27
46 59 18
12 25 1
15 64 24
6 48 30
33 57 9
37 42 58
26 32 36
16 56 63
5 40 22
45 52 61
44 51 21
7 19 17
32 55 60
48 59 47
2 5 22
1 8 1
22 23 22
38 62 36
38 48 30
2 61 9
56 59 47
19 40 24
9 40 9
18 63 63
1 21 1
26 39 13
2 41 1
29 33 9
1 30 1
12 43 9
23 40 2
13 55 36
9 29 9
18 48 47
26 41 13
47 53 63
6 52 1
1 57 1
6 50 60
27 59 47
50 53 30
1 40 1
14 21 21
50 60 60
16 59 63
18 27 47
7 42 17
37 44 21
54 64 1
12 57 9
36 39 36
21 43 24
35 54 30
11 34 1
39 47 30
27 49 63
4 18 63
5 20 24
41 56 30
15 49 1
21 42 58
7 48 1
2 39 1
20 26 1
11 21 58
15 29 24
36 50 36
8 15 17
32 50 60
8 24 24
9 22 9
52 61 61
13 48 30
47 59 47
1 9 1
29 43 61
25 30 30
11 35 1
38 41 13
4 34 34
14 58 58
8 11 17
7 53 1
23 24 24
18 28 1
12 64 22
45 64 9
5 14 24
7 40 24
32 54 30
19 60 1
9 28 24
49 53 34
53 54 54
1 33 1
13 50 36
8 10 1
10 39 13
2 45 9
16 63 63
17 37 58
2 12 2
9 43 9
4 53 34
9 41 1
36 41 36
11 15 15
13 26 13
7 15 15
21 40 24
1 5 1
11 30 1
15 58 58
48 49 63
40 64 22
32 41 36
21 44 21
1 26 1
1 59 1
29 50 1
1 54 1
1 45 1
5 45 9
29 40 9
49 61 1
21 50 1
15 51 58
7 49 1
27 28 1
11 37 58
34 39 30
6 37 1
49 64 1
8 28 58
5 13 1
10 13 13
30 47 30
1 51 1
9 61 9
23 33 22
2 33 22
12 45 9
15 41 1
3 22 9
50 52 1
52 57 61
42 62 1
29 57 61
52 56 1
46 54 63
5 31 1
35 39 39
46 56 47
2 22 22
23 37 24
25 60 60
6 27 30
29 45 61
30 59 30
11 64 24
5 23 22
20 28 21
28 61 24
34 44 1
10 58 1
26 50 36
1 60 1
1 15 1
6 18 30
19 59 1
47 63 63
28 53 1
8 29 24
2 9 9
36 54 30
15 42 17
14 51 21
49 54 34
30 49 30
14 15 58
6 59 30
22 25 1
15 40 24
9 52 9
20 42 58
17 31 1
14 34 1
5 12 22
4 59 63
30 58 1
31 54 54
31 58 1
30 50 30
5 61 9
17 44 58
39 63 30
31 64 1
24 37 24
26 55 36
7 12 24
11 58 58
1 38 1
6 41 36
6 55 60
11 19 17
31 49 34
30 46 30
23 64 22
21 56 1
27 37 1
18 54 63
2 3 9
7 32 1
1 62 1
49 55 30
9 38 1
3 45 61
62 63 30
6 16 30
21 34 1
20 51 21
9 33 9
17 51 58
10 25 36
20 27 1
3 57 61
21 24 24
10 15 1
21 45 24
6 60 60
30 34 30
17 19 17
39 54 30
13 52 1
32 40 1
28 58 58
39 45 1
20 43 24
6 62 60
15 44 58
6 35 36
17 22 24
1 35 1
28 33 24
18 53 63
16 28 1
5 43 9
14 53 1
10 36 36
41 48 30
18 22 1
55 59 30
23 51 24
14 28 21
29 46 1
53 58 1
6 24 1
5 64 5
28 57 24
21 28 21
2 64 22
7 33 24
33 58 24
1 55 1
