512 27504
35 445 279
318 439 439
126 467 467
16 239 430
196 280 399
170 367 409
331 335 20
133 185 208
145 176 138
87 490 2
3 497 497
207 267 207
157 228 157
79 251 79
152 266 431
219 445 219
11 130 130
255 383 157
125 313 197
238 310 442
188 450 246
172 245 69
85 375 276
25 480 174
179 502 425
13 391 13
19 391 391
23 461 316
265 274 123
207 478 207
132 354 240
197 271 197
192 465 12
166 509 416
86 272 393
137 325 104
128 260 260
70 154 26
354 506 506
165 470 48
140 409 454
6 483 483
89 327 173
348 500 459
159 365 264
287 379 379
77 115 392
251 295 285
402 503 385
104 400 400
128 404 92
33 166 439
200 436 39
430 482 430
111 416 291
277 379 379
299 458 32
415 495 415
417 493 417
56 95 95
46 153 10
73 386 366
296 462 296
222 329 172
218 383 157
145 414 138
19 423 436
261 512 446
167 418 167
118 119 13
358 401 401
214 465 235
52 433 22
208 300 208
236 312 236
249 282 311
51 484 125
406 431 406
14 438 435
231 261 231
14 217 91
144 390 390
409 473 11
114 476 443
105 506 506
149 503 385
293 510 1
16 335 375
93 264 264
321 416 416
263 376 232
70 219 219
220 311 220
80 132 212
87 187 2
248 359 457
151 352 352
250 317 50
17 512 446
15 193 402
6 461 31
66 302 66
55 436 65
235 237 130
75 422 422
349 403 466
325 450 246
363 384 384
66 96 66
126 292 126
125 170 125
28 456 196
26 144 26
286 439 439
74 236 236
73 222 307
129 195 148
278 425 425
62 209 462
162 414 171
56 257 96
118 276 276
149 367 149
191 427 170
29 479 479
74 457 167
30 369 149
101 467 467
472 477 357
29 99 29
120 338 106
89 510 495
200 229 229
111 250 50
109 184 405
103 126 126
162 469 171
213 476 480
49 159 264
239 419 334
15 418 402
367 501 451
144 424 486
99 389 233
45 312 312
328 441 441
63 333 199
53 505 126
166 442 442
370 502 351
103 266 266
17 415 17
186 245 69
439 455 439
2 366 2
5 436 105
458 484 125
135 494 497
139 489 489
82 193 220
35 343 279
252 363 281
287 421 477
367 378 116
82 210 320
94 142 428
202 495 202
41 408 4
5 388 105
89 282 311
184 346 17
170 234 170
115 347 347
420 423 107
222 255 307
23 115 474
235 409 409
279 368 368
187 449 371
30 488 21
103 216 339
63 252 199
203 465 203
327 368 173
101 213 379
278 427 170
82 469 218
210 286 320
131 327 43
276 385 385
42 471 489
105 417 417
109 509 509
185 209 224
149 198 479
64 419 334
385 490 385
206 401 401
14 174 174
304 370 351
107 280 399
18 411 18
10 323 406
50 119 13
214 236 236
151 483 483
360 434 372
241 437 241
31 402 402
49 430 430
100 354 100
230 342 231
152 248 431
279 487 168
93 337 441
109 136 136
95 401 95
70 151 70
82 86 100
77 394 392
201 333 358
196 487 168
71 321 46
75 392 392
297 448 14
125 425 425
10 80 10
73 398 500
143 282 491
359 421 421
39 168 168
34 330 490
270 398 500
188 364 407
280 396 399
414 449 449
48 229 48
72 431 124
91 300 91
82 163 163
175 278 142
32 247 247
208 219 208
303 398 274
