1024 27392
302 326 1
161 690 1
452 551 430
291 979 430
129 818 131
170 818 131
10 957 793
362 483 793
509 710 143
68 1017 143
452 850 580
86 270 580
252 307 132
64 636 528
864 982 528
33 878 1007
240 275 1007
299 593 723
221 476 723
836 1020 852
461 485 852
495 851 419
167 330 419
146 886 694
517 925 857
448 925 857
61 475 743
61 81 743
42 348 524
152 373 769
709 785 769
352 727 48
126 603 48
108 148 488
186 746 488
601 633 436
4 552 254
4 432 254
363 897 881
444 897 881
251 311 292
963 1003 292
359 861 854
932 984 854
208 808 750
202 542 32
611 838 32
915 1006 924
185 647 114
357 569 114
865 913 641
220 384 641
431 606 974
398 431 974
386 402 437
333 360 437
159 581 944
159 351 944
200 256 424
686 757 424
249 345 69
116 249 69
432 724 908
204 356 6
204 683 6
281 612 410
30 222 410
895 907 831
127 338 831
273 892 933
616 971 933
296 700 689
411 507 689
563 891 122
538 891 122
373 709 440
644 888 928
621 741 928
720 874 200
400 715 245
487 562 245
347 352 1014
116 768 597
134 823 888
55 954 318
268 494 318
562 1000 525
382 851 264
665 851 264
829 883 858
208 883 858
183 826 840
183 568 840
181 239 115
306 315 75
29 549 43
238 976 747
336 448 573
448 996 573
674 931 387
9 1011 649
76 752 290
632 1002 767
180 493 767
12 676 343
510 676 343
493 632 367
726 969 737
118 969 737
636 912 234
706 912 234
372 727 227
416 682 227
113 684 215
855 959 404
179 814 766
179 864 766
99 421 409
99 845 409
519 949 802
584 949 802
664 934 124
340 934 124
372 459 89
214 466 173
214 834 173
421 478 451
394 510 877
394 509 877
142 861 316
273 600 526
273 914 526
622 786 25
38 712 600
38 687 600
304 555 893
555 647 893
365 385 256
749 841 41
81 243 546
508 875 791
158 889 10
229 640 311
537 627 438
560 696 762
696 1013 762
491 725 231
621 725 231
685 789 392
65 777 337
51 759 297
177 1023 499
27 950 466
699 703 145
20 21 859
673 930 859
130 616 46
11 130 46
82 293 744
293 746 744
321 340 447
479 753 803
634 731 803
137 390 984
70 634 839
479 634 839
444 497 639
53 1021 639
101 628 28
418 554 727
636 990 669
42 581 126
164 268 749
586 812 662
3 812 662
707 871 201
232 919 472
98 919 472
38 982 415
226 310 622
729 963 251
434 892 703
434 535 703
289 443 413
253 395 413
244 517 800
267 397 374
443 718 349
253 718 349
270 460 346
197 270 346
593 602 496
50 323 836
50 518 836
19 688 536
19 444 536
377 646 305
104 989 523
240 989 523
482 850 964
262 939 964
193 462 504
194 635 57
15 973 57
