64 1918
39 52 57
28 43 43
6 58 58
15 34 34
5 53 5
28 36 34
36 53 34
13 42 56
39 47 57
45 55 45
3 8 8
14 39 57
25 44 1
1 27 1
5 9 5
41 48 41
24 53 24
24 33 24
1 29 1
17 25 25
11 13 4
10 45 10
17 57 41
30 57 26
23 42 56
10 22 10
10 37 10
3 60 38
2 35 35
4 35 4
36 51 54
10 32 10
30 46 46
44 63 1
3 42 56
7 22 12
7 58 58
12 52 12
32 40 46
11 34 34
28 62 53
51 58 58
21 53 53
25 26 25
36 49 61
19 58 58
8 54 54
24 25 25
7 35 12
1 33 1
5 37 5
34 52 34
12 34 34
16 24 24
17 21 41
3 5 5
29 47 33
14 45 45
24 60 38
29 32 33
27 64 25
46 52 46
54 57 54
10 19 10
60 61 38
19 33 33
12 58 58
36 52 34
30 33 26
19 25 25
19 37 10
27 62 50
3 55 55
36 64 25
14 58 58
14 50 50
36 43 34
20 30 26
18 51 54
41 51 54
35 57 57
39 55 57
10 61 61
8 17 41
41 45 41
19 57 57
23 63 23
22 27 50
12 41 41
31 43 58
17 45 41
33 37 10
11 37 10
11 16 24
3 54 54
20 38 38
13 53 4
19 21 55
19 27 50
20 55 55
28 31 58
20 41 41
20 24 24
27 58 58
11 55 24
46 58 58
2 28 35
21 36 34
62 64 25
20 26 26
1 62 1
20 64 25
16 33 33
35 60 38
31 35 58
15 40 46
35 54 54
29 42 56
44 52 1
18 44 1
21 48 9
28 35 35
29 48 33
1 56 1
11 32 24
10 14 10
2 64 25
8 55 8
59 63 14
14 40 46
18 19 45
35 45 45
10 53 10
34 47 34
11 31 58
5 28 5
51 59 54
41 64 25
57 63 57
5 31 58
15 51 54
30 50 50
31 62 58
42 57 56
19 51 54
12 59 12
16 37 10
2 42 56
4 60 38
20 51 54
23 48 23
2 27 50
12 22 12
15 32 5
30 38 38
52 64 25
1 45 1
42 43 56
38 47 38
1 17 1
35 40 46
28 30 26
27 41 50
34 64 25
57 58 58
15 44 1
17 62 41
4 26 4
11 49 61
26 27 50
29 64 25
9 64 25
13 52 4
18 45 45
13 44 1
11 47 24
3 13 4
27 60 38
13 16 4
1 50 1
4 43 4
6 51 54
53 59 53
14 22 8
10 12 10
26 64 25
15 41 41
60 63 38
22 29 8
8 35 8
12 31 58
20 54 54
42 45 56
23 28 16
49 52 61
8 51 54
31 41 58
8 46 46
26 42 56
15 30 26
10 11 10
20 22 8
27 34 50
13 49 4
26 33 26
29 31 58
49 62 61
5 14 5
15 55 5
36 38 38
26 62 26
37 59 10
24 58 58
5 55 5
10 43 10
24 37 10
4 14 4
8 28 8
13 35 4
54 59 54
46 48 46
1 28 1
6 56 56
4 44 1
23 49 61
2 41 41
1 61 1
38 41 38
6 39 57
38 43 38
14 43 43
1 24 1
25 46 25
17 44 1
1 9 1
10 50 50
16 36 34
9 12 12
8 44 1
41 47 41
21 62 53
16 54 54
46 57 46
17 47 41
44 58 1
8 41 41
25 60 38
27 38 38
12 54 54
25 53 25
24 61 61
33 43 33
19 28 55
6 47 43
2 62 53
19 49 61
8 27 50
40 49 46
6 57 57
22 39 57
50 51 50
3 32 59
44 61 1
3 7 12
6 53 53
32 53 53
22 35 8
12 62 12
1 60 1
2 4 4
2 20 35
1 47 1
14 27 50
56 58 58
15 16 5
9 24 24
13 24 4
9 53 53
37 47 10
25 56 25
14 47 23
25 29 25
16 50 50
30 52 26
31 54 58
6 60 38
50 62 50
13 19 4
17 53 41
1 5 1
28 63 16
29 59 33
39 60 38
22 50 50
5 6 5
4 7 4
13 25 25
9 38 38
4 27 50
18 60 38
14 18 45
48 53 53
39 53 57
18 50 50
34 51 54
54 58 58
14 29 33
35 61 61
26 51 54
31 49 58
47 56 56
4 25 25
12 38 38
18 27 50
37 54 54
4 56 56
9 49 61
23 44 1
31 50 58
3 38 38
26 43 26
31 51 58
12 43 12
13 30 4
5 41 41
13 57 4
29 46 46
4 21 4
16 40 46
6 48 43
22 23 8
4 10 4
1 37 1
40 46 46
21 41 41
55 61 61
2 24 24
5 56 56
6 14 43
19 23 55
7 46 46
17 48 41
4 5 4
48 63 14
27 52 50
27 47 50
25 51 25
14 64 25
21 57 57
4 52 4
12 16 12
3 44 1
21 60 38
7 33 12
24 36 34
2 49 61
29 52 33
44 50 1
52 53 53
5 15 5
20 52 52
34 50 50
4 40 46
8 45 45
19 45 45
37 46 46
1 20 1
51 54 54
39 46 46
14 55 55
38 40 38
16 53 53
7 37 10
21 44 1
5 63 5
6 43 43
17 24 41
25 57 25
5 49 61
4 45 4
26 30 26
31 52 58
2 43 43
27 44 1
18 32 45
13 20 4
8 21 8
2 39 57
53 62 53
12 32 12
7 29 12
7 41 41
5 8 5
10 52 10
59 62 53
18 35 45
6 37 10
17 35 41
40 56 56
48 62 53
14 57 57
23 57 57
4 46 46
6 42 56
55 60 38
2 40 46
50 59 50
14 25 25
3 63 14
7 45 12
52 63 14
24 40 46
14 42 56
13 21 4
17 58 58
30 51 54
5 17 41
15 17 41
15 62 5
4 59 4
15 20 5
32 44 1
39 51 54
2 23 35
12 19 12
9 21 9
15 22 5
12 57 57
4 31 58
38 56 38
36 59 34
63 64 25
6 21 43
24 30 26
1 22 1
9 33 33
15 18 5
7 17 41
29 49 61
20 45 45
18 40 46
1 42 1
11 43 24
43 60 38
19 54 54
32 59 59
10 28 10
26 31 58
57 61 61
24 27 50
44 56 1
5 20 5
25 42 25
41 52 41
2 7 12
25 54 25
5 23 5
12 15 5
2 57 57
15 25 25
11 41 41
5 47 5
1 10 1
13 46 46
27 46 50
32 46 46
27 61 50
37 58 58
2 54 54
3 47 23
37 42 56
21 32 9
38 59 38
21 31 58
41 50 50
53 61 61
7 14 12
1 23 1
36 63 34
6 27 50
50 54 50
6 41 41
9 42 56
27 35 50
33 49 61
32 42 56
29 43 33
3 52 59
4 39 4
22 53 8
31 59 58
14 46 46
56 63 56
21 56 56
51 55 54
22 32 8
10 33 10
10 18 10
46 55 46
20 44 1
10 40 46
32 39 57
42 46 56
7 48 12
52 60 38
20 50 50
30 31 58
17 43 41
54 55 54
8 20 8
34 49 61
29 34 34
15 42 56
27 51 50
