64 1595
35 48 1
33 48 38
14 35 44
45 48 58
33 43 60
9 35 25
14 52 31
12 48 56
8 45 64
33 53 50
43 55 42
16 35 46
9 23 27
14 59 54
32 52 40
37 48 4
11 12 51
7 45 41
8 18 13
22 33 26
29 53 17
43 62 61
6 55 30
19 35 34
2 16 49
9 28 57
21 23 36
14 47 5
59 63 39
3 52 10
20 32 15
3 19 44
20 27 44
11 56 56
10 48 1
1 63 1
21 49 25
2 35 46
27 42 1
1 46 1
31 42 1
14 58 1
30 34 1
37 60 38
42 50 60
38 59 1
24 45 58
7 18 64
9 36 27
22 55 60
5 63 54
36 44 44
39 54 54
50 60 60
33 50 50
18 33 38
5 44 44
19 60 1
7 48 58
30 43 42
11 18 58
15 64 1
31 44 44
6 61 42
20 41 1
2 49 49
5 39 54
6 8 38
3 10 10
13 45 64
1 38 1
10 20 40
14 19 44
8 37 58
42 61 42
55 61 42
1 61 1
9 21 27
37 40 1
17 33 50
46 59 44
35 57 25
9 50 1
13 22 38
12 61 38
18 64 64
1 4 1
31 52 31
31 39 31
17 35 1
35 61 1
19 44 44
5 14 5
19 30 1
14 63 54
28 47 44
41 42 38
6 43 42
4 14 1
5 54 54
13 58 58
59 61 1
20 52 40
30 32 1
11 38 38
33 61 60
48 58 58
5 31 31
3 44 44
30 50 60
38 62 38
18 28 1
8 41 64
3 20 40
9 46 25
13 38 38
14 40 31
27 44 44
29 39 1
11 24 56
16 28 25
17 50 50
36 57 27
1 23 1
12 24 56
7 15 1
15 29 1
7 57 1
29 42 60
10 59 31
42 62 42
44 57 44
48 56 56
51 58 58
28 57 57
38 45 38
11 64 58
34 35 34
18 48 58
18 42 38
30 62 42
42 53 60
19 54 44
11 48 56
32 54 31
15 23 44
2 19 46
32 33 1
9 25 25
10 44 44
30 60 60
13 41 64
27 31 44
11 54 1
32 36 44
7 20 1
3 47 31
45 64 64
37 50 38
42 46 1
1 12 1
1 58 1
29 33 50
7 22 38
16 43 1
12 41 58
21 34 25
1 26 1
24 37 4
1 31 1
10 32 40
4 24 4
1 3 1
15 63 31
38 42 38
1 27 1
26 59 1
9 54 44
52 54 31
33 39 1
12 37 56
13 25 1
14 49 44
48 50 38
15 35 44
40 55 1
11 51 51
18 41 64
44 45 1
19 25 25
42 60 60
5 13 1
11 13 58
15 32 15
1 25 1
41 55 38
1 9 1
3 55 1
15 24 1
21 22 1
37 62 38
39 63 39
1 5 1
4 44 1
3 59 31
39 47 54
19 63 44
25 28 25
26 54 1
44 52 44
17 30 60
12 56 56
15 52 40
29 38 38
23 59 44
38 55 38
27 28 27
7 8 64
26 61 60
25 36 25
1 57 1
1 18 1
30 33 60
1 60 1
29 62 60
37 41 58
6 30 30
19 32 44
1 52 1
7 56 58
5 20 31
30 49 1
1 54 1
43 64 38
25 63 44
13 30 38
3 7 1
2 18 1
22 29 50
13 64 64
6 23 1
13 18 13
6 53 60
12 35 1
36 59 44
1 8 1
30 38 38
41 60 38
1 59 1
22 61 60
6 63 1
60 61 60
28 34 25
28 49 25
46 49 46
47 63 54
1 32 1
10 47 31
45 56 58
4 27 1
23 52 44
1 50 1
29 60 60
24 51 56
25 57 25
25 35 25
31 59 31
1 44 1
26 38 38
5 64 1
50 56 38
24 56 56
17 56 38
4 18 58
4 51 56
10 26 1
26 29 50
53 62 60
20 43 1
15 40 40
28 35 25
16 19 46
17 43 60
9 39 44
19 49 46
16 34 46
35 49 46
2 34 46
33 37 38
23 38 1
33 60 60
55 60 60
48 61 38
21 28 27
1 43 1
14 34 44
50 62 60
40 59 31
56 58 58
10 64 1
12 13 58
1 24 1
26 30 60
6 62 42
5 61 1
52 63 31
29 56 38
9 61 1
16 30 1
16 22 1
28 46 25
30 40 1
13 19 1
38 50 38
15 39 31
18 38 38
8 63 1
49 50 1
9 40 44
43 60 60
31 43 1
43 50 60
8 38 38
27 36 27
32 47 31
9 49 25
2 28 25
40 48 1
12 33 38
22 62 60
29 43 60
20 59 31
14 44 44
34 49 46
6 56 38
7 13 64
43 61 61
6 47 1
37 51 56
32 40 40
13 61 38
12 26 38
27 58 1
12 63 1
7 41 41
19 28 25
28 36 27
22 56 38
56 61 38
22 53 50
24 53 38
41 58 58
19 23 25
17 60 60
40 46 44
8 60 38
30 61 42
58 64 58
21 44 44
9 16 25
2 41 1
36 58 1
11 49 1
48 60 38
14 25 44
2 23 25
5 59 54
16 46 46
29 51 38
39 44 44
35 46 46
23 57 27
49 59 44
2 44 44
3 54 31
8 13 13
56 60 38
18 26 38
60 62 60
10 52 10
37 47 1
13 53 38
44 46 44
34 57 25
24 29 38
35 44 44
25 27 25
29 55 60
22 64 38
4 48 4
9 41 1
38 60 38
3 30 1
31 47 31
5 47 5
15 31 31
44 47 44
4 59 1
21 27 27
12 18 58
9 30 1
38 48 38
20 30 1
16 39 44
53 61 60
10 36 44
3 15 40
7 58 58
22 60 60
13 24 58
26 45 38
1 39 1
33 51 38
23 28 27
5 17 1
30 57 1
25 49 25
5 22 1
9 37 1
45 55 38
11 63 1
1 36 1
18 60 38
26 62 60
47 48 1
44 63 44
21 36 36
19 40 44
1 37 1
15 20 15
34 37 1
14 33 1
17 42 60
30 42 42
30 31 1
31 54 31
18 45 64
54 63 54
44 49 44
38 58 38
26 48 38
6 18 38
12 32 1
36 63 44
11 25 1
43 52 1
8 27 1
38 64 38
3 32 40
14 21 44
42 55 42
39 51 1
31 35 44
17 52 1
15 44 44
21 35 25
41 47 1
30 59 1
5 7 1
30 63 1
37 61 38
51 56 56
3 26 1
24 26 38
2 14 44
6 33 60
8 62 38
11 34 1
25 46 25
14 42 1
8 11 58
1 15 1
11 40 1
7 38 38
1 51 1
10 21 44
16 33 1
8 32 1
5 43 1
7 52 1
22 38 38
39 52 31
33 52 1
1 34 1
14 54 54
11 36 1
7 23 1
7 10 1
42 43 42
40 44 44
45 61 38
43 46 1
51 60 38
16 53 1
12 44 1
16 54 44
3 22 1
2 55 1
21 31 44
16 57 25
20 64 1
17 26 50
20 42 1
12 54 1
14 32 31
25 34 25
17 28 1
18 51 58
7 24 58
5 57 44
9 27 27
30 58 38
7 51 58
15 17 1
24 30 38
24 58 58
19 46 46
37 56 56
35 59 44
53 54 1
39 57 44
16 49 49
38 40 1
39 40 31
7 55 38
35 38 1
16 40 44
22 50 50
37 64 58
13 42 38
48 64 58
6 22 60
2 20 44
29 48 38
40 63 31
20 47 31
4 45 58
29 40 1
29 61 60
39 62 1
14 39 54
13 57 1
3 27 44
40 51 1
13 46 1
19 27 25
1 64 1
34 42 1
21 24 1
46 62 1
10 15 40
26 43 60
27 30 1
3 40 40
34 56 1
11 33 38
3 14 31
13 37 58
4 33 38
5 28 44
22 42 60
4 54 1
55 62 42
5 23 44
15 37 1
39 41 1
23 36 36
19 62 1
16 37 1
34 60 1
27 47 44
40 52 40
15 21 44
33 59 1
18 61 38
42 44 1
