99999 100000
56182 73778 29160
7452 98079 13551
18084 65708 71107
40557 75327 17391
19559 60930 19559
26561 90628 20960
5589 10708 5589
33844 45803 1
86 58093 6880
11270 95206 17391
35412 81499 1
8807 38466 35575
19281 92066 9364
49223 59474 23196
54411 61222 80090
17297 67488 82457
66824 82838 1
37439 92330 9604
21989 27069 15418
470 6863 80428
41722 67120 41722
5713 62049 37285
32593 42722 86406
41470 70333 4652
44971 63690 46691
44209 65644 72652
76265 97916 23986
807 99110 65946
82593 86101 82593
15981 68880 81659
19771 84067 84067
12801 34446 49887
15906 17182 72768
40244 87270 13447
26417 80479 37788
42375 74700 49285
49696 72696 35108
7193 95693 7193
17834 37697 1
59909 65240 1908
12544 15562 66581
57599 92178 30204
14992 60660 83804
8516 69735 97690
33403 44132 36723
57534 69405 1
73539 91396 77069
3620 57082 92031
53711 78199 54120
76177 95264 15387
63519 66915 86875
46133 64887 35323
40194 61992 95838
96020 96077 1
15338 41150 1
54389 83822 58967
65333 87013 561
1 7223 1
87763 87924 1
21710 97613 85362
13874 48671 30271
21782 67610 52379
12477 74241 74241
19569 68466 56262
24496 42957 99783
42671 98791 28324
36687 98101 4378
26033 37728 96283
94 20722 63015
77933 84212 14243
1932 26403 26403
45650 95357 92428
70138 96522 61707
7289 51057 5017
13466 17391 17391
43956 67457 29457
17995 98432 87261
44910 88963 88963
52302 98914 1
9688 31487 5335
22467 45335 58527
25638 47547 47547
69183 86749 39659
18030 62760 11160
22622 78061 11611
68866 74004 68866
24926 91410 1
52765 87349 48386
38774 64924 61183
1017 86871 49827
53880 83936 9640
59385 81252 1
32683 75255 32683
84545 98264 98264
7006 62950 14679
38110 87707 80116
36827 87976 26959
44497 50179 68917
16148 18058 84034
28177 70067 1
28645 82473 30109
80178 93300 84067
36963 80389 36161
56320 76790 46550
78037 79002 17391
36808 46302 60730
50659 50952 51723
45729 54190 26164
5192 32255 10399
26221 49008 60908
33791 50991 11585
62784 88135 39159
32307 81510 32307
24481 67761 72788
17153 29485 16969
17531 57298 9327
2118 3430 17582
3348 87793 21651
35090 95558 19095
2970 6443 54418
7734 17119 1
11104 17687 61267
29522 31280 1790
28275 42105 43626
60650 91286 96786
90280 94030 84330
61933 87751 17391
67137 75038 42353
18339 57544 18339
18920 39181 98349
15335 49403 78896
