99999 100000
66667 70837 66666
66668 91302 66666
66667 76264 66666
66669 88466 66666
66669 80709 66666
66669 70399 66666
66669 73984 66666
66668 96403 66666
66667 88004 66666
66669 74106 66666
66669 98045 66666
66667 67403 66666
66667 95373 66666
66668 80290 66666
66669 86237 66666
66669 86217 66666
66669 93658 66666
66667 81825 66666
66667 80006 66666
66668 76993 66666
66669 73463 66666
66669 84556 66666
66667 80457 66666
66668 82866 66666
66669 90203 66666
66668 71463 66666
66668 84489 66666
66668 82711 66666
66669 97147 66666
66669 93869 66666
66669 72824 66666
66668 98061 66666
66667 89780 66666
66667 83988 66666
66667 89456 66666
66669 91756 66666
66668 82241 66666
66669 93118 66666
66669 80965 66666
66669 69971 66666
66669 81918 66666
66669 75269 66666
66668 99550 66666
66668 75481 66666
66667 95681 66666
66668 93398 66666
66667 77266 66666
66667 95038 66666
66667 80607 66666
66669 97947 66666
66667 74719 66666
66667 74732 66666
66669 94281 66666
66668 91271 66666
66669 67232 66666
66667 92465 66666
66667 85417 66666
66669 88633 66666
66669 97716 66666
66668 71101 66666
66667 74365 66666
66669 90189 66666
66668 84426 66666
66667 99409 66666
66667 72599 66666
66668 68326 66666
66667 92983 66666
66667 96461 66666
66668 97675 66666
66668 76134 66666
66669 97208 66666
66668 89315 66666
66667 85885 66666
66668 77153 66666
66669 96310 66666
66667 92638 66666
66667 70520 66666
66669 75275 66666
66669 79447 66666
66669 98725 66666
66667 95152 66666
66668 90727 66666
66667 88291 66666
66667 91947 66666
66667 87137 66666
66669 78245 66666
66668 96346 66666
66667 75938 66666
66667 79708 66666
66668 78533 66666
66668 68641 66666
66669 78180 66666
66669 80891 66666
66668 87151 66666
66667 80229 66666
66667 70870 66666
66668 81535 66666
66668 89377 66666
66668 71444 66666
66669 69669 66666
66668 81189 66666
66668 88179 66666
66668 73001 66666
66667 92909 66666
66669 83150 66666
66667 93820 66666
66667 69427 66666
66667 98444 66666
66668 74989 66666
66669 67683 66666
66668 94491 66666
66667 79900 66666
66669 82154 66666
66667 89336 66666
66667 69250 66666
66667 76764 66666
66667 91607 66666
66668 85391 66666
66667 73164 66666
66667 91884 66666
66669 96062 66666
66669 67881 66666
66669 70006 66666
66667 75079 66666
66668 75960 66666
66668 99933 66666
66669 84046 66666
66667 84029 66666
66669 99215 66666
66668 71112 66666
66668 72923 66666
66668 72552 66666
66668 69662 66666
66669 75899 66666
66669 93183 66666
66669 73927 66666
66669 88584 66666
66668 88879 66666
66668 79237 66666
66669 82610 66666
66667 91942 66666
66668 78360 66666
66669 76454 66666
66669 96552 66666
66669 67348 66666
66668 88678 66666
66668 89797 66666
66667 73999 66666
66667 85439 66666
66669 79970 66666
66669 66873 66666
66667 93196 66666
66669 84888 66666
66669 81661 66666
66667 87701 66666
66668 95673 66666
66669 96914 66666
66668 88979 66666
66669 92713 66666
66668 86328 66666
66669 84757 66666
66669 97507 66666
66669 75152 66666
66667 94941 66666
66667 92512 66666
66668 85612 66666
66667 73790 66666
66669 98833 66666
66668 80240 66666
66667 73219 66666
66668 88195 66666
66669 90731 66666
66669 78010 66666
66668 80134 66666
66667 81672 66666
66669 82418 66666
66669 86700 66666
66669 87089 66666
66667 83484 66666
66667 96629 66666
66669 86431 66666
66667 92858 66666
66668 69064 66666
66669 85424 66666
66669 76144 66666
66667 83876 66666
66669 99670 66666
66669 93663 66666
66669 89337 66666
66667 98865 66666
66667 98034 66666
66668 67972 66666
66669 85626 66666
66669 84550 66666
66667 87711 66666
66669 86392 66666
66669 92953 66666
66669 93477 66666
66668 87789 66666
66669 88115 66666
66667 72561 66666
66667 89810 66666
66669 78222 66666
66667 78021 66666
66667 88630 66666
66667 74526 66666
66669 91648 66666
66667 87275 66666
66667 67371 66666
66667 98735 66666
66669 69982 66666
66668 74502 66666
66669 79881 66666
66669 82813 66666
66668 89795 66666
66669 70576 66666
66668 88947 66666
66668 90666 66666
66669 71070 66666
66669 70473 66666
66667 94220 66666
66669 93827 66666
66667 78677 66666
66668 83125 66666
66668 88322 66666
66667 97631 66666
66669 81778 66666
66667 85484 66666
66668 94280 66666
66668 88045 66666
66667 96226 66666
66667 83233 66666
66669 81694 66666
66667 96128 66666
66667 98077 66666
66667 93777 66666
66668 98834 66666
66667 87775 66666
66669 85929 66666
66669 98287 66666
66669 77665 66666
66668 99105 66666
66669 85505 66666
66668 77890 66666
66668 88382 66666
66669 69851 66666
66669 91917 66666
66668 84645 66666
66667 76955 66666
66668 69980 66666
66668 98875 66666
66667 67571 66666
66667 75774 66666
66669 84004 66666
66669 70681 66666
66669 96729 66666
66668 98801 66666
66669 96547 66666
66669 82742 66666
66669 75826 66666
66668 77125 66666
66669 72011 66666
66669 94397 66666
66667 94566 66666
66668 91428 66666
66667 73401 66666
66667 67297 66666
66667 72332 66666
66669 85814 66666
66669 68429 66666
66667 79774 66666
66668 85594 66666
66669 96107 66666
66668 82515 66666
66669 82106 66666
66667 99043 66666
66668 99827 66666
66669 83452 66666
66667 68173 66666
66667 70495 66666
66669 83127 66666
66667 80729 66666
66667 97242 66666
66668 74259 66666
66669 77718 66666
66668 76204 66666
66669 89464 66666
66667 74389 66666
66669 82462 66666
66669 85509 66666
66669 88791 66666
66667 78372 66666
66668 76947 66666
66669 95706 66666
66668 93153 66666
66669 76015 66666
66667 86896 66666
66667 89517 66666
66668 85593 66666
66667 77178 66666
66667 95509 66666
66667 96419 66666
66668 88929 66666
66669 93199 66666
66669 89196 66666
66667 85252 66666
66668 96671 66666
66668 94249 66666
66667 75638 66666
66668 98635 66666
66667 81077 66666
66668 68625 66666
66667 78452 66666
66668 76461 66666
66669 67830 66666
66669 68766 66666
66669 98290 66666
66668 73121 66666
66669 94841 66666
66669 92695 66666
66667 83580 66666
66667 67997 66666
66668 70805 66666
66668 73847 66666
66668 91703 66666
66669 82605 66666
66668 97771 66666
66668 98044 66666
66669 71567 66666
66668 87477 66666
66667 80096 66666
66668 85530 66666
66669 99901 66666
66667 85548 66666
66669 67526 66666
66669 81362 66666
66667 92768 66666
66667 73004 66666
66667 86193 66666
66669 67378 66666
66669 96817 66666
66669 95485 66666
66667 90998 66666
66669 83296 66666
66667 85857 66666
66667 67949 66666
66669 82393 66666
66667 68995 66666
66667 94765 66666
66669 95853 66666
66669 83958 66666
66668 69379 66666
66669 73838 66666
66668 98026 66666
66668 80385 66666
66667 90889 66666
66668 95118 66666
66668 79492 66666
66668 99135 66666
66667 77785 66666
66667 84924 66666
66667 68761 66666
66667 83702 66666
66668 90582 66666
66667 87195 66666
66668 82402 66666
66667 68723 66666
66667 89857 66666
66669 94313 66666
66669 94164 66666
66668 89234 66666
66668 82741 66666
66667 84942 66666
66668 82833 66666
66667 86969 66666
66667 76950 66666
66667 67137 66666
66667 72110 66666
66667 73745 66666
66667 66836 66666
66667 74931 66666
66669 88579 66666
66668 82014 66666
66669 74143 66666
66668 97627 66666
66667 72323 66666
66668 96135 66666
66669 99297 66666
66667 72008 66666
66669 91633 66666
66668 71055 66666
66668 97861 66666
66667 83054 66666
66668 85060 66666
66667 92623 66666
66668 84728 66666
66668 94031 66666
66669 75035 66666
66669 90324 66666
66669 78949 66666
66667 70539 66666
66668 89595 66666
66668 94109 66666
66667 69123 66666
66667 93148 66666
66669 80681 66666
66669 88276 66666
66667 85841 66666
66669 72676 66666
66669 75589 66666
66668 81784 66666
66669 96222 66666
66668 98239 66666
66668 81675 66666
66667 73997 66666
66669 77235 66666
66667 91032 66666
66667 71922 66666
66668 69141 66666
66668 86041 66666
66667 75258 66666
66668 68194 66666
66669 71839 66666
66669 90767 66666
66669 98847 66666
66668 75722 66666
66669 82643 66666
66667 77299 66666
66667 80355 66666
66667 68583 66666
66669 98034 66666
66669 66700 66666
66668 76201 66666
66669 73696 66666
66669 79550 66666
66667 82188 66666
66668 75459 66666
66669 82138 66666
66668 86484 66666
66667 74637 66666
66669 75352 66666
66669 73145 66666
66667 68852 66666
66669 82653 66666
66667 93835 66666
66667 90719 66666
66668 69897 66666
66669 87619 66666
66669 80967 66666
66669 94799 66666
66669 84291 66666
66667 76407 66666
66667 94147 66666
66667 68414 66666
66667 67443 66666
66668 74514 66666
66667 69104 66666
66667 93398 66666
66668 88909 66666
66669 91037 66666
66669 94220 66666
66668 99085 66666
66669 93558 66666
66667 81098 66666
66669 92564 66666
66669 94367 66666
66669 92587 66666
66669 90754 66666
66668 94471 66666
66667 77669 66666
66669 97016 66666
66669 82519 66666
66669 77806 66666
66668 98040 66666
66669 89806 66666
66668 86902 66666
66668 70206 66666
66667 96336 66666
66669 92637 66666
66667 77796 66666
66669 88602 66666
66669 87453 66666
66669 90829 66666
66668 82806 66666
66667 68520 66666
66667 67176 66666
66668 73532 66666
66667 73078 66666
66668 93504 66666
66669 75948 66666
66667 80638 66666
66668 72579 66666
66669 72636 66666
66668 90587 66666
66667 84764 66666
66669 73429 66666
66669 90062 66666
66669 86347 66666
66669 69369 66666
66667 96157 66666
66669 67404 66666
66667 86178 66666
66669 80822 66666
66669 98395 66666
66669 82734 66666
66667 69755 66666
66668 82326 66666
66669 94660 66666
66668 97850 66666
66667 77142 66666
66667 95141 66666
66669 73177 66666
66669 86626 66666
66667 78640 66666
66669 80285 66666
66669 97876 66666
66669 98449 66666
66667 94688 66666
66668 96851 66666
66667 74311 66666
66669 92540 66666
66668 97088 66666
66669 92603 66666
66668 76739 66666
66668 69782 66666
66667 82367 66666
66667 79052 66666
66668 94684 66666
66668 83749 66666
66667 94241 66666
66669 71881 66666
66667 69362 66666
66668 98354 66666
66667 94400 66666
66669 73053 66666
66668 84505 66666
66668 80777 66666
66668 89684 66666
66668 90834 66666
66668 84943 66666
66667 84623 66666
66668 94075 66666
66669 66854 66666
66669 93772 66666
66667 87648 66666
66668 82750 66666
66669 66902 66666
66667 89596 66666
66669 96361 66666
66668 99559 66666
66668 99015 66666
66667 77450 66666
66667 74016 66666
66669 98568 66666
66667 74674 66666
66667 79860 66666
66668 89636 66666
66668 70555 66666
66669 78813 66666
66667 96625 66666
66669 89252 66666
66669 95949 66666
66667 77268 66666
66668 89618 66666
66667 81911 66666
66668 98156 66666
66667 71049 66666
66669 80112 66666
66668 71730 66666
66667 85759 66666
66669 99431 66666
66669 81939 66666
66668 85657 66666
66668 80876 66666
66668 96342 66666
66667 73348 66666
66667 91034 66666
66669 82934 66666
66669 78138 66666
66669 76768 66666
66667 74319 66666
66667 98161 66666
66669 74370 66666
66669 93707 66666
66667 85826 66666
66669 95214 66666
66667 78879 66666
66667 71260 66666
66668 89644 66666
66668 88036 66666
66667 67984 66666
66667 79601 66666
66667 73418 66666
66668 98991 66666
66667 74406 66666
66669 72848 66666
66667 74747 66666
66668 77395 66666
66669 97896 66666
66668 76809 66666
66669 66810 66666
66667 69499 66666
66668 99955 66666
66667 75344 66666
66669 98480 66666
66667 92574 66666
66668 89111 66666
66669 84541 66666
66667 97641 66666
66667 99411 66666
66669 81929 66666
66669 69434 66666
66667 80779 66666
66667 99968 66666
66669 90622 66666
66669 88954 66666
66669 75870 66666
66668 95306 66666
66667 95007 66666
66669 86474 66666
66667 99052 66666
66668 71851 66666
66669 73290 66666
66668 90496 66666
66667 89759 66666
66667 96623 66666
66669 72436 66666
66668 98188 66666
66667 82422 66666
66667 70144 66666
66668 87618 66666
66669 90175 66666
66669 74140 66666
66668 90540 66666
66667 88745 66666
66669 86938 66666
66667 70995 66666
66668 89970 66666
