99999 49999
17391 84067 1
23986 90799 17391
43280 75414 23986
23017 89666 43280
40116 74241 89666
16699 70359 40116
44883 79711 70359
30204 97995 79711
12561 43763 97995
5026 7680 12561
46691 87804 7680
2279 98902 46691
41722 57167 2279
11090 59069 57167
46786 69796 59069
36496 61214 46786
3461 98293 36496
80342 90569 98293
11570 76587 80342
21151 93107 76587
40678 80399 93107
6008 15452 40678
41964 55501 6008
1012 87189 41964
13554 98266 87189
40748 96095 98266
2068 62128 96095
19213 75850 62128
9654 78525 19213
38793 46303 78525
1360 30246 38793
35114 88357 1360
27613 50765 88357
43773 78631 50765
87205 96751 78631
16727 28232 96751
84550 97954 16727
14025 87466 84550
11377 19384 87466
12031 94240 19384
62736 90030 12031
74280 94364 62736
90514 90965 94364
7193 13107 90965
7593 17726 7193
18791 54610 17726
5632 28053 18791
23620 26141 5632
19552 81441 26141
38532 95637 81441
15193 70682 38532
10986 36891 70682
30825 81091 36891
5336 70113 30825
20752 47787 5336
17047 24666 47787
7145 94566 17047
17785 70693 7145
32098 32307 70693
12492 25901 32307
55519 98497 12492
68755 82940 98497
95695 98626 82940
15937 35325 95695
28470 39104 35325
29178 32216 39104
12021 49384 32216
12211 19110 49384
8519 11906 19110
57483 59019 11906
28499 49562 57483
6143 52797 28499
37530 49228 52797
58583 64841 49228
53176 59421 58583
46218 92010 53176
28025 90691 92010
71232 91072 90691
5476 37359 91072
68866 98806 37359
35588 60688 98806
8735 18678 35588
2346 40409 8735
30291 83046 40409
19205 83697 83046
44156 73772 19205
13700 41518 73772
71964 88950 41518
17834 65996 88950
25593 52087 17834
5064 50318 25593
7155 35794 5064
7989 36478 35794
51716 87426 36478
41147 60873 87426
34588 88686 41147
54502 79695 34588
36002 72066 79695
17374 77249 36002
33279 37164 17374
65825 79990 33279
47283 84418 65825
58006 94614 84418
47259 95869 58006
63088 97438 95869
85285 93701 97438
12000 63103 85285
13282 18505 12000
28030 97723 13282
37527 45675 97723
16633 69990 37527
44911 73187 69990
24093 82706 44911
53394 99427 82706
12451 94079 53394
26934 50763 94079
21930 31036 26934
77539 78977 31036
15536 72991 78977
52252 88815 15536
19611 31555 52252
15201 19733 31555
52061 94798 19733
29176 48596 94798
14750 51388 29176
4786 58760 51388
62790 97705 58760
37361 97817 62790
73937 93119 97817
60709 83052 93119
75228 91907 83052
40601 47605 91907
21597 87779 40601
75532 78002 87779
10076 26513 75532
34242 35276 26513
12995 46816 34242
6404 63464 46816
6125 71487 63464
6832 94667 6125
4896 80533 94667
12294 29930 80533
69444 81978 12294
67283 73914 69444
35883 63836 73914
51172 83633 63836
48148 87031 83633
75641 82213 48148
69471 87278 75641
10089 71159 87278
38222 76199 10089
26421 82883 76199
65883 85991 26421
45498 76759 65883
71715 92711 76759
57885 65758 71715
48665 95223 57885
15983 65237 48665
61358 84918 65237
52541 93532 84918
28951 51471 93532
52631 64805 51471
2909 19559 52631
6440 95648 19559
91528 96458 6440
3956 17470 96458
16623 88821 17470
20908 39640 88821
71 38514 20908
22741 33209 38514
12393 84069 22741
18975 54104 84069
55862 68930 54104
62220 82408 55862
21422 91092 82408
19909 63502 21422
566 21398 19909
15807 84266 21398
4851 9129 84266
21892 48182 9129
5327 74616 21892
9775 60823 74616
23376 69862 9775
34534 96856 69862
30683 81430 96856
2222 21637 30683
54984 90149 2222
4394 55151 90149
27510 92961 55151
22211 98561 92961
17888 66498 98561
1338 4779 66498
33613 42249 4779
21481 41185 42249
10565 71669 41185
12300 16310 10565
14749 24281 16310
16612 81624 24281
45861 81164 81624
39922 70271 45861
51411 87709 70271
27189 55359 51411
61021 72093 27189
27707 90853 72093
55801 94402 27707
34053 84647 94402
6306 39696 34053
34299 78883 39696
1640 41078 34299
19753 61302 1640
1764 72092 19753
69260 76167 1764
33725 40930 69260
15143 60097 33725
77670 95948 60097
8223 99339 77670
21237 98339 8223
61630 74736 21237
76588 81373 61630
45169 74768 76588
22172 27496 45169
14471 86387 22172
41322 69274 14471
33213 59690 41322
29500 63947 33213
4755 99650 29500
50528 81305 99650
15206 59968 50528
11787 64944 15206
60315 81081 64944
20110 33669 60315
71365 89863 20110
73337 99293 71365
28742 47639 73337
8775 39467 28742
59205 94916 39467
8278 85642 94916
40536 96026 8278
16920 75572 40536
70205 73412 75572
31347 35747 70205
44250 97595 35747
1998 89226 44250
28660 40725 89226
27882 36114 28660
45547 88456 36114
57070 81617 45547
79303 84223 57070
76650 79535 79303
5393 88451 76650
5690 17163 88451
14690 33102 5690
41472 87737 14690
57050 77220 41472
60690 64046 57050
31730 51605 60690
22116 32665 31730
47815 77435 22116
32502 96215 47815
68992 71280 96215
8505 51531 71280
8479 64304 51531
39408 83964 8479
13848 24875 83964
8507 74406 13848
21412 66118 74406
69400 88438 21412
54616 73103 69400
