99999 100000
5000 5005 4994
69560 69561 69554
11516 11518 11510
6156 99998 6146
96842 96845 96836
84470 84473 84464
88772 88775 88766
75680 75682 75674
25604 25606 25598
88916 88921 88910
17651 99998 17642
884 885 878
34448 34449 34442
56342 56346 56336
3481 99998 3470
3457 99998 3446
12387 99998 12380
18188 18191 18182
16004 16008 15998
52388 52390 52382
88148 88150 88142
1464 99998 1454
16544 16549 16538
59432 59437 59426
8241 99998 8234
45752 45754 45746
61382 61385 61376
59246 59251 59240
16573 99998 16562
12640 99998 12632
87380 87383 87374
77666 77671 77660
27734 27737 27728
20786 20787 20780
27344 27348 27338
10104 99998 10094
58682 58687 58676
11739 99998 11732
97148 97152 97142
83954 83959 83948
98294 98296 98288
90314 90317 90308
79454 79458 79448
50570 50575 50564
34814 34818 34808
72074 72076 72068
12716 12720 12710
34046 34047 34040
16724 16729 16718
17533 99998 17522
9662 9664 9656
9674 9679 9668
13134 99998 13124
69518 69523 69512
80672 80673 80666
30956 30959 30950
22496 22501 22490
6357 99998 6350
17256 99998 17246
45314 45319 45308
9236 9239 9230
8224 99998 8216
61304 61309 61298
39290 39292 39284
7118 7120 7112
41984 41989 41978
31580 31581 31574
35750 35754 35744
77204 77208 77198
51356 51359 51350
16647 99998 16640
67172 67176 67166
23060 23063 23054
52580 52582 52574
15569 99998 15560
31166 31167 31160
4622 4625 4616
90320 90324 90314
95330 95331 95324
18467 99998 18458
34178 34183 34172
68870 68871 68864
25946 25950 25940
30332 30337 30326
24560 24565 24554
93884 93888 93878
75608 75613 75602
11126 11127 11120
15650 15651 15644
54236 54238 54230
42362 42367 42356
93806 93810 93800
97058 97063 97052
64574 64579 64568
16274 16276 16268
5042 5045 5036
57836 57840 57830
67250 67251 67244
45728 45731 45722
83594 83597 83588
57422 57425 57416
65810 65813 65804
47594 47599 47588
31490 31492 31484
99770 99774 99764
32582 32585 32576
3308 3313 3302
38132 38134 38126
49982 49985 49976
81212 81214 81206
73382 73387 73376
15878 15881 15872
98576 98579 98570
27200 27204 27194
3098 3101 3092
12116 12118 12110
29924 29929 29918
62462 62467 62456
7796 7798 7790
30260 30262 30254
15271 99998 15260
81446 81451 81440
83996 84001 83990
10094 10096 10088
51146 51150 51140
79916 79918 79910
852 99998 842
20834 20836 20828
19055 99998 19046
45332 45333 45326
47504 47506 47498
47060 47061 47054
43592 43593 43586
91070 91073 91064
11817 99998 11810
88706 88707 88700
6298 99998 6290
66650 66653 66644
55082 55083 55076
99122 99126 99116
30326 30331 30320
54026 54030 54020
91736 91739 91730
15859 99998 15848
80810 80812 80804
66410 66412 66404
67754 67755 67748
8798 8800 8792
22526 22528 22520
95954 95958 95948
80240 80242 80234
31832 31836 31826
1863 99998 1856
97982 97987 97976
25238 25242 25232
74804 74806 74798
16294 99998 16286
66770 66773 66764
11253 99998 11246
63590 63592 63584
1705 99998 1694
17005 99998 16994
90176 90177 90170
33926 33930 33920
31010 31015 31004
62732 62733 62726
8546 8549 8540
18597 99998 18590
