99999 100000
17391 84067 1
17391 23986 1
17391 90799 1
43280 75414 17391
43280 89666 17391
23017 43280 17391
40116 74241 43280
40116 70359 43280
16699 40116 43280
44883 79711 40116
79711 97995 40116
30204 79711 40116
12561 43763 79711
7680 12561 79711
5026 12561 79711
46691 87804 12561
2279 46691 12561
46691 98902 12561
41722 57167 46691
57167 59069 46691
11090 57167 46691
46786 69796 57167
36496 46786 57167
46786 61214 57167
3461 98293 46786
80342 98293 46786
90569 98293 46786
11570 76587 98293
76587 93107 98293
21151 76587 98293
40678 80399 76587
6008 40678 76587
15452 40678 76587
41964 55501 40678
41964 87189 40678
1012 41964 40678
13554 98266 41964
96095 98266 41964
40748 98266 41964
2068 62128 98266
19213 62128 98266
62128 75850 98266
9654 78525 62128
38793 78525 62128
46303 78525 62128
1360 30246 78525
1360 88357 78525
1360 35114 78525
27613 50765 1360
50765 78631 1360
43773 50765 1360
87205 96751 50765
16727 96751 50765
28232 96751 50765
84550 97954 96751
84550 87466 96751
14025 84550 96751
11377 19384 84550
12031 19384 84550
19384 94240 84550
62736 90030 19384
62736 94364 19384
62736 74280 19384
90514 90965 62736
7193 90965 62736
13107 90965 62736
7593 17726 90965
17726 18791 90965
17726 54610 90965
5632 28053 17726
5632 26141 17726
5632 23620 17726
19552 81441 5632
38532 81441 5632
81441 95637 5632
15193 70682 81441
36891 70682 81441
10986 70682 81441
30825 81091 70682
5336 30825 70682
30825 70113 70682
20752 47787 30825
17047 47787 30825
24666 47787 30825
7145 94566 47787
7145 70693 47787
7145 17785 47787
32098 32307 7145
12492 32307 7145
25901 32307 7145
55519 98497 32307
82940 98497 32307
68755 98497 32307
95695 98626 98497
35325 95695 98497
15937 95695 98497
28470 39104 95695
32216 39104 95695
29178 39104 95695
12021 49384 39104
19110 49384 39104
12211 49384 39104
8519 11906 49384
11906 57483 49384
11906 59019 49384
28499 49562 11906
28499 52797 11906
6143 28499 11906
37530 49228 28499
49228 58583 28499
49228 64841 28499
53176 59421 49228
53176 92010 49228
46218 53176 49228
28025 90691 53176
90691 91072 53176
71232 90691 53176
5476 37359 90691
37359 98806 90691
37359 68866 90691
35588 60688 37359
8735 35588 37359
18678 35588 37359
2346 40409 35588
40409 83046 35588
30291 40409 35588
19205 83697 40409
19205 73772 40409
19205 44156 40409
13700 41518 19205
41518 88950 19205
41518 71964 19205
17834 65996 41518
17834 25593 41518
17834 52087 41518
5064 50318 17834
5064 35794 17834
5064 7155 17834
7989 36478 5064
36478 87426 5064
36478 51716 5064
41147 60873 36478
34588 41147 36478
41147 88686 36478
54502 79695 41147
36002 79695 41147
72066 79695 41147
17374 77249 79695
17374 33279 79695
17374 37164 79695
65825 79990 17374
65825 84418 17374
47283 65825 17374
58006 94614 65825
58006 95869 65825
47259 58006 65825
63088 97438 58006
85285 97438 58006
93701 97438 58006
12000 63103 97438
12000 13282 97438
12000 18505 97438
28030 97723 12000
37527 97723 12000
45675 97723 12000
16633 69990 97723
44911 69990 97723
69990 73187 97723
24093 82706 69990
53394 82706 69990
82706 99427 69990
12451 94079 82706
26934 94079 82706
50763 94079 82706
21930 31036 94079
31036 78977 94079
31036 77539 94079
15536 72991 31036
15536 52252 31036
15536 88815 31036
19611 31555 15536
19733 31555 15536
15201 31555 15536
52061 94798 31555
29176 94798 31555
48596 94798 31555
14750 51388 94798
51388 58760 94798
4786 51388 94798
62790 97705 51388
62790 97817 51388
37361 62790 51388
73937 93119 62790
83052 93119 62790
60709 93119 62790
75228 91907 93119
40601 91907 93119
47605 91907 93119
21597 87779 91907
75532 87779 91907
78002 87779 91907
10076 26513 87779
26513 34242 87779
26513 35276 87779
12995 46816 26513
46816 63464 26513
6404 46816 26513
6125 71487 46816
6125 94667 46816
6125 6832 46816
4896 80533 6125
12294 80533 6125
29930 80533 6125
69444 81978 80533
69444 73914 80533
67283 69444 80533
35883 63836 69444
63836 83633 69444
51172 63836 69444
48148 87031 63836
48148 75641 63836
48148 82213 63836
69471 87278 48148
10089 87278 48148
71159 87278 48148
38222 76199 87278
26421 76199 87278
76199 82883 87278
65883 85991 76199
65883 76759 76199
45498 65883 76199
71715 92711 65883
57885 71715 65883
65758 71715 65883
48665 95223 71715
48665 65237 71715
15983 48665 71715
61358 84918 48665
84918 93532 48665
52541 84918 48665
28951 51471 84918
51471 52631 84918
51471 64805 84918
2909 19559 51471
6440 19559 51471
19559 95648 51471
91528 96458 19559
17470 96458 19559
3956 96458 19559
16623 88821 96458
20908 88821 96458
39640 88821 96458
71 38514 88821
22741 38514 88821
33209 38514 88821
12393 84069 38514
54104 84069 38514
18975 84069 38514
55862 68930 84069
55862 82408 84069
55862 62220 84069
21422 91092 55862
19909 21422 55862
21422 63502 55862
566 21398 21422
21398 84266 21422
15807 21398 21422
4851 9129 21398
9129 21892 21398
9129 48182 21398
5327 74616 9129
9775 74616 9129
60823 74616 9129
23376 69862 74616
69862 96856 74616
34534 69862 74616
30683 81430 69862
2222 30683 69862
21637 30683 69862
54984 90149 30683
55151 90149 30683
4394 90149 30683
27510 92961 90149
92961 98561 90149
22211 92961 90149
17888 66498 92961
4779 66498 92961
1338 66498 92961
33613 42249 66498
41185 42249 66498
21481 42249 66498
10565 71669 42249
10565 16310 42249
10565 12300 42249
14749 24281 10565
24281 81624 10565
16612 24281 10565
45861 81164 24281
45861 70271 24281
39922 45861 24281
51411 87709 45861
27189 51411 45861
51411 55359 45861
61021 72093 51411
27707 72093 51411
72093 90853 51411
55801 94402 72093
34053 94402 72093
84647 94402 72093
6306 39696 94402
34299 39696 94402
39696 78883 94402
1640 41078 39696
1640 19753 39696
1640 61302 39696
1764 72092 1640
1764 69260 1640
1764 76167 1640
33725 40930 1764
33725 60097 1764
15143 33725 1764
77670 95948 33725
8223 77670 33725
77670 99339 33725
21237 98339 77670
21237 61630 77670
21237 74736 77670
76588 81373 21237
45169 76588 21237
74768 76588 21237
22172 27496 76588
14471 22172 76588
22172 86387 76588
41322 69274 22172
33213 41322 22172
41322 59690 22172
29500 63947 41322
29500 99650 41322
4755 29500 41322
50528 81305 29500
15206 50528 29500
50528 59968 29500
11787 64944 50528
60315 64944 50528
64944 81081 50528
20110 33669 64944
20110 71365 64944
20110 89863 64944
73337 99293 20110
28742 73337 20110
47639 73337 20110
8775 39467 73337
39467 94916 73337
39467 59205 73337
8278 85642 39467
