mode,n,seed,shuffle_labels,shuffle_queries,solver_rc,timed_out,val_ok,sec,rss_kb,case_dir
comb_core,64,1,0,0,0,0,1,0.014377,1632,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/hunt_ac8_path_probe/runs/comb_core/n64/seed1_L0_Q0
comb_core,64,1,0,1,0,0,1,0.012602,1632,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/hunt_ac8_path_probe/runs/comb_core/n64/seed1_L0_Q1
comb_core,64,1,1,0,0,0,1,0.012593,1632,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/hunt_ac8_path_probe/runs/comb_core/n64/seed1_L1_Q0
comb_core,64,1,1,1,0,0,1,0.010269,1616,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/hunt_ac8_path_probe/runs/comb_core/n64/seed1_L1_Q1
comb_plus_unary,64,1,0,0,0,0,1,0.012602,1648,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/hunt_ac8_path_probe/runs/comb_plus_unary/n64/seed1_L0_Q0
comb_plus_unary,64,1,0,1,0,0,1,0.012680,1632,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/hunt_ac8_path_probe/runs/comb_plus_unary/n64/seed1_L0_Q1
comb_plus_unary,64,1,1,0,0,0,1,0.012609,1648,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/hunt_ac8_path_probe/runs/comb_plus_unary/n64/seed1_L1_Q0
comb_plus_unary,64,1,1,1,0,0,1,0.012689,1680,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/hunt_ac8_path_probe/runs/comb_plus_unary/n64/seed1_L1_Q1
comb_dense,64,1,0,0,0,0,1,0.012592,1872,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/hunt_ac8_path_probe/runs/comb_dense/n64/seed1_L0_Q0
comb_dense,64,1,0,1,0,0,1,0.012592,1888,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/hunt_ac8_path_probe/runs/comb_dense/n64/seed1_L0_Q1
