64 1918
29 60 26
44 53 44
4 47 4
24 31 24
28 42 28
27 53 24
27 42 24
11 19 8
29 57 26
36 46 36
38 61 38
29 56 26
3 6 1
1 13 1
28 52 28
18 64 18
32 42 32
32 40 32
1 43 1
6 21 6
19 35 16
30 36 30
21 26 18
23 26 20
11 54 8
30 41 30
30 33 30
5 61 2
48 51 48
16 48 16
17 27 14
30 62 30
12 23 12
3 59 1
11 61 8
37 41 34
4 37 4
34 60 34
15 62 12
24 35 24
45 53 42
4 17 4
42 55 42
6 20 6
25 27 22
4 49 4
14 38 14
6 32 6
37 48 34
1 40 1
28 33 28
24 60 24
24 34 24
32 50 32
21 55 18
28 61 28
43 57 40
36 56 36
5 32 2
43 62 40
9 13 6
12 60 12
14 26 14
30 49 30
5 22 2
40 49 40
4 34 4
27 60 24
23 40 20
6 49 6
33 49 30
13 45 10
46 61 46
9 27 6
4 56 4
10 56 10
27 44 24
23 63 20
17 39 14
17 18 14
26 48 26
29 46 26
22 30 22
21 38 18
18 36 18
26 49 26
54 59 54
13 41 10
18 34 18
7 44 4
21 36 18
33 40 30
33 35 30
35 50 32
14 61 14
2 63 2
19 42 16
49 55 46
13 49 10
46 63 46
7 53 4
18 63 18
32 63 32
4 13 4
35 46 32
4 12 4
51 53 48
27 55 24
9 45 6
20 63 20
1 45 1
9 63 6
40 50 40
5 48 2
7 48 4
15 31 12
14 48 14
11 43 8
3 60 1
3 39 1
55 64 52
48 53 48
43 64 40
1 8 1
35 62 32
30 56 30
9 51 6
38 46 38
58 59 56
15 56 12
39 49 36
36 48 36
30 42 30
24 57 24
7 35 4
28 53 28
17 58 14
9 18 6
26 59 26
7 28 4
17 31 14
10 23 10
7 45 4
11 26 8
17 49 14
34 58 34
33 50 30
11 51 8
5 16 2
17 63 14
54 64 54
13 51 10
34 41 34
31 62 28
2 23 2
9 60 6
1 36 1
11 44 8
2 57 2
1 21 1
15 48 12
23 53 20
13 18 10
9 24 6
4 26 4
3 31 1
21 45 18
16 20 16
25 35 22
13 20 10
9 43 6
9 52 6
19 60 16
36 39 36
3 19 1
35 57 32
19 61 16
5 13 2
19 50 16
1 10 1
16 44 16
17 47 14
42 58 42
41 56 38
30 34 30
9 20 6
18 31 18
5 59 2
41 43 38
38 48 38
7 34 4
14 63 14
11 36 8
53 54 50
25 60 22
17 38 14
7 18 4
12 38 12
11 20 8
23 31 20
30 35 30
41 63 38
13 24 10
19 25 16
20 40 20
7 43 4
25 45 22
28 56 28
31 46 28
2 27 2
20 45 20
33 58 30
4 32 4
28 46 28
30 44 30
32 33 30
16 56 16
38 53 38
19 48 16
14 58 14
12 64 12
1 53 1
8 47 8
3 16 1
25 54 22
18 51 18
1 22 1
2 18 2
29 47 26
2 44 2
44 56 44
1 32 1
6 12 6
3 21 1
1 52 1
10 30 10
27 50 24
34 52 34
3 38 1
18 57 18
45 55 42
14 50 14
12 26 12
21 57 18
3 4 1
18 38 18
5 6 2
2 13 2
14 34 14
6 42 6
22 32 22
40 44 40
49 53 46
47 57 44
45 51 42
25 49 22
13 38 10
15 25 12
26 47 26
29 41 26
10 17 10
61 62 58
3 22 1
37 61 34
42 47 42
42 62 42
41 48 38
34 45 34
1 5 1
16 51 16
51 63 48
1 57 1
13 56 10
4 8 4
31 50 28
32 52 32
19 32 16
42 52 42
33 57 30
6 8 6
56 57 54
6 43 6
10 50 10
23 60 20
7 14 4
5 47 2
10 45 10
19 49 16
21 42 18
1 28 1
53 59 50
43 58 40
5 29 2
10 41 10
28 47 28
16 37 16
6 19 6
2 52 2
13 16 10
5 39 2
39 56 36
42 64 42
29 42 26
10 39 10
17 24 14
4 14 4
43 56 40
22 48 22
17 20 14
7 25 4
8 57 8
