1024 511
55 735 617
215 316 521
525 910 310
205 783 554
433 790 497
148 382 229
68 453 165
387 808 1001
196 925 776
425 937 732
442 804 240
128 659 382
331 874 45
481 510 773
308 895 934
411 853 976
473 597 520
500 555 636
638 957 259
636 968 558
391 870 798
336 465 751
153 547 861
431 668 853
244 877 546
235 354 903
18 944 62
2 582 87
5 875 303
764 795 717
11 119 908
276 450 44
72 628 26
468 728 743
171 353 881
367 560 112
8 531 387
299 723 959
274 445 864
332 794 691
288 334 312
360 719 511
844 949 686
95 835 714
228 364 352
51 684 753
477 762 928
335 395 201
339 528 704
355 935 854
625 854 933
287 847 559
199 840 970
237 273 474
307 557 804
381 683 421
716 862 58
170 947 679
44 542 147
441 604 1009
511 899 117
678 809 632
501 520 572
266 940 327
43 696 127
539 761 672
76 278 190
267 373 645
121 725 184
94 197 221
29 802 199
275 938 533
216 936 777
534 653 308
189 914 110
546 905 789
86 428 649
280 302 712
690 839 375
98 348 206
26 234 995
532 986 783
254 878 642
38 240 48
462 879 913
552 722 529
257 485 359
52 558 681
448 792 66
614 990 961
138 669 92
567 709 683
578 603 569
566 745 505
144 806 449
618 744 631
106 152 953
90 594 794
120 786 887
410 923 930
19 61 900
217 778 360
676 858 682
438 843 873
585 699 23
586 760 152
399 570 338
435 581 114
246 834 351
680 953 946
750 868 620
343 1009 357
622 1007 593
24 110 986
74 506 417
527 969 98
268 326 430
168 977 431
165 599 537
430 855 379
78 891 150
327 595 548
163 301 222
671 988 780
45 251 917
305 930 676
13 224 141
97 993 964
682 1006 228
942 955 172
605 710 565
454 620 906
133 737 589
179 518 638
345 736 408
66 484 176
600 918 999
314 998 960
322 796 1010
143 378 19
27 109 1021
667 889 159
731 852 194
269 637 574
516 639 493
703 823 891
606 780 499
807 813 394
505 575 806
533 765 311
321 550 984
203 419 662
974 1014 671
22 263 785
630 1008 57
79 218 281
117 872 427
584 626 445
991 992 715
60 371 509
132 681 383
31 805 295
666 810 978
721 979 801
866 920 708
84 679 217
147 195 8
93 279 951
59 921 660
296 365 13
592 753 859
113 587 121
303 464 726
57 956 336
145 540 1
41 538 602
757 943 664
675 929 727
480 632 846
9 574 403
245 758 395
421 629 322
34 727 834
64 398 307
80 526 600
701 898 567
423 926 245
798 832 278
571 972 171
158 970 566
70 890 51
350 407 37
118 183 639
508 815 472
374 583 475
312 443 675
323 413 466
752 887 39
194 515 972
87 845 893
687 747 41
67 838 1017
227 394 219
359 459 747
377 422 173
114 130 685
104 700 507
40 356 170
186 522 203
136 981 839
253 517 257
298 909 740
743 916 298
54 270 633
56 112 666
933 975 214
358 980 17
746 793 136
402 1023 316
946 967 992
740 1002 111
32 641 1007
827 1010 248
213 726 926
424 1012 11
71 406 707
397 989 410
479 509 836
149 236 64
146 174 897
225 1001 396
579 767 63
657 1003 517
469 995 736
363 556 802
6 876 266
164 648 613
490 529 534
155 439 458
182 368 746
759 816 188
447 548 169
561 617 541
572 848 584
125 738 787
596 919 731
208 264 369
21 857 730
503 537 948
884 886 807
976 985 441
492 860 440
180 999 767
811 996 191
651 739 109
330 347 83
255 396 115
463 888 461
342 609 760
491 593 825
328 686 910
370 982 921
277 591 254
623 646 738
650 997 989
393 405 46
58 562 341
634 864 6
291 1018 744
73 230 563
271 984 890
123 309 809
565 1016 50
449 673 380
408 702 32
198 282 757
466 797 367
494 950 518
35 569 692
362 787 838
166 493 74
319 471 844
47 590 502
4 427 866
129 232 337
414 800 996
212 221 374
384 773 963
689 902 605
150 432 73
193 544 405
204 729 344
231 248 716
418 733 535
415 960 309
440 661 425
63 134 962
7 14 588
536 934 162
126 763 436
649 734 693
497 822 874
434 945 244
100 907 95
470 654 941
489 672 993
713 867 350
176 487 699
160 341 524
39 297 388
260 677 762
704 774 200
190 994 68
172 915 723
476 928 1008
375 577 446
252 292 25
512 788 979
351 971 273
568 924 481
211 379 89
483 507 843
75 159 462
849 1024 155
124 711 547
524 545 925
85 249 174
261 403 695
429 821 713
188 782 677
389 903 924
3 91 1023
241 621 236
346 417 582
256 965 513
108 588 279
333 732 788
401 766 694
412 688 187
96 340 455
383 720 657
777 829 865
50 242 523
931 964 698
28 62 869
313 775 955
259 922 373
698 724 739
789 791 301
640 692 851
48 781 578
697 730 912
81 742 977
131 693 264
304 771 81
191 400 291
498 627 818
169 814 269
851 927 15
705 961 102
612 893 544
178 366 919
452 850 391
127 456 321
88 177 418
882 1020 249
856 897 615
65 576 392
201 444 414
15 372 570
102 608 126
461 830 871
616 769 422
369 607 218
219 952 3
559 770 556
229 426 888
23 265 786
380 768 980
320 906 527
137 900 528
140 663 728
324 457 857
285 691 401
25 101 183
185 504 390
247 694 792
455 741 868
207 831 703
644 828 635
695 901 614
77 707 816
36 863 457
157 647 88
272 859 573
200 966 154
601 602 330
243 645 552
499 1004 210
818 841 540
115 386 22
842 892 737
446 779 460
30 1019 302
262 388 817
315 521 945
478 1021 628
181 717 371
643 1015 504
660 756 40
306 344 1012
210 655 256
458 543 435
300 486 805
357 404 831
151 820 268
283 670 892
286 776 304
523 824 775
192 881 553
317 948 701
772 880 973
656 973 654
281 911 950
495 530 880
564 785 368
20 325 282
803 951 875
589 674 452
139 917 1020
105 963 416
16 513 450
652 662 376
361 978 820
92 551 292
894 962 36
233 846 621
17 161 366
611 912 902
337 1022 354
226 712 623
904 1013 186
338 437 385
46 580 289
103 293 849
42 436 340
665 987 122
122 754 433
392 519 287
223 352 30
812 941 1015
290 295 204
496 714 157
376 833 113
135 222 323
184 329 987
154 826 318
10 631 663
37 82 80
615 819 412
658 751 998
755 913 700
718 865 334
220 642 616
420 502 283
825 1005 594
167 1017 216
99 885 1013
142 635 99
33 385 18
475 883 500
258 801 907
541 784 659
554 610 764
202 460 591
187 954 293
390 799 498
310 514 609
69 311 492
238 869 47
409 959 7
206 488 232
284 535 711
239 908 275
214 549 914
89 156 71
107 573 935
173 939 648
472 624 429
175 817 116
633 983 378
294 708 576
116 1011 94
83 619 471
482 553 428
53 873 997
209 871 325
664 706 667
416 1000 828
715 837 597
598 685 495
162 467 761
49 613 365
12 141 55
349 861 54
563 958 815
289 932 886
836 896 669
474 749 982
111 451 974
250 318 43
