1024 895
145 540 1
540 818 1
540 841 1
498 627 540
390 498 540
498 799 540
185 504 498
504 1015 498
504 643 498
812 941 504
654 941 504
470 941 504
656 973 941
880 973 941
772 973 941
495 530 973
495 685 973
495 598 973
114 130 495
114 435 495
114 581 495
458 543 114
155 458 114
439 458 114
849 1024 458
293 849 458
103 849 458
187 954 849
187 412 849
187 688 849
615 819 187
615 897 187
615 856 187
146 174 615
174 249 615
85 174 615
882 1020 174
917 1020 174
139 1020 174
45 251 1020
45 874 1020
45 331 1020
497 822 45
433 497 45
497 790 45
122 754 497
122 987 497
122 665 497
184 329 122
121 184 122
184 725 122
113 587 184
113 376 184
113 833 184
652 662 113
203 662 113
419 662 113
186 522 662
186 1013 662
186 904 662
99 885 186
99 635 186
99 142 186
644 828 99
416 828 99
828 1000 99
105 963 828
773 963 828
384 963 828
481 510 963
481 924 963
481 568 963
389 903 481
354 903 481
235 903 481
337 1022 903
232 337 903
129 337 903
206 488 337
98 206 337
206 348 337
527 969 206
527 906 206
320 527 206
454 620 527
620 868 527
620 750 527
455 741 620
340 455 620
96 455 620
42 436 455
126 436 455
436 763 455
102 608 436
102 961 436
102 705 436
614 990 102
614 695 102
614 901 102
261 403 614
403 574 614
9 403 614
269 637 403
169 269 403
269 814 403
447 548 269
327 548 269
548 595 269
266 940 548
6 266 548
266 876 548
634 864 266
445 864 266
274 864 266
584 626 864
572 584 864
584 848 864
501 520 584
520 597 584
473 520 584
715 837 520
715 992 520
715 991 520
946 967 715
946 953 715
680 946 715
106 152 946
152 760 946
152 586 946
342 609 152
310 609 152
514 609 152
525 910 609
686 910 609
328 910 609
844 949 910
471 844 910
319 844 910
83 619 844
83 330 844
83 347 844
601 602 83
41 602 83
538 602 83
687 747 602
359 747 602
459 747 602
257 485 747
257 517 747
253 257 747
657 1003 257
383 657 257
657 720 257
132 681 657
558 681 657
52 681 657
636 968 681
500 636 681
555 636 681
475 883 636
374 475 636
475 583 636
212 221 475
94 221 475
197 221 475
116 1011 221
116 817 221
116 175 221
262 388 116
39 388 116
297 388 116
752 887 388
786 887 388
120 887 388
23 265 887
23 699 887
23 585 887
