99999 100000
13839 71727 71727
52506 59704 26133
34496 35530 75863
69381 79378 71727
8430 90199 80851
1191 54648 64719
52196 77951 77951
53446 76624 1
13814 56615 43300
21124 23434 16793
7421 33411 1
5369 11292 5369
10767 88349 1
25130 57625 5927
58791 69809 1
57238 93290 93290
25049 89802 25049
64361 67384 62661
25819 70169 25819
48598 95075 95075
36762 89013 16266
40449 93206 77951
17316 92171 55353
91542 97641 58627
51124 54566 27894
19025 25874 21749
28734 72789 44351
3635 32826 80940
32465 74597 79984
24021 49915 59597
2441 86545 1
16122 93610 93610
66638 75522 71727
54701 93697 54701
27589 79173 46384
20889 91417 1927
24890 40916 72175
34329 96737 35764
93290 93845 93290
35405 80148 95390
3896 87090 3896
36092 52250 30696
1102 55462 53238
40095 92653 86196
1 67367 1
651 86707 67934
50394 76583 83528
55820 65885 68215
7576 46542 46542
34807 64632 1
13927 98098 43149
62233 87365 1
42208 77666 86066
82852 88228 1
1807 65273 33830
22328 67268 22328
52624 70705 1
19765 38952 76304
35956 40536 59588
23932 96047 75589
62854 97600 39520
36343 98405 36343
1316 55489 55489
4317 46658 83720
26856 29483 86509
62884 76420 77951
4003 73287 84420
5936 45041 58855
30403 85547 1
4855 93824 38366
31382 61995 1
36098 93108 1
58719 69543 75465
39778 42838 69674
70746 77951 77951
2898 16266 16266
38808 72796 38808
16829 89481 1
70707 77331 77331
36352 48014 45093
42120 64421 1
70203 76539 70203
37331 76482 37331
28283 66207 28283
71727 78647 71727
33494 92728 90208
20346 57546 1
81662 83110 48828
30904 54850 19071
6412 98052 98052
34612 39987 16266
16266 31744 16266
8135 74248 24209
14526 95111 71727
48445 81931 77951
61345 88178 80369
25634 26017 47150
6546 10335 55626
7881 27519 58771
19454 76399 68438
30925 76884 68857
20693 23312 65006
36791 42472 56438
39805 87302 9753
14337 97335 66096
48835 55898 80110
40500 62231 716
18727 21981 16266
10753 85253 18003
13379 85790 62949
58208 69699 1
24849 34382 1
7434 24387 1
31367 50559 21436
58374 90691 1
11463 12806 1
43950 81424 3896
61840 99838 68071
5369 42080 5369
11203 50320 93959
85286 93110 20761
81128 88641 3953
14937 30203 14937
62067 85288 43544
9557 19434 50369
14962 96982 55225
6908 21881 94128
55261 63726 74722
13023 16344 32977
22748 62056 62056
4812 8052 1
40562 52831 55837
35610 78429 14430
24374 82253 82253
23669 31765 78779
29777 86702 695
54539 66425 1
31455 66064 45885
4590 9525 58039
34851 53160 29890
4001 87247 25932
68715 69768 93610
21030 72349 1
48647 82997 16259
1 24196 1
2539 67915 71727
43387 63182 63182
1278 56515 26878
43530 57571 34201
46169 49301 47155
9530 54258 57464
53019 59250 83760
159 29082 47463
45587 77928 75854
19301 40097 13913
11485 90700 58337
33142 80373 80373
22864 90710 14909
37585 46566 54598
22216 88866 71528
48040 49873 10399
20480 83338 1
32155 50212 1
9116 25923 60903
32742 42123 92469
21598 59652 16266
10536 47066 47066
51295 58494 19371
15942 35282 28440
1909 54573 22142
57218 58003 13172
23266 38139 59009
22780 85532 1
30559 96046 48401
34045 54833 64536
3062 25109 3243
22551 51393 58935
5107 79625 482
1 37780 1
13528 30787 58230
21796 34409 51975
18969 53729 12131
56565 81216 77951
19212 75636 1
62175 79545 1
16541 81730 16541
12006 51424 71727
3097 28381 71640
16053 36521 40525
56094 65930 10677
37102 43092 37102
16684 77951 77951
42408 59700 44051
43515 45080 1
37636 89168 89168
71354 79369 91568
26355 93338 76765
23296 37826 23296
40700 58509 48056
62044 94883 10886
44361 48218 6048
64099 67355 1
50127 98117 29678
6391 99044 49478
4733 69969 70561
43207 44920 43207
40052 63271 67595
37641 99822 66084
35026 83016 10439
5688 25570 25570
1 84998 1
32167 73560 99333
6903 92616 75686
41271 50817 11100
