50000 100000
3394 32927 3447
16901 25288 1
13918 16412 1
452 37551 452
6372 10060 10060
18811 41829 3698
7906 19252 31192
2052 42514 1
13803 35199 1
37582 43003 37582
43728 48196 46286
10104 16073 38789
15267 16998 15267
484 14434 23916
14494 42509 10060
2306 31953 31953
16532 35498 16532
21131 28698 23687
37015 49741 37015
36793 48364 45156
30590 44635 47114
2481 27640 2481
14950 40241 1
9317 44299 43552
11405 24898 22262
9977 33580 1
24207 42150 33954
532 5855 31532
18366 39309 1
5898 42293 1529
5995 22354 34763
42310 43946 49109
11521 49042 2696
28429 46773 21204
12380 18173 16669
19812 33707 37582
5976 47309 5976
15477 48111 1
550 8424 46059
10452 26891 10452
21774 31496 1
2350 3132 16574
23808 38073 1
22847 45975 45975
7307 37864 35360
40474 44358 21732
1008 12555 1008
20346 45355 45355
19514 40967 40967
12776 22384 22384
10208 35940 11426
9997 25598 32150
14549 40233 1
15707 27300 10736
11506 25080 31325
7533 25140 45994
6533 13421 1036
18271 24762 46084
2284 3572 1910
39504 40306 44492
4927 35886 6582
48662 49889 24916
23502 35146 36560
19327 31128 20374
22566 41434 1
1 13232 1
38751 44920 48820
10849 35990 7874
3142 42027 44337
29476 35219 35219
3870 33118 38548
13019 49754 10060
15702 16532 16532
45475 48140 26813
22852 46666 42692
5199 36977 29829
16023 29918 1
5436 46880 1
8003 44064 44064
18211 49384 1
3499 32086 32086
3480 17312 17312
9567 36529 9567
6800 27096 8242
18634 49357 1
6546 11668 6375
21478 30417 44191
25337 39470 38063
1 31062 1
14886 19779 49346
45858 49888 45858
31635 37582 37582
14349 47320 44144
8835 34472 1
17962 37510 17962
44191 47703 44191
39713 45161 1
26813 32782 26813
10060 45242 10060
17370 42243 1
4783 16571 5526
3775 5902 1
23372 47314 1
13917 48041 26813
3119 19775 1
19016 24257 21747
35746 44077 44077
1624 15565 17561
19493 20812 2926
13485 43027 13876
6656 39741 6656
21820 48261 7021
36961 42091 16430
18991 46794 33979
29857 41435 1
20432 21123 11675
7132 48329 10060
25352 45084 45084
6996 39748 49898
10494 19902 3442
33453 39883 1
7685 41583 18225
4278 18622 1
21147 23023 23023
26100 39983 37406
349 26813 26813
20710 29916 15437
32932 40205 1
46313 48506 1
14146 24323 11608
18253 34692 34692
7208 44191 44191
17899 36101 36101
26503 35423 1385
34897 44475 1
18399 45666 45666
13216 26298 37239
15606 25127 40479
14915 19798 8471
