16384 16383
1368 12923 2748
10359 12534 2047
10987 11799 11799
10987 16058 16058
10987 13205 13205
3145 10354 13870
3336 10987 3336
3561 15331 4531
4370 12987 6329
2105 7967 11392
10769 15665 6093
5542 6249 4
6014 6748 3319
5011 10013 7503
291 13142 13775
10261 13984 12233
5120 9098 13952
10056 10348 849
11199 15042 5255
52 3326 15601
5345 10987 5345
8926 10987 8926
10987 12199 12199
5155 10987 5155
10987 12387 12387
1958 15588 3128
5435 10987 5435
7586 10987 7586
6919 15778 4134
7554 10987 7554
5483 16223 4275
1327 3140 8608
13105 15753 2496
10987 12760 12760
1967 3706 5643
663 10987 663
10987 14992 14992
2448 10421 6424
1301 10987 1301
10923 12064 10485
2977 10987 2977
13732 15318 15036
332 10987 332
1557 10987 1557
4923 7887 10618
3 10987 3
10987 12459 12459
5769 10481 12517
5122 13106 15536
2043 16248 15576
3559 10003 3157
10353 10987 10353
9875 10987 9875
127 10987 127
4324 12687 15426
8591 10987 8591
7999 10987 7999
5614 6957 9644
10987 11145 11145
10669 13064 15679
6025 10987 6025
903 3527 1371
10987 15955 15955
5362 10987 5362
4567 10987 4567
545 6296 2694
12008 13500 5208
2521 10987 2521
10987 13219 13219
2871 12250 13447
7181 10987 7181
3531 16237 2813
6217 11424 11897
3730 7552 10990
4837 5969 6428
1938 10987 1938
7073 10987 7073
8713 12884 7849
9258 10987 9258
975 3617 5182
10987 15652 15652
191 5893 12842
5320 6944 1718
2292 10987 2292
15153 15603 14220
10514 10987 10514
4976 10987 4976
4618 10987 4618
1939 7524 10093
1356 12150 16172
10987 11184 11184
1720 5788 9719
8595 13869 12975
530 10987 530
10987 15905 15905
10145 10987 10145
3827 10987 3827
8086 13804 12973
290 10987 290
7172 11691 3325
8593 10987 8593
4693 14936 10558
3762 10987 3762
3289 11775 13928
2870 10987 2870
5627 7425 13524
10987 15952 15952
6333 13300 5429
10987 11926 11926
2530 9608 7439
10987 15420 15420
871 10987 871
10987 16333 16333
1069 10987 1069
11200 14611 15298
10987 16342 16342
418 9698 4912
6048 10987 6048
872 8846 3112
1635 4036 1229
819 14990 7904
6138 10987 6138
10987 11003 11003
3115 14957 5514
10987 14936 14936
10913 10987 10913
892 5274 15257
400 12116 12747
7239 13840 7243
4989 6709 13295
6235 10488 7721
2724 7018 6496
4522 11251 13540
2959 10987 2959
10987 15492 15492
8247 10987 8247
10987 13143 13143
10987 14854 14854
71 3339 7651
10987 11525 11525
10987 13204 13204
2885 9260 12327
1916 10987 1916
2274 10335 2877
3116 10987 3116
12344 13688 11708
10987 14416 14416
5549 13992 14364
3273 7165 11525
9165 10551 9938
10987 14967 14967
4666 10987 4666
4436 9627 13480
1475 2829 14138
2001 10987 2001
9932 10987 9932
8945 10987 8945
7228 12925 3415
3590 10987 3590
7375 10987 7375
497 7414 14321
1088 5058 4366
7623 10671 9632
5457 12637 271
2859 5807 3318
10987 15660 15660
6815 7296 7065
2382 10987 2382
10987 15950 15950
7471 11457 9217
3539 14730 2899
7068 10987 7068
6857 10987 6857
3992 12034 5620
4917 10987 4917
10987 14104 14104
2615 13933 14194
11674 11784 9173
1285 10987 1285
9841 10987 9841
10692 11836 13265
2478 10987 2478
12506 15170 8534
4119 8496 14921
10987 15264 15264
1459 10987 1459
1816 10987 1816
4397 10987 4397
3718 14843 12582
7539 10987 7539
764 14866 7677
10987 11420 11420
4680 7389 10342
9812 10987 9812
2358 10987 2358
626 10987 626
10987 13168 13168
8970 10987 8970
1789 10987 1789
8731 10987 8731
19 10987 19
10170 11571 5125
8226 10987 8226
7232 11887 227
7053 11010 5952
10987 11099 11099
4646 10987 4646
6928 10987 6928
84 13818 4819
189 4871 9290
9832 13644 5493
6697 15662 14452
10286 13150 7840
1232 8711 11448
1930 7766 10081
6668 7636 10303
10987 15257 15257
830 2614 11819
9755 16073 15157
10987 12571 12571
282 10987 282
2505 10987 2505
10987 12688 12688
6289 15321 6683
2345 10987 2345
2993 10412 9777
10987 11840 11840
5205 15349 13304
1457 4287 3367
1998 7877 2417
2651 4094 2188
2754 10987 2754
6814 7355 2152
2332 13261 13802
7982 12070 14041
7061 14855 769
10987 11524 11524
1748 10987 1748
10987 11963 11963
5611 10987 5611
8398 12624 4046
6344 10987 6344
8521 10987 8521
142 10563 4976
14972 15437 6815
1546 12403 9726
8958 10987 8958
224 9886 4573
10987 13712 13712
10987 13731 13731
5067 7662 12636
7606 15798 15319
536 13496 7752
1706 1781 1733
3702 15790 9974
7104 10987 7104
5442 15906 3601
4109 10987 4109
4572 10987 4572
13809 15511 1587
4497 8793 3243
9418 10987 9418
5068 12095 12493
10987 15414 15414
7062 10987 7062
3976 7025 7795
2393 4387 10021
4557 10987 4557
10338 14817 12944
1202 13479 9476
6091 10987 6091
3322 8708 267
6623 10987 6623
10987 12255 12255
5211 8804 10748
862 15313 6156
