128 4062
2 3 1
2 4 1
2 5 1
6 7 2
6 8 2
6 9 2
10 11 6
10 12 6
10 13 6
14 15 10
14 16 10
14 17 10
18 19 14
18 20 14
18 21 14
22 23 18
22 24 18
22 25 18
26 27 22
26 28 22
26 29 22
30 31 26
30 32 26
30 33 26
34 35 30
34 36 30
34 37 30
38 39 34
38 40 34
38 41 34
42 43 38
42 44 38
42 45 38
46 47 42
46 48 42
46 49 42
50 51 46
50 52 46
50 53 46
54 55 50
54 56 50
54 57 50
58 59 54
58 60 54
58 61 54
62 63 58
62 64 58
62 65 58
66 67 62
66 68 62
66 69 62
70 71 66
70 72 66
70 73 66
74 75 70
74 76 70
74 77 70
78 79 74
78 80 74
78 81 74
82 83 78
82 84 78
82 85 78
86 87 82
86 88 82
86 89 82
90 91 86
90 92 86
90 93 86
94 95 90
94 96 90
94 97 90
98 99 94
98 100 94
98 101 94
102 103 98
102 104 98
102 105 98
106 107 102
106 108 102
106 109 102
110 111 106
110 112 106
110 113 106
114 115 110
114 116 110
114 117 110
118 119 114
118 120 114
118 121 114
122 123 118
122 124 118
122 125 118
126 127 122
126 128 122
3 126 1
4 126 1
5 126 1
7 126 2
8 126 2
9 126 2
11 126 6
12 126 6
13 126 6
15 126 10
16 126 10
17 126 10
19 126 14
20 126 14
21 126 14
23 126 18
24 126 18
25 126 18
27 126 22
28 126 22
29 126 22
31 126 26
32 126 26
33 126 26
35 126 30
36 126 30
37 126 30
39 126 34
40 126 34
41 126 34
43 126 38
44 126 38
45 126 38
47 126 42
48 126 42
49 126 42
51 126 46
52 126 46
53 126 46
55 126 50
56 126 50
57 126 50
59 126 54
60 126 54
61 126 54
63 126 58
64 126 58
65 126 58
67 126 62
68 126 62
69 126 62
71 126 66
72 126 66
73 126 66
75 126 70
76 126 70
77 126 70
79 126 74
80 126 74
81 126 74
83 126 78
84 126 78
85 126 78
87 126 82
88 126 82
89 126 82
91 126 86
92 126 86
93 126 86
95 126 90
96 126 90
97 126 90
99 126 94
100 126 94
101 126 94
103 126 98
104 126 98
105 126 98
107 126 102
108 126 102
109 126 102
111 126 106
112 126 106
113 126 106
115 126 110
116 126 110
117 126 110
119 126 114
120 126 114
121 126 114
123 126 118
124 126 118
125 126 118
1 126 1
6 126 6
14 126 14
22 126 22
30 126 30
38 126 38
46 126 46
54 126 54
62 126 62
70 126 70
78 126 78
86 126 86
94 126 94
102 126 102
110 126 110
118 126 118
46 96 46
8 120 2
14 64 14
29 96 22
64 65 58
55 57 50
19 20 14
3 25 1
83 84 78
51 99 46
97 121 90
80 88 74
91 92 86
47 54 42
5 108 1
5 63 1
31 51 26
89 119 82
46 116 46
120 123 114
23 25 18
24 25 18
23 24 18
16 76 10
11 13 6
34 106 34
112 115 106
119 120 114
10 42 10
125 128 118
46 128 46
23 47 18
95 102 90
71 73 66
70 76 70
68 69 62
47 49 42
14 23 14
73 123 66
6 94 6
2 23 2
78 108 78
14 101 14
7 64 2
18 30 18
1 7 1
14 43 14
29 82 22
50 124 50
22 55 22
73 78 66
30 40 30
87 88 82
97 108 90
94 124 94
24 90 18
1 98 1
40 41 34
59 61 54
44 45 38
7 8 2
8 64 2
18 37 18
10 63 10
39 40 34
30 112 30
5 31 1
73 77 66
2 45 2
7 9 2
111 113 106
66 94 66
17 120 10
4 5 1
37 43 30
60 70 54
111 117 106
31 32 26
39 113 34
49 53 42
28 29 22
32 33 26
83 85 78
36 76 30
75 77 70
75 108 70
14 24 14
38 85 38
13 85 6
119 121 114
46 51 46
58 110 58
1 12 1
55 56 50
75 86 70
90 99 90
92 93 86
1 77 1
49 62 42
51 71 46
42 46 42
79 81 74
39 91 34
39 121 34
2 16 2
61 74 54
11 12 6
26 88 26
40 104 34
63 74 58
74 86 74
26 118 26
119 127 114
70 111 70
16 17 10
92 106 86
14 63 14
10 65 10
13 66 6
79 115 74
106 114 106
46 50 46
30 83 30
59 110 54
94 119 94
14 111 14
8 9 2
99 100 94
6 116 6
30 36 30
25 28 18
64 107 58
51 52 46
84 85 78
78 99 78
46 58 46
5 13 1
26 36 26
34 98 34
79 104 74
34 38 34
9 30 2
67 112 62
5 60 1
6 18 6
93 127 86
43 45 38
85 91 78
116 122 110
1 27 1
61 124 54
18 47 18
52 60 46
1 99 1
91 94 86
16 127 10
39 97 34
45 124 38
83 123 78
38 112 38
74 104 74
4 68 1
6 82 6
38 80 38
2 66 2
38 90 38
15 17 10
38 68 38
21 31 14
10 112 10
79 106 74
4 71 1
19 61 14
98 116 98
113 121 106
64 96 58
55 76 50
73 86 66
17 58 10
1 82 1
105 107 98
123 125 118
87 89 82
49 57 42
89 99 82
19 82 14
121 122 114
45 99 38
46 120 46
27 94 22
19 105 14
95 96 90
87 121 82
124 125 118
76 77 70
88 109 82
27 29 22
24 63 18
37 106 30
6 65 6
70 124 70
14 21 14
50 114 50
104 105 98
107 109 102
38 78 38
20 109 14
56 101 50
31 33 26
1 6 1
5 51 1
18 65 18
2 19 2
97 123 90
35 36 30
24 57 18
79 80 74
36 68 30
5 87 1
2 9 2
57 99 50
64 83 58
77 113 70
43 78 38
74 89 74
42 51 42
77 96 70
36 117 30
23 94 18
68 71 62
39 116 34
38 51 38
10 33 10
54 114 54
36 46 30
18 117 18
31 50 26
74 85 74
107 117 102
22 30 22
2 7 2
2 40 2
18 70 18
86 122 86
57 91 50
109 113 102
30 85 30
37 65 30
6 123 6
63 65 58
68 125 62
70 84 70
29 30 22
58 94 58
87 102 82
1 54 1
20 38 14
27 105 22
19 21 14
18 89 18
95 108 90
64 110 58
14 86 14
36 37 30
68 113 62
27 28 22
78 95 78
59 102 54
2 34 2
42 124 42
75 76 70
43 44 38
88 119 82
4 84 1
12 59 6
46 63 46
61 103 54
22 51 22
10 31 10
53 61 46
26 97 26
10 72 10
16 67 10
1 2 1
121 127 114
115 117 110
52 88 46
97 119 90
111 128 106
52 85 46
107 114 102
14 27 14
2 93 2
12 50 6
42 94 42
10 92 10
40 69 34
21 84 14
97 107 90
116 117 110
117 124 110
21 52 14
34 42 34
85 117 78
11 80 6
82 101 82
116 125 110
24 78 18
34 61 34
74 115 74
120 121 114
51 53 46
83 111 78
58 77 58
115 116 110
66 77 66
59 77 54
71 72 66
116 121 110
92 118 86
49 105 42
11 128 6
38 114 38
1 5 1
26 79 26
91 123 86
72 73 66
81 85 74
81 94 74
87 90 82
56 99 50
2 14 2
67 102 62
86 120 86
65 96 58
22 47 22
18 27 18
23 78 18
56 57 50
36 53 30
31 44 26
1 80 1
14 77 14
25 89 18
54 122 54
4 78 1
124 128 118
54 82 54
74 80 74
47 76 42
6 37 6
21 70 14
30 41 30
1 4 1
97 114 90
18 123 18
12 102 6
120 124 114
62 114 62
57 83 50
22 32 22
3 120 1
4 38 1
37 66 30
49 100 42
18 87 18
66 112 66
82 126 82
127 128 122
11 119 6
59 62 54
39 41 34
64 91 58
27 123 22
73 92 66
47 84 42
81 117 74
72 78 66
2 128 2
14 84 14
38 69 38
22 88 22
30 48 30
9 64 2
54 67 54
77 86 70
2 8 2
47 110 42
30 124 30
19 77 14
83 93 78
19 63 14
2 86 2
80 116 74
26 55 26
47 57 42
8 88 2
25 51 18
110 122 110
1 16 1
57 95 50
26 47 26
103 105 98
44 60 38
94 100 94
92 112 86
98 115 98
42 127 42
22 63 22
102 117 102
67 68 62
30 62 30
21 69 14
98 127 98
35 128 30
10 121 10
1 43 1
6 17 6
58 75 58
29 100 22
4 85 1
66 128 66
58 116 58
22 65 22
1 51 1
59 60 54
9 56 2
26 84 26
70 87 70
32 66 26
46 67 46
18 26 18
80 96 74
53 92 46
12 18 6
25 30 18
3 4 1
26 50 26
32 100 26
53 123 46
9 104 2
45 68 38
22 71 22
76 107 70
96 119 90
46 112 46
60 119 54
50 56 50
89 114 82
30 75 30
6 89 6
88 89 82
21 79 14
12 66 6
87 93 82
96 121 90
37 67 30
21 50 14
1 17 1
117 122 110
92 111 86
94 106 94
2 82 2
30 99 30
30 73 30
3 113 1
123 127 118
39 67 34
63 109 58
115 125 110
1 60 1
44 119 38
91 93 86
26 37 26
23 38 18
67 69 62
111 122 106
18 102 18
79 84 74
3 112 1
19 115 14
34 50 34
20 21 14
17 67 10
44 77 38
83 107 78
63 79 58
34 54 34
70 88 70
77 110 70
10 23 10
54 98 54
95 101 90
10 44 10
81 122 74
6 12 6
112 113 106
12 13 6
52 53 46
70 90 70
18 56 18
47 48 42
42 80 42
16 58 10
63 103 58
21 64 14
90 113 90
38 56 38
119 123 114
1 9 1
25 72 18
56 75 50
111 119 106
15 16 10
64 115 58
6 27 6
26 67 26
50 70 50
50 100 50
10 78 10
71 109 66
14 39 14
51 125 46
42 49 42
51 80 46
35 37 30
12 51 6
11 85 6
114 121 114
124 127 118
25 57 18
43 122 38
13 122 6
61 119 54
33 46 26
