4096 100000
2680 3073 3073
940 1386 1487
1616 2314 75
1794 1932 1
733 1289 966
1655 2348 1
1198 2385 620
1415 2801 4075
820 3397 820
1331 2251 2077
604 3287 3287
398 2544 261
759 1108 3559
288 1441 3540
959 3518 2509
577 922 1
3159 3320 3159
422 1600 32
2773 3547 1548
2493 2810 1
814 1284 3589
594 2377 3589
537 3519 2009
459 1179 3287
376 2733 1992
2670 2861 2861
2613 3556 2249
1499 2081 1
2267 3936 1
3208 3448 3287
1912 2745 1
2599 3439 2459
1915 3721 3721
549 1084 3287
362 1051 2625
1521 1657 1746
1548 1616 1
1410 2207 2011
378 2320 1
2339 3745 1
506 3484 982
3414 3451 2780
243 4007 1
1618 3163 2509
2205 3612 1427
1434 2645 1
547 2707 2509
259 1899 1
698 2185 1
1444 3629 2425
23 3278 460
2090 2718 1687
456 3136 2141
2212 2828 1470
700 2409 700
585 1377 2404
1301 1723 2909
704 3982 3287
984 2407 2407
1778 3458 1
418 3581 1
1085 2764 2780
954 3781 700
2140 3209 3287
1413 3617 30
1636 2332 105
454 2056 1
696 3131 1
315 2394 1593
1978 3931 350
1614 2365 1614
1684 3650 2509
2668 3287 3287
1 3165 1
1381 2294 1381
2922 3474 3474
584 1302 3350
1 2685 1
809 2948 1
576 3628 707
1361 3559 3559
3055 3277 3302
1454 1695 1
1264 4023 2625
3395 4018 2883
1354 2780 2780
564 4024 2509
2141 2886 2509
1932 4019 305
355 3994 2625
1685 2070 1685
2048 3015 1
1222 2023 1
2188 2455 2188
146 2906 1
2068 3723 1
1208 2538 2538
707 3204 707
431 3918 1
3071 3702 3821
690 2323 690
957 4045 3287
2442 3797 2861
3755 3811 730
701 2916 3287
2851 4037 2509
76 3494 354
398 1507 2556
1927 2023 1
1307 3670 1
1507 3365 3287
1102 4049 648
537 1287 2009
256 1439 1
1076 1077 974
384 3445 1523
3508 3552 1
2539 3672 2509
2789 3912 2509
1928 3186 1
178 2168 178
983 1184 2625
1482 3527 2780
2996 3757 3846
1775 2426 690
29 455 2236
755 2246 1
2422 3519 1
598 1000 3287
2814 3705 2814
550 1279 1563
2134 4057 1
149 706 2509
214 2509 2509
92 3490 2509
185 3627 3797
2115 2532 2509
2173 3207 2173
372 3088 1186
1 3184 1
621 1781 1
1094 3786 2509
1768 1998 2625
2843 2951 1
2880 3706 1
1312 3689 1
3188 3812 2509
830 3618 2645
549 2723 2236
1602 1621 3287
889 1584 2780
408 1466 3534
1419 1430 1419
2519 3287 3287
1319 1396 3815
202 3539 2509
2404 2420 2404
17 30 2770
695 2724 1
244 3590 1
2046 2235 1
3768 3810 3768
1770 1847 1
2536 3267 3145
92 1097 3632
894 1109 1109
1502 1569 1502
1679 1820 2249
37 353 1654
734 894 2571
1776 2761 2645
1720 2171 1
1 2413 1
2704 2841 2769
57 87 982
1347 4057 3053
329 2027 982
2294 3008 1502
476 2700 3287
1858 1859 1070
2955 3519 3589
3479 3496 3496
1935 2016 2407
2056 2107 4061
2318 3314 284
1773 2858 1
3080 3954 3080
1200 2370 1
1718 2923 2509
1 1410 1
1647 2243 1
1045 3043 1045
1173 1997 982
1148 3083 2533
876 1270 2509
1473 2746 1473
2462 3423 1
869 2826 1724
2780 3365 2780
2571 3251 2571
2349 3300 3589
384 1581 3580
1107 3852 720
2724 3427 3427
1109 4015 1109
184 822 1456
1501 1957 2327
1792 2215 3090
2549 3525 3360
769 2201 1
409 762 2625
1836 3589 3589
3848 4094 3287
752 1077 1026
1462 3877 3055
3095 3353 3356
1146 3053 1
29 2992 2236
140 2184 1533
379 403 2625
1070 2896 1070
793 4057 1
1395 3471 1395
828 1163 828
793 3509 648
2830 3331 2509
1274 2490 1415
2662 3482 2662
178 2354 178
1245 3042 1
752 3404 1313
792 1585 2509
232 2301 1
227 504 227
633 3487 2233
2976 3909 2455
527 1058 1
149 2026 2952
2176 3454 1
1409 2848 1
108 2922 2423
1266 2431 1
1824 3775 1
131 2982 131
2699 3550 2509
2684 3333 1
1257 1474 3287
500 1392 2625
152 898 1
419 745 745
2101 2757 2734
2008 2608 1781
1895 2269 2269
543 3239 2249
2541 3190 3287
535 2416 2780
3346 3592 2046
142 3438 1593
278 1539 1539
1520 2594 1
1566 1760 574
1759 2534 3287
515 3049 3821
1386 2814 1
3458 3521 2780
350 2407 2407
1553 2400 3458
730 3807 3287
1519 3938 2625
929 2920 1
974 2213 2780
2509 3188 2509
2030 3284 2188
1890 3521 3287
1 2138 1
873 3837 2082
1742 3946 2509
358 3223 2818
3231 3555 2103
566 1040 3648
2301 2304 1685
1221 3522 2509
865 2374 1
461 1459 1047
740 3481 2407
359 3606 1296
1143 3885 2407
474 1205 2407
2163 2693 3287
679 2287 3743
1 363 1
1228 3040 439
2380 3424 1
2779 3246 2625
2732 2796 3499
1380 3064 3179
3218 3500 1
2168 2873 3287
10 563 2188
2549 3954 131
2487 3602 2509
1550 2209 1550
700 3047 700
989 3369 1502
632 2509 2509
2228 3993 2780
1 3108 1
2236 3264 2236
689 2419 3287
1030 2530 286
1749 2696 3663
2801 3856 2188
153 647 2625
1298 1702 1702
886 1634 1
745 2453 745
896 2202 1778
925 1546 473
2293 3929 1338
1825 3588 1
1357 1748 1475
493 4059 3828
87 1230 87
3557 4077 1
1074 2509 2509
3578 3883 3287
1402 2765 1
1711 2480 2625
515 2467 3064
3011 3838 1
455 558 1
2933 3573 3287
38 2569 1835
2591 2992 2591
1317 1825 1929
1958 3137 3137
1801 3982 1801
614 1446 2339
1253 1655 1795
1246 2863 1
991 3718 1533
899 3091 1
3375 3944 2509
338 1275 1373
3433 4037 1031
331 2845 2988
3799 3839 3194
1404 1818 3778
905 2625 2625
2474 2543 1
2056 2608 3589
1656 1682 3334
1 2638 1
434 2905 2239
1769 3254 1246
591 3470 1
3200 3288 1
1 2562 1
741 2625 2625
2299 2492 1835
690 3891 690
1546 2466 286
1502 1761 1502
2416 2590 596
3320 3322 2780
1978 2059 2814
671 3324 648
533 3522 2509
35 3249 3249
2369 2612 1397
229 1290 1
2632 3357 1407
482 1705 2625
3146 3306 1
1591 2770 3287
622 1166 3134
2006 4020 1660
1300 3923 2595
507 1140 2188
687 1951 2514
1020 2153 1
1591 3340 3048
3218 3808 1
971 3161 2509
404 1455 995
694 2570 2882
2241 2949 1
1950 3824 1411
578 2321 2236
820 1688 1
327 3532 327
673 2640 1
484 3695 2384
825 2799 2509
1875 3557 2188
17 740 2005
1034 1671 1608
2991 3850 1
654 1881 1
3779 4050 3821
766 4035 2278
1952 3992 1952
3026 3984 1
19 1752 3935
502 3505 1
3150 3840 859
1045 1240 1045
509 1201 3927
3234 3481 1
986 3335 3589
690 3222 690
1 2271 1
1851 3358 460
1799 2405 3053
2118 2874 2624
1232 3466 3941
454 662 1203
898 3316 3287
1688 2804 3287
786 1512 786
995 1518 995
2453 3697 2780
182 545 2509
220 2968 1
1106 1221 1
2274 3625 2509
3029 3149 3149
2455 3790 2455
1196 3797 3797
1765 3866 2131
2483 4064 1
429 1559 1
1705 2140 3287
28 584 1177
612 2336 1
1031 1172 1674
789 1227 3334
325 1091 1091
2315 2675 4036
1551 4019 305
2055 3614 2780
298 2518 3427
2001 3496 2770
1496 1688 1
1424 2248 1
53 409 2475
1501 3811 1501
286 1244 286
132 2103 1
1427 2007 3287
976 1350 3971
1059 2648 1
1443 3818 774
2448 2551 3952
242 3996 501
1528 3800 2509
62 1841 2334
214 3812 1646
711 2280 3287
2613 3431 1
