512 27490
252 424 479
208 499 499
86 174 86
336 402 116
180 406 180
267 293 17
23 87 74
103 270 327
331 465 108
396 411 411
3 311 302
43 503 109
125 218 165
51 191 363
141 510 325
37 464 37
64 317 457
73 112 461
14 128 328
101 181 164
78 465 108
43 375 109
401 488 4
172 450 182
395 479 479
337 420 482
84 443 381
66 80 66
226 272 166
42 301 301
216 413 271
322 439 439
180 503 180
239 349 316
5 56 5
126 500 320
384 391 384
69 330 438
161 210 36
158 261 436
362 422 502
249 343 377
139 511 139
58 252 58
225 336 225
101 417 52
123 312 312
17 207 17
275 407 407
117 465 75
153 323 323
286 436 286
249 391 197
352 353 196
118 158 272
266 301 301
220 237 250
113 466 368
307 370 471
297 377 54
30 39 506
46 267 511
33 467 66
145 399 312
61 103 61
135 351 351
339 458 374
182 379 406
59 182 225
256 346 507
48 275 13
114 482 482
245 469 509
274 396 168
3 459 428
33 248 9
344 449 180
154 186 186
22 99 99
170 173 170
154 390 227
260 414 27
152 367 21
84 356 38
135 209 106
104 503 304
90 172 90
273 341 185
88 124 37
183 357 150
133 414 133
71 196 93
38 70 38
191 215 497
29 318 318
37 310 37
65 427 65
430 432 432
210 262 262
198 274 198
195 414 476
74 126 74
437 477 437
132 306 132
378 460 378
225 449 180
109 419 109
266 285 266
107 283 139
421 454 340
50 404 411
13 433 7
3 239 302
16 472 472
216 302 302
208 395 155
279 394 394
234 245 509
290 402 116
210 421 340
72 120 10
85 467 85
395 485 61
52 132 52
63 431 274
140 306 266
207 221 281
248 419 9
4 333 4
118 286 286
25 457 25
111 476 476
199 231 199
139 337 139
13 185 185
193 443 15
136 138 317
297 401 54
160 375 229
35 60 35
90 269 269
72 314 314
265 317 456
105 395 269
91 98 49
204 430 131
256 475 507
55 238 462
76 385 5
248 463 9
9 21 9
191 504 363
66 443 66
101 244 126
226 240 166
96 197 348
336 350 238
55 230 444
321 380 319
349 459 428
86 482 482
92 169 169
250 293 250
152 212 212
275 358 13
234 346 346
110 165 165
15 170 15
25 53 228
39 260 27
213 308 58
242 488 437
218 455 123
95 181 164
310 434 498
363 436 363
171 246 499
69 434 147
63 451 255
8 487 8
247 329 329
102 502 502
455 507 507
31 473 170
64 232 176
375 478 360
239 303 303
44 214 323
89 383 210
62 229 241
172 416 182
393 440 12
431 483 268
84 317 38
30 289 289
311 396 364
300 337 482
3 512 512
84 120 38
83 219 83
309 366 407
72 151 10
130 398 359
160 247 229
9 194 400
31 376 460
187 285 219
62 183 150
219 464 223
13 418 13
102 430 405
154 367 361
168 275 168
319 474 319
375 433 7
273 335 291
15 114 15
134 237 439
338 344 124
243 295 295
309 471 309
267 404 411
253 332 394
151 504 278
171 466 499
58 498 58
98 129 49
26 84 38
192 214 323
383 397 263
65 86 65
497 504 497
123 493 123
250 424 250
257 299 299
433 442 7
62 376 241
171 456 499
358 375 358
127 425 442
23 327 327
88 418 37
24 416 261
308 354 354
174 204 204
183 279 150
127 350 238
51 268 268
269 503 269
187 307 219
124 170 124
76 112 357
42 307 80
258 397 386
266 339 339
22 151 276
83 258 386
121 267 200
101 422 389
16 473 190
276 399 312
8 473 8
328 358 328
378 420 378
70 494 47
18 477 18
28 441 1
