stage,mode,n,seed,shuffle_labels,shuffle_queries,gen_ok,solver_rc,timed_out,val_ok,sec,rss_kb,case_dir
max_n_mix,balanced_dense,50000,1,1,1,1,-9,1,0,,,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/retry_loop/ac3_max_n_mix_diag/runs/max_n_mix/balanced_dense/n50000/seed1_L1_Q1
max_n_mix,balanced_dense,50000,2,1,1,1,-9,1,0,,,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/retry_loop/ac3_max_n_mix_diag/runs/max_n_mix/balanced_dense/n50000/seed2_L1_Q1
max_n_mix,balanced_dense,99999,1,1,1,1,-9,1,0,,,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/retry_loop/ac3_max_n_mix_diag/runs/max_n_mix/balanced_dense/n99999/seed1_L1_Q1
max_n_mix,balanced_dense,99999,2,1,1,1,-9,1,0,,,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/retry_loop/ac3_max_n_mix_diag/runs/max_n_mix/balanced_dense/n99999/seed2_L1_Q1
max_n_mix,random_recursive_mixed,50000,1,1,1,1,-9,1,0,,,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/retry_loop/ac3_max_n_mix_diag/runs/max_n_mix/random_recursive_mixed/n50000/seed1_L1_Q1
max_n_mix,random_recursive_mixed,50000,2,1,1,1,-9,1,0,,,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/retry_loop/ac3_max_n_mix_diag/runs/max_n_mix/random_recursive_mixed/n50000/seed2_L1_Q1
max_n_mix,random_recursive_mixed,99999,1,1,1,1,-9,1,0,,,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/retry_loop/ac3_max_n_mix_diag/runs/max_n_mix/random_recursive_mixed/n99999/seed1_L1_Q1
max_n_mix,random_recursive_mixed,99999,2,1,1,1,-9,1,0,,,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/retry_loop/ac3_max_n_mix_diag/runs/max_n_mix/random_recursive_mixed/n99999/seed2_L1_Q1
max_n_mix,comb_dense,50000,1,1,1,1,-9,1,0,,,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/retry_loop/ac3_max_n_mix_diag/runs/max_n_mix/comb_dense/n50000/seed1_L1_Q1
max_n_mix,comb_dense,50000,2,1,1,1,-9,1,0,,,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/retry_loop/ac3_max_n_mix_diag/runs/max_n_mix/comb_dense/n50000/seed2_L1_Q1
max_n_mix,comb_dense,99999,1,1,1,1,-9,1,0,,,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/retry_loop/ac3_max_n_mix_diag/runs/max_n_mix/comb_dense/n99999/seed1_L1_Q1
max_n_mix,comb_dense,99999,2,1,1,1,-9,1,0,,,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/retry_loop/ac3_max_n_mix_diag/runs/max_n_mix/comb_dense/n99999/seed2_L1_Q1
max_n_mix,comb_rect_dense,50000,1,1,1,1,-9,1,0,,,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/retry_loop/ac3_max_n_mix_diag/runs/max_n_mix/comb_rect_dense/n50000/seed1_L1_Q1
max_n_mix,comb_rect_dense,50000,2,1,1,1,-9,1,0,,,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/retry_loop/ac3_max_n_mix_diag/runs/max_n_mix/comb_rect_dense/n50000/seed2_L1_Q1
max_n_mix,comb_rect_dense,99999,1,1,1,1,-9,1,0,,,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/retry_loop/ac3_max_n_mix_diag/runs/max_n_mix/comb_rect_dense/n99999/seed1_L1_Q1
max_n_mix,comb_rect_dense,99999,2,1,1,1,-9,1,0,,,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/retry_loop/ac3_max_n_mix_diag/runs/max_n_mix/comb_rect_dense/n99999/seed2_L1_Q1
max_n_mix,multi_comb_rect,50000,1,1,1,1,-9,1,0,,,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/retry_loop/ac3_max_n_mix_diag/runs/max_n_mix/multi_comb_rect/n50000/seed1_L1_Q1
max_n_mix,multi_comb_rect,50000,2,1,1,1,-9,1,0,,,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/retry_loop/ac3_max_n_mix_diag/runs/max_n_mix/multi_comb_rect/n50000/seed2_L1_Q1
max_n_mix,multi_comb_rect,99999,1,1,1,1,-9,1,0,,,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/retry_loop/ac3_max_n_mix_diag/runs/max_n_mix/multi_comb_rect/n99999/seed1_L1_Q1
max_n_mix,multi_comb_rect,99999,2,1,1,1,-9,1,0,,,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/retry_loop/ac3_max_n_mix_diag/runs/max_n_mix/multi_comb_rect/n99999/seed2_L1_Q1
max_n_mix,multi_comb_cap,50000,1,1,1,1,-9,1,0,,,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/retry_loop/ac3_max_n_mix_diag/runs/max_n_mix/multi_comb_cap/n50000/seed1_L1_Q1
max_n_mix,multi_comb_cap,50000,2,1,1,1,-9,1,0,,,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/retry_loop/ac3_max_n_mix_diag/runs/max_n_mix/multi_comb_cap/n50000/seed2_L1_Q1
max_n_mix,multi_comb_cap,99999,1,1,1,1,-9,1,0,,,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/retry_loop/ac3_max_n_mix_diag/runs/max_n_mix/multi_comb_cap/n99999/seed1_L1_Q1
max_n_mix,multi_comb_cap,99999,2,1,1,1,-9,1,0,,,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/retry_loop/ac3_max_n_mix_diag/runs/max_n_mix/multi_comb_cap/n99999/seed2_L1_Q1
max_n_mix,caterpillar_rect_dense,50000,1,1,1,1,-9,1,0,,,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/retry_loop/ac3_max_n_mix_diag/runs/max_n_mix/caterpillar_rect_dense/n50000/seed1_L1_Q1
max_n_mix,caterpillar_rect_dense,50000,2,1,1,1,-9,1,0,,,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/retry_loop/ac3_max_n_mix_diag/runs/max_n_mix/caterpillar_rect_dense/n50000/seed2_L1_Q1
max_n_mix,caterpillar_rect_dense,99999,1,1,1,1,-9,1,0,,,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/retry_loop/ac3_max_n_mix_diag/runs/max_n_mix/caterpillar_rect_dense/n99999/seed1_L1_Q1
max_n_mix,caterpillar_rect_dense,99999,2,1,1,1,-9,1,0,,,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/retry_loop/ac3_max_n_mix_diag/runs/max_n_mix/caterpillar_rect_dense/n99999/seed2_L1_Q1
