50000 100000
11197 48134 48134
11197 19267 19267
11197 16790 39935
34969 49855 34969
11426 33101 12338
22130 43540 37122
21323 27713 40923
23139 41232 41232
3163 3552 13395
15318 36672 15318
11197 42542 26718
842 11197 842
28893 46882 21876
11197 26811 49185
32837 44686 32837
208 11197 208
11197 13873 42035
8170 23322 36882
21330 23508 17745
7489 11197 7489
8442 11197 25947
11197 46699 29956
13225 18750 26190
11522 44560 44943
70 11197 17268
6627 40436 11021
38196 40408 43059
7426 49342 22027
11197 38566 14530
11197 22218 22218
11197 21014 21014
17854 36387 13186
7503 44036 25238
31 29582 28607
35640 39798 38648
11197 32900 36398
11197 22946 22946
43342 49269 8378
13499 49989 44720
11197 19647 19647
12197 30287 25184
15957 20891 35577
10000 42578 18556
6813 33273 41081
10860 17697 24846
39825 44785 17641
11197 29769 47423
16009 34777 23433
11197 18111 16860
11197 17178 17178
21896 30057 17344
21201 25489 37203
11197 39655 39655
15436 38338 10763
11197 11539 46066
11197 28796 24771
9002 31888 9002
1310 29513 1310
5132 28116 44189
3658 32497 16430
7787 45295 36757
34144 49039 32596
25718 44370 14497
11197 34760 10315
34852 46462 22282
35254 44554 44554
4341 11824 29445
658 45579 10387
11197 37921 37921
23562 24338 20280
11197 15616 15616
11197 20247 24766
11197 22323 49452
11197 41502 1109
14105 15786 15786
25987 42789 15293
14413 46948 3686
11197 47974 47974
11197 33565 33565
7602 12424 12424
11197 34210 34210
11197 46115 30186
7227 11046 2321
5991 10166 26392
11197 11478 26226
2717 41074 45248
11197 21556 34576
408 2362 9559
9911 33196 48669
11197 29314 29314
11197 29858 29858
11197 47458 21220
1022 11197 43971
11197 43568 43568
2510 11901 14167
11197 11275 41536
8173 11197 8173
23222 30047 5723
7418 11197 34772
4770 38433 20069
11197 24822 16170
28044 48227 33167
10412 11197 10412
11197 42380 24243
24549 30052 24549
11197 34292 34292
5422 11197 5422
11197 11839 11839
11197 13498 13498
10211 40449 41792
11197 11952 19770
21187 40142 42037
10666 11197 18266
11197 14829 14829
39299 43114 39299
11197 11521 41805
11197 38037 41900
11197 25240 25240
33917 37285 28301
32877 49812 49401
11197 31291 42646
7297 47981 4993
782 11197 782
37942 38821 38821
6045 38105 31602
25563 36389 44192
11197 25227 20887
3703 30911 29568
23301 35333 32357
12771 34456 34456
1945 11197 44319
11197 21023 40920
11869 40815 40815
11197 29645 29645
11197 21289 21289
17821 43115 33894
11197 41711 41711
13174 23301 21136
11197 12391 15148
2981 23433 23433
11413 25124 10882
14100 42256 13113
14188 36606 45244
1213 26337 7180
11197 40190 40190
25602 43749 19652
19162 47913 19162
3314 11197 3314
30999 31180 33631
11197 17694 18695
11197 12233 28324
5293 48666 11948
18887 35376 35376
11197 34941 4803
4905 46613 34075
11197 46655 46655
11197 18686 18686
11197 46592 46592
9683 11197 9683
17912 27713 30083
11197 49311 21942
3005 11197 31950
21099 22147 39636
904 40864 904
11197 25664 31339
11197 36425 36425
11197 47312 47312
11197 11315 11315
6099 29114 6099
8515 11197 8515
11197 25546 25546
7678 18630 12266
36547 43367 34672
7555 11197 7555
3828 11197 3828
854 11197 854
9242 11197 3099
7563 32592 48293
5772 35411 28125
41477 43032 24951
11197 21902 3867
32735 48590 34978
15356 26753 15356
11197 16764 16764
25712 44662 7723
18842 43914 43280
11197 22849 22849
15506 43532 2188
6588 38543 6588
11197 31882 31882
829 40038 27751
26430 42719 3266
11197 15537 19403
7388 11197 19477
11197 11871 21575
11197 18091 22903
11754 44173 30227
24921 31611 45515
11197 14236 32915
708 47860 708
11197 26051 42050
14591 36305 14591
11197 21592 21592
11197 40587 40587
11197 33091 33091
22400 25214 24992
27245 29447 32977
11197 31412 31412
11197 32876 32876
7720 11197 7720
20988 25459 33455
1209 11197 12098
11197 19627 19627
25115 37615 33129
11197 12955 23839
11197 31526 47343
11197 36546 36546
34059 37264 34059
11197 14497 14497
11197 19966 19966
11197 28401 30732
11197 18905 18905
4672 48874 8353
9760 13083 17643
11197 32719 35730
22817 36547 48613
123 4527 4527
10519 11197 39753
11197 41131 18477
3776 13895 13895
15166 16652 34611
11197 30572 30572
11197 28097 17148
43284 49166 42999
11197 41247 41247
11137 48146 46369
16266 36484 38197
11197 21440 35942
11197 31330 8334
3407 49343 47609
11197 22102 22102
265 15388 23294
25398 27712 25648
14834 41348 7604
19784 22736 8615
21756 22170 7675
11197 27289 27289
11197 27454 27454
22125 34174 36607
187 45866 12178
35550 38237 5978
25794 39174 2909
10613 24226 3746
12274 29241 18567
11197 14161 14161
11197 45765 45765
11197 20576 20576
412 47435 19094
11197 34998 27777
6967 20321 39996
12205 30751 6869
11197 32328 39803
11197 30649 30649
19534 35530 38025
11197 30790 30790
15375 20776 21225
2368 13123 23938
1897 11197 24032
11197 28809 35757
3302 11197 3302
11197 38150 32184
2208 7269 2208
629 11197 629
11197 45389 45389
25190 44356 35145
35263 49088 12106
8235 48741 28263
16502 27756 17158
15614 24760 31821
4171 7236 18268
24661 34663 34477
1149 12399 12921
11197 14109 18161
26405 46136 46136
11197 25005 25005
8606 19596 1167
5585 8817 2228
11197 18964 15958
17636 28965 1755
36680 45025 38739
5691 49911 20970
5622 11197 5622
26718 34409 9869
6219 8092 45409
11197 36226 36226
11197 16470 20485
532 43326 3897
11197 19298 38473
11105 11197 41573
5956 16435 37446
32046 44757 14966
11197 45589 32520
21667 41313 41313
11197 40689 32843
11197 37078 2712
9734 17302 18765
11197 15608 15608
11197 40976 4366
2287 21124 21124
11197 26034 29932
13129 28087 44505
11197 24377 24377
35906 38504 2487
24293 36487 37572
16299 25637 25637
34424 46123 22494
15312 24123 8193
11197 31087 624
41664 43801 12728
4265 42465 42465
10194 11197 10194
5514 27966 27966
11197 21975 1244
11197 31824 48023
11197 23067 23067
11197 33865 43051
11197 44981 44981
11197 44278 17061
11197 28903 34014
5900 41489 29409
43134 48995 42733
4081 15154 15154
23248 45733 8855
11197 19289 629
11197 32007 20257
11197 43070 43070
24526 37891 25573
23884 38935 205
18627 40153 1078
3594 16607 26643
11197 41323 48751
11197 21211 8778
22391 43638 28622
11197 29298 29298
11197 21068 43795
11197 16197 17493
24025 34615 42091
11197 23533 39673
28590 44572 44572
11197 40594 40594
11197 45595 3429
11265 46311 34306
11401 14160 13775
1574 11197 1574
22283 42528 2113
11197 21418 27749
11197 28162 28162
539 40341 539
2536 20886 19742
22556 32461 4201
3471 31750 26167
23235 43776 42571
11197 23390 42122
4318 12690 38292
11197 46794 27634
8045 34450 44782
11197 11225 10807
11197 47546 47546
25366 47124 39956
30883 42084 27576
16934 34378 35416
11197 16591 30357
11197 11571 11571
1161 43454 2965
19562 34764 11564
8497 23064 20689
8879 17445 14427
5471 7211 2880
9449 11934 42011
11197 28051 28051
26495 35110 29594
3650 8157 34687
4375 11197 2583
14431 22241 14431
15514 26213 37324
11197 28536 42951
11611 49627 8135
11197 43208 4017
3122 10251 32257
22296 30047 39552
4809 33132 25417
3286 15595 45820
36073 44241 48346
11197 23010 23010
8438 28922 43226
28536 34011 42951
1188 3804 8826
8156 42456 32281
11197 22555 1309
38065 49961 31331
10956 47498 21138
18187 24671 44231
9861 32338 26301
9815 12885 19247
11197 14544 14544
9977 11197 49492
11197 12490 12490
11197 14809 14809
11197 28120 28120
10443 11197 10443
10029 23617 46719
31570 43032 24951
11197 42684 42684
9900 45903 31180
7703 11946 7703
11197 14932 41266
4874 11197 4874
11197 21678 21678
11197 22945 22945
17705 35694 18422
6931 24821 25930
11197 46886 41329
42 16090 4037
28023 31498 15303
11197 37948 37948
389 11197 389
15102 39995 39995
1958 33136 14937
6774 7271 42748
21375 29642 28558
11197 21993 46766
11197 14434 9320
11197 12474 9843
3865 11197 31600
1025 14140 49706
20895 26632 30318
11197 35446 4690
1224 45800 14961
1040 37858 12890
11197 24671 44231
23234 23774 42262
27031 48811 27031
32128 32660 7785
800 11197 27092
6331 11197 45571
11197 16879 16879
28221 38765 3795
1555 30569 48644
9584 34108 26492
11197 42682 42682
11197 35673 18455
3476 11197 48619
35577 43441 3645
18555 34317 5811
4407 27445 4407
5423 30443 5423
5826 26080 89
13731 29472 13731
26116 36039 10785
11408 40137 47202
8038 32961 32645
6883 8956 36807
11197 26022 40121
