50000 100000
10065 46658 18829
10179 47807 41473
5018 18554 9862
47446 47807 47446
47807 49406 13068
26604 47807 38529
1685 47807 28455
19013 47807 8170
15179 19401 3114
22473 47807 13986
9911 28004 20778
25081 49129 21082
9272 39853 7407
14437 47807 39458
13932 47807 13932
3874 47807 3874
30646 45654 45654
2329 30070 9783
9861 24834 36671
44541 47807 44211
26049 47807 39156
36856 47807 36856
8913 46777 22532
12654 47807 12134
31096 47807 31096
17042 33218 18093
19228 47807 32959
35392 47807 35439
6934 22385 6813
905 9431 43102
27599 47807 49762
21836 47807 26718
33391 37624 31210
11985 39674 44946
3582 5295 17347
24767 28750 24767
41301 47807 32464
18126 28473 3354
16292 47807 39134
38264 47807 13155
44330 47807 889
31675 47807 31207
42361 47807 19994
3459 47807 14734
6794 16871 1362
12344 47807 10294
8952 29967 9960
4556 8695 31528
17478 22225 32917
6017 28144 32464
479 39344 33141
12740 24986 11042
26975 48475 39719
1698 47807 38132
18462 47807 40417
4722 11385 31612
24177 30596 34444
45713 47807 45713
9647 35235 36464
9035 43048 24206
14872 19000 26993
45248 47807 45248
17717 47807 30361
15897 48482 13572
1133 28680 33784
35651 49272 43427
2718 9801 47142
25997 38044 1677
31401 47807 49166
18345 47807 43307
16585 42054 21094
47807 49168 23263
9795 35548 1564
43639 47807 6044
10970 14186 5435
24993 44417 35506
709 36662 25718
28957 47807 43346
3819 47807 45397
6325 46023 19625
35095 39271 13573
16435 47807 30639
23393 41390 43870
15543 39236 36181
4311 6088 21336
26557 47807 23032
30710 47807 19401
17878 45164 19130
35934 48703 26010
41417 47807 38644
10634 17300 34197
3775 47807 1664
10088 47807 41414
9248 47807 864
1315 21535 31594
8905 36193 9637
35820 47807 11316
2775 47807 27610
22082 25839 6607
47498 47807 23751
41923 47807 37115
29007 47807 13437
6929 31693 24812
12129 43390 5135
40862 47807 2039
2430 16306 28217
16555 38341 16166
9473 14971 32843
19794 48891 46742
17888 47807 46900
27196 47807 42943
23427 41734 48363
18745 47807 47112
27105 49166 14887
13775 41714 36039
4647 7298 12548
30640 35194 12800
44404 47807 46640
23446 29857 18828
10348 38043 20522
13422 14887 23704
33554 47807 8971
393 47807 27297
1264 24961 10680
8979 47807 47899
20455 47807 49157
2550 47807 2550
1398 23101 8525
24713 25006 25006
3819 33980 45397
33611 34841 34981
419 37155 41414
37728 42726 45078
17860 47807 7770
28560 33517 33517
31224 47807 38778
43477 47807 43477
29438 47807 25740
17840 47807 47666
47391 47807 12186
26827 36181 43321
31456 47807 12772
47807 48861 47854
13743 47076 29710
37338 47807 22086
25509 47807 38219
34634 47807 16785
39732 46370 12700
2757 27034 12237
7291 47807 27598
11482 47807 34907
12764 47528 46647
12683 47807 12683
22728 47807 38384
28026 37472 11092
5511 47807 16527
41578 48860 48860
19037 47807 13016
5284 46450 18903
13867 47807 24774
38212 47807 38212
5768 35143 21163
3039 47807 47651
17619 38545 48756
6582 13084 46587
8392 47807 7865
13466 27509 14064
22165 31628 22165
8876 47807 18452
36086 36552 6226
1719 47807 45606
31161 47807 31161
42248 47807 11089
7909 47807 38383
24726 36519 44324
19855 47807 37453
17577 47807 17577
10650 47807 10650
3798 8292 17577
20207 49735 37353
26729 47807 26729
1171 9663 35073
10695 14748 40055
8275 47807 8275
30023 47807 20786
8664 42423 27702
22399 27420 4955
26048 35233 31264
6304 47807 6304
4621 6249 26628
13440 38278 21785
24374 42983 1697
30344 47807 30344
23140 47807 23140
12097 40968 5920
13343 47807 13343
2688 32337 15524
20934 48127 48127
3493 47807 24230
38691 47807 38691
16840 29379 22011
3310 23922 15949
9504 47807 2052
4166 49574 43083
7844 9207 26847
12134 45989 35933
25643 47807 25643
14368 30669 33896
8008 31127 467
20089 35790 1010
43341 47807 19118
29692 46162 27517
22709 47807 18700
7346 47807 10556
39365 47807 33375
17927 47807 4535
12075 47807 5324
1546 47807 45487
2191 47807 14993
34211 47807 14541
20726 45320 35613
15683 35978 35978
15829 24582 42441
2160 47807 28682
46741 47807 44003
35402 36027 11271
19373 47807 40078
5973 48402 9847
19659 47807 46694
19168 47807 26010
26733 33338 45172
1982 34871 3443
45867 47807 43236
9773 48384 31637
18371 37616 34308
6494 43286 42265
47807 48426 47991
25426 25853 44812
38645 47807 38645
26168 44848 44848
38955 47807 46339
11741 47807 12851
15232 47807 15232
35357 47807 664
16300 47807 42180
31774 47807 2006
4973 11544 49349
33195 47807 14179
20021 46184 23474
12052 24803 34359
46239 47807 46881
11074 23964 37858
15295 25427 45252
44142 47807 44142
42788 47807 15644
7404 35401 7404
13991 47807 4108
22440 36132 21785
33485 47807 22691
