16384 100000
1499 9119 2500
3151 11476 11789
1361 1942 673
939 8211 8761
7097 10517 7446
6890 13507 13507
1331 13147 1331
2790 12578 15916
3045 7751 9206
3845 4414 7763
4587 10673 4587
1019 6750 7150
10711 12314 11
10091 16080 7739
7753 10874 10874
7942 11653 7942
5110 8886 8886
5465 7751 15667
7168 7751 10990
6997 16121 16121
2564 7078 10866
3039 15591 12056
7751 13037 13736
3688 9169 6596
8893 13217 1566
3723 12439 3723
5408 7524 3481
5357 11180 9853
8124 10608 10608
2869 10740 9114
816 2942 12061
4459 12682 8944
52 7751 6677
4266 7751 7403
6213 7751 3885
4870 16134 853
6157 11607 12728
3482 3885 3553
6991 12460 12460
2478 11535 11588
2301 2363 2363
7298 14430 3342
10780 11790 10780
120 12574 12574
13471 14105 9225
2688 13280 13280
3017 15156 16148
868 6914 13017
7751 8488 1224
1689 10079 10079
9992 12100 1050
5123 10270 2281
2858 11548 6381
1434 11215 4469
6170 12964 6170
3929 7751 3929
7751 15901 16199
3465 11384 3465
2094 15772 1770
4594 8802 7100
3856 8532 3984
4880 5744 2974
773 13663 15433
2710 11105 13441
3968 14404 164
10541 15575 15575
2642 7751 2642
5586 10451 8923
4814 10130 12483
3800 15019 7886
6823 11079 14356
9988 11133 2471
7751 10598 6219
1224 8861 1224
11259 15005 15005
4274 7751 4274
9245 14472 5585
8489 14416 8173
14940 15599 10079
6173 7462 7462
7306 13869 7306
4240 11436 11436
7751 12477 799
7574 7751 7574
7751 13802 7245
4934 14590 2935
10977 13947 10977
14659 14740 7857
3714 7751 11881
9459 15224 11266
2282 3320 3320
4826 5082 5372
690 7206 690
255 6858 255
7751 9121 5230
11403 11661 2780
431 10997 10997
1311 5463 2040
544 5661 7607
14662 15416 4991
457 738 457
4310 15049 8090
13052 15710 453
4648 7751 4648
1417 12917 12917
6253 7388 7388
359 14695 14691
527 6848 7014
1243 7236 1243
6640 14456 6640
6863 12163 10767
3015 7751 7495
6311 16169 16169
6105 7751 7489
2081 15564 2191
1407 4331 4526
7751 11994 11994
6389 13412 10010
11218 14328 10939
7751 12827 12827
1572 9418 9418
5129 15318 2882
506 12359 14194
12047 13657 7577
14946 16372 14033
4042 9429 5030
1343 13973 1343
2654 7751 3991
6524 10686 1703
2290 8076 11636
5250 9203 11501
12371 13956 12371
574 15712 8365
4312 4417 4312
3253 13293 13591
13862 14005 5519
1061 10714 12531
8157 11673 11581
11032 12809 11032
9995 10041 10041
42 7751 42
1810 2114 5707
911 1294 632
9619 10502 10225
5110 14372 5110
309 5467 16078
13797 14521 5294
9211 10210 15119
7751 13662 456
3928 12221 12221
5282 7336 7336
7751 8761 8761
903 7877 903
3410 4501 3410
7751 15238 5415
819 6801 6801
1116 13814 4964
4710 14014 8854
7482 10085 7482
1226 9634 2389
7010 8489 7604
12066 12752 12066
5871 12966 9851
3418 15277 3418
7751 16048 16048
3661 5854 10273
498 6320 3801
2502 9738 4299
8792 15699 15699
4683 10227 4519
