512 100000
1 278 1
278 333 278
106 333 333
106 324 106
168 324 324
168 461 168
401 461 461
112 401 401
112 421 112
265 421 421
55 265 265
55 195 55
195 243 195
151 243 243
151 262 151
262 429 262
314 429 429
141 314 314
141 270 141
86 270 270
86 315 86
302 315 315
302 443 302
254 443 443
254 467 254
182 467 467
182 512 182
52 512 512
52 464 52
464 504 464
2 504 504
2 363 2
363 436 363
35 436 436
35 416 35
184 416 416
184 311 184
311 328 311
328 484 328
389 484 484
226 389 389
7 226 226
7 334 7
334 400 334
372 400 400
355 372 372
355 422 355
294 422 422
294 385 294
140 385 385
140 307 140
178 307 307
178 354 178
79 354 354
79 259 79
259 476 259
96 476 476
96 149 96
84 149 149
84 125 84
73 125 125
73 326 73
326 428 326
22 428 428
22 208 22
208 258 208
258 508 258
435 508 508
435 447 435
313 447 447
313 479 313
305 479 479
295 305 305
107 295 295
107 410 107
266 410 410
31 266 266
5 31 31
5 306 5
306 358 306
56 358 358
56 180 56
180 332 180
143 332 332
143 175 143
175 377 175
377 481 377
481 507 481
189 507 507
189 471 189
303 471 471
303 414 303
57 414 414
57 248 57
99 248 248
99 485 99
24 485 485
24 490 24
219 490 490
219 284 219
284 395 284
347 395 395
347 418 347
101 418 418
101 200 101
200 237 200
89 237 237
89 246 89
246 402 246
402 411 402
411 502 411
502 511 502
336 511 511
276 336 336
276 341 276
289 341 341
289 351 289
256 351 351
256 268 256
268 440 268
440 480 440
454 480 480
451 454 454
233 451 451
196 233 233
196 373 196
257 373 373
257 492 257
147 492 492
147 393 147
393 468 393
3 468 468
3 74 3
74 477 74
304 477 477
244 304 304
244 379 244
379 487 379
353 487 487
29 353 353
29 404 29
60 404 404
60 376 60
41 376 376
41 280 41
280 488 280
133 488 488
65 133 133
65 161 65
13 161 161
13 380 13
344 380 380
170 344 344
71 170 170
71 474 71
264 474 474
264 448 264
217 448 448
217 456 217
103 456 456
103 339 103
339 381 339
159 381 381
159 239 159
239 439 239
337 439 439
95 337 337
95 346 95
343 346 346
343 463 343
187 463 463
33 187 187
33 87 33
87 108 87
108 134 108
134 163 134
163 190 163
190 222 190
122 222 222
122 482 122
211 482 482
211 501 211
287 501 501
287 319 287
319 398 319
131 398 398
131 420 131
75 420 420
15 75 75
15 470 15
102 470 470
102 154 102
85 154 154
85 88 85
44 88 88
44 281 44
20 281 281
20 475 20
216 475 475
216 350 216
350 361 350
201 361 361
201 388 201
245 388 388
27 245 245
27 59 27
59 105 59
105 212 105
212 220 212
220 399 220
394 399 399
394 500 394
116 500 500
116 419 116
419 432 419
66 432 432
66 292 66
292 329 292
218 329 329
98 218 218
98 503 98
64 503 503
64 290 64
290 438 290
352 438 438
352 387 352
267 387 387
267 403 267
403 489 403
327 489 489
327 494 327
368 494 494
155 368 368
155 188 155
188 437 188
231 437 437
12 231 231
12 54 12
54 166 54
104 166 166
104 426 104
167 426 426
156 167 167
23 156 156
23 138 23
138 277 138
58 277 277
58 109 58
109 223 109
223 493 223
173 493 493
173 230 173
230 238 230
238 446 238
215 446 446
205 215 215
120 205 205
120 186 120
36 186 186
36 509 36
225 509 509
213 225 225
19 213 213
19 46 19
46 309 46
90 309 309
90 386 90
227 386 386
227 452 227
390 452 452
285 390 390
285 364 285
77 364 364
67 77 77
53 67 67
53 148 53
148 232 148
232 472 232
291 472 472
137 291 291
82 137 137
82 192 82
192 362 192
235 362 362
34 235 235
34 322 34
14 322 322
14 279 14
279 499 279
392 499 499
348 392 392
348 366 348
366 455 366
430 455 455
78 430 430
78 114 78
114 441 114
250 441 441
250 321 250
321 349 321
349 496 349
320 496 496
38 320 320
38 69 38
69 160 69
160 413 160
117 413 413
117 297 117
297 408 297
367 408 408
367 458 367
198 458 458
162 198 198
17 162 162
17 275 17
275 331 275
331 405 331
144 405 405
144 427 144
427 466 427
378 466 466
130 378 378
50 130 130
50 111 50
111 357 111
94 357 357
94 283 94
110 283 283
43 110 110
43 473 43
207 473 473
172 207 207
172 298 172
251 298 298
210 251 251
210 450 210
391 450 450
221 391 391
100 221 221
100 384 100
61 384 384
61 288 61
63 288 288
63 356 63
185 356 356
157 185 185
157 242 157
242 505 242
317 505 505
229 317 317
229 497 229
169 497 497
6 169 169
6 272 6
263 272 272
263 312 263
135 312 312
135 323 135
121 323 323
121 449 121
396 449 449
296 396 396
252 296 296
252 293 252
293 365 293
72 365 365
72 510 72
118 510 510
48 118 118
48 241 48
177 241 241
177 260 177
30 260 260
26 30 30
26 119 26
119 150 119
150 191 150
191 318 191
136 318 318
136 300 136
8 300 300
8 181 8
70 181 181
70 423 70
423 506 423
224 506 506
129 224 224
129 453 129
453 469 453
434 469 469
47 434 434
47 126 47
123 126 126
123 301 123
273 301 301
128 273 273
128 359 128
4 359 359
4 40 4
40 274 40
274 310 274
194 310 310
10 194 194
10 431 10
308 431 431
308 486 308
39 486 486
39 371 39
271 371 371
271 360 271
18 360 360
18 139 18
139 204 139
204 369 204
113 369 369
113 445 113
445 478 445
199 478 478
199 412 199
370 412 412
240 370 370
158 240 240
158 457 158
342 457 457
342 406 342
179 406 406
25 179 179
25 459 25
11 459 459
11 491 11
491 495 491
37 495 495
37 338 37
193 338 338
193 203 193
203 299 203
183 299 299
183 209 183
152 209 209
152 374 152
132 374 374
132 174 132
174 442 174
171 442 442
171 282 171
146 282 282
127 146 146
127 424 127
32 424 424
32 397 32
164 397 397
164 214 164
214 234 214
176 234 234
80 176 176
80 247 80
81 247 247
81 228 81
91 228 228
51 91 91
49 51 51
49 124 49
124 407 124
92 407 407
92 253 92
153 253 253
153 249 153
202 249 249
202 460 202
97 460 460
97 335 97
236 335 335
236 255 236
93 255 255
93 165 93
142 165 165
142 417 142
197 417 417
197 269 197
261 269 269
261 498 261
286 498 498
286 433 286
42 433 433
42 382 42
382 462 382
383 462 462
45 383 383
28 45 45
28 68 28
68 325 68
316 325 325
62 316 316
21 62 62
21 483 21
409 483 483
409 444 409
115 444 444
115 206 115
9 206 206
9 465 9
415 465 465
83 415 415
16 83 83
16 375 16
145 375 375
145 425 145
330 425 425
330 340 330
76 340 340
76 345 76
1 333 1
106 278 278
324 333 333
106 168 106
324 461 324
168 401 168
112 461 461
401 421 401
112 265 112
55 421 421
195 265 265
55 243 55
151 195 195
243 262 243
151 429 151
262 314 262
141 429 429
270 314 314
86 141 141
270 315 270
86 302 86
315 443 315
254 302 302
443 467 443
182 254 254
467 512 467
52 182 182
464 512 512
52 504 52
2 464 464
363 504 504
2 436 2
35 363 363
416 436 436
35 184 35
311 416 416
184 328 184
311 484 311
328 389 328
226 484 484
7 389 389
226 334 226
7 400 7
334 372 334
355 400 400
372 422 372
294 355 355
385 422 422
140 294 294
307 385 385
140 178 140
307 354 307
79 178 178
259 354 354
79 476 79
96 259 259
149 476 476
84 96 96
125 149 149
73 84 84
125 326 125
73 428 73
22 326 326
208 428 428
22 258 22
208 508 208
258 435 258
447 508 508
313 435 435
447 479 447
305 313 313
295 479 479
107 305 305
295 410 295
107 266 107
31 410 410
5 266 266
31 306 31
5 358 5
56 306 306
180 358 358
56 332 56
143 180 180
175 332 332
143 377 143
175 481 175
377 507 377
189 481 481
471 507 507
189 303 189
414 471 471
57 303 303
248 414 414
57 99 57
248 485 248
24 99 99
485 490 485
24 219 24
284 490 490
219 395 219
284 347 284
395 418 395
101 347 347
200 418 418
101 237 101
89 200 200
237 246 237
89 402 89
246 411 246
402 502 402
411 511 411
336 502 502
276 511 511
336 341 336
276 289 276
341 351 341
256 289 289
268 351 351
256 440 256
268 480 268
440 454 440
451 480 480
233 454 454
196 451 451
233 373 233
196 257 196
373 492 373
147 257 257
393 492 492
147 468 147
3 393 393
74 468 468
3 477 3
74 304 74
244 477 477
304 379 304
244 487 244
353 379 379
29 487 487
353 404 353
29 60 29
376 404 404
41 60 60
280 376 376
41 488 41
133 280 280
65 488 488
133 161 133
13 65 65
161 380 161
13 344 13
170 380 380
71 344 344
170 474 170
71 264 71
448 474 474
217 264 264
448 456 448
103 217 217
339 456 456
103 381 103
159 339 339
239 381 381
159 439 159
239 337 239
95 439 439
337 346 337
95 343 95
346 463 346
187 343 343
33 463 463
87 187 187
33 108 33
87 134 87
108 163 108
134 190 134
163 222 163
122 190 190
222 482 222
122 211 122
482 501 482
211 287 211
319 501 501
287 398 287
131 319 319
398 420 398
75 131 131
15 420 420
75 470 75
15 102 15
