1024 47498
6 58 6
205 461 198
735 906 730
575 599 570
587 926 582
134 635 134
14 779 14
66 344 66
218 702 218
238 613 238
235 324 230
415 614 410
6 26 6
975 988 970
276 635 270
740 933 734
518 974 518
44 762 38
146 382 146
623 785 618
119 141 114
150 474 150
623 957 618
563 982 558
572 847 566
924 937 918
413 647 406
46 265 46
708 1022 702
177 577 170
786 981 786
93 224 86
163 845 158
194 859 194
387 465 382
987 1008 982
339 938 334
325 904 318
43 906 38
29 453 22
490 636 490
554 722 554
630 873 630
625 965 618
859 997 854
110 390 110
310 429 310
596 969 590
212 671 206
772 993 766
165 229 158
382 618 382
440 808 434
171 818 166
469 1022 462
779 802 774
98 675 98
321 929 314
773 802 766
856 943 850
381 866 374
58 128 58
26 918 26
318 334 318
624 636 618
66 650 66
782 944 782
148 484 142
587 715 582
512 657 506
439 673 434
544 983 538
109 816 102
598 657 598
202 368 202
8 947 2
515 616 510
120 602 114
30 815 30
378 457 378
970 977 970
537 658 530
166 826 166
226 801 226
507 871 502
382 507 382
798 800 794
667 971 662
58 290 58
8 538 2
718 856 718
758 948 758
134 924 134
215 726 210
18 531 18
332 458 326
136 690 130
138 192 138
658 721 658
263 957 258
56 292 50
506 756 506
163 759 158
815 825 810
877 1020 870
195 390 190
222 812 222
557 579 550
2 241 2
61 262 54
29 241 22
654 826 654
46 747 46
366 404 366
933 940 926
187 389 182
134 241 134
368 855 362
430 733 430
265 458 258
6 110 6
1 605 1
66 722 66
738 741 734
218 570 218
725 851 718
266 395 266
526 741 526
526 538 526
565 739 558
287 876 282
216 964 210
470 844 470
125 443 118
282 481 282
610 734 610
20 238 14
109 553 102
307 979 302
374 681 374
889 892 882
452 787 446
110 295 110
7 971 2
395 445 390
288 806 282
591 684 586
287 630 282
890 917 890
675 763 670
214 268 214
242 918 242
681 836 674
296 820 290
903 940 898
22 433 22
439 572 434
104 862 98
545 662 538
228 585 222
514 753 514
446 801 446
232 620 226
602 831 602
724 797 718
672 825 666
342 582 342
198 509 198
390 462 390
398 629 398
6 32 6
626 953 626
130 836 130
138 859 138
159 602 154
192 797 186
50 52 46
478 941 478
206 508 206
288 669 282
505 774 498
760 948 754
22 185 22
867 1011 862
140 958 134
332 610 326
867 941 862
145 568 138
732 938 726
483 1022 478
470 839 470
206 585 206
50 838 50
873 1020 866
799 1009 794
359 745 354
768 1022 762
222 582 222
585 649 578
494 655 494
94 617 94
318 400 318
94 104 94
533 608 526
6 73 6
172 616 166
197 497 190
726 764 726
462 548 462
138 434 138
193 755 186
177 672 170
556 635 550
29 917 22
230 416 230
598 614 598
168 646 162
182 767 182
800 1022 794
382 921 382
