256 6710
240 256 256
22 25 104
120 153 120
47 106 120
127 256 27
48 128 78
48 111 78
201 212 212
78 203 78
126 183 1
36 249 6
91 138 138
49 69 212
162 171 83
123 225 103
58 161 212
13 207 120
41 118 118
50 201 78
189 208 1
167 174 167
9 47 120
1 253 1
45 210 247
10 197 78
150 213 213
140 237 1
105 236 1
1 49 1
47 81 1
70 96 212
59 126 42
31 141 212
11 47 47
184 244 244
44 101 13
37 181 152
114 189 1
197 241 1
77 174 1
121 184 212
1 179 1
65 226 120
123 178 123
25 162 1
3 239 42
187 226 1
60 137 1
44 214 13
44 80 1
147 196 1
74 195 1
9 106 13
75 203 160
32 157 157
159 250 141
12 213 47
44 228 2
71 169 1
76 106 120
111 210 212
226 227 120
34 42 42
26 144 1
73 152 152
192 219 1
114 136 78
25 147 213
32 212 212
116 168 182
98 181 1
26 66 192
23 231 6
54 190 1
236 240 240
85 145 1
17 147 120
88 97 67
121 229 1
148 235 1
66 117 13
8 121 1
109 116 1
45 239 239
183 227 227
136 214 1
153 174 120
146 256 1
72 123 120
85 240 240
26 192 192
18 194 213
100 124 213
7 226 1
1 95 1
8 170 1
55 58 212
17 169 1
42 83 212
22 250 1
24 224 120
82 199 1
16 103 1
132 230 1
41 157 1
32 181 1
127 243 42
25 225 47
183 198 227
108 171 204
205 225 1
215 234 13
69 96 78
58 243 220
182 217 1
48 141 160
17 100 120
8 160 1
54 141 1
10 62 78
137 142 42
115 166 1
22 211 104
157 246 1
152 253 1
120 238 120
36 180 42
65 72 13
82 116 1
66 160 1
65 228 2
139 185 78
11 60 104
46 167 224
24 147 213
76 124 104
143 198 227
63 158 1
59 84 34
92 250 1
84 237 1
107 230 1
159 225 1
56 82 1
27 136 212
21 116 9
91 224 1
57 195 57
1 160 1
11 124 104
136 186 212
48 131 203
188 225 92
115 155 192
38 250 78
156 223 42
55 108 78
4 230 1
67 105 92
172 181 47
94 130 1
1 115 1
157 177 1
194 242 1
169 194 1
18 36 1
96 206 78
189 227 13
27 59 42
31 196 138
6 137 151
185 221 1
1 123 1
138 225 1
80 137 42
130 172 1
108 168 1
62 228 1
53 231 212
173 217 212
140 197 139
1 145 1
94 126 1
7 180 42
151 227 1
109 248 109
233 239 1
42 220 42
16 105 1
47 212 1
1 7 1
70 93 1
45 226 1
44 216 120
90 106 90
78 120 1
89 238 9
71 159 1
178 208 1
113 122 80
98 211 1
76 86 120
143 144 1
138 180 34
120 191 120
17 93 120
9 51 224
69 83 139
25 232 47
16 112 1
32 196 42
46 227 13
62 197 83
104 150 104
41 75 1
40 189 1
42 196 42
26 174 167
98 171 78
41 121 1
23 33 23
25 135 47
167 215 192
62 63 83
76 207 172
97 159 1
19 39 10
114 204 83
52 115 224
78 230 78
20 115 13
17 213 120
103 244 1
9 103 120
233 237 233
1 86 1
39 98 10
30 187 1
104 233 213
4 186 1
185 191 1
94 172 120
221 226 152
218 256 212
15 201 160
51 106 13
203 244 212
97 108 1
9 165 224
10 163 160
116 167 224
10 81 78
67 167 120
136 218 95
152 177 152
127 215 1
120 241 120
26 155 251
32 188 1
78 160 78
32 46 1
18 182 120
86 108 1
227 234 227
185 246 1
86 229 90
85 238 1
165 220 1
95 196 212
121 151 212
66 241 120
109 143 1
37 252 47
74 117 13
96 131 160
25 92 47
59 190 113
23 149 212
121 250 78
158 249 1
164 233 1
161 230 111
237 248 1
87 155 13
78 111 78
50 122 212
90 225 120
124 228 120
168 180 1
73 188 152
21 246 13
27 192 1
188 247 1
63 77 139
24 79 1
5 215 192
118 179 1
150 200 213
54 246 227
155 174 251
42 239 42
91 182 1
96 152 1
160 206 78
37 89 120
96 103 1
26 251 251
23 36 6
77 89 1
39 149 10
48 218 203
133 168 133
52 227 13
188 238 120
128 137 212
129 143 143
101 246 13
120 158 120
219 220 34
170 256 27
15 164 212
179 239 42
164 174 1
148 177 92
165 208 1
109 131 203
50 69 134
85 172 1
70 110 42
175 212 212
1 106 1
190 205 247
11 88 47
85 157 27
25 26 120
