512 27181
453 496 197
81 206 81
6 297 6
106 352 96
298 462 42
276 356 20
309 458 53
140 260 4
30 446 30
316 351 60
197 276 20
503 510 247
237 401 145
164 273 17
7 505 7
105 410 105
232 457 201
85 430 85
58 168 58
186 407 151
247 344 88
157 381 125
183 306 50
9 53 9
187 285 29
394 506 138
128 199 128
493 511 237
337 345 81
398 508 142
225 477 221
425 496 169
79 82 79
373 472 117
113 298 42
155 203 155
262 382 6
155 268 12
55 95 55
88 378 88
206 314 58
394 397 138
273 470 17
4 243 4
412 485 156
141 142 141
96 511 96
205 422 166
14 351 14
419 496 163
438 512 182
328 365 72
229 289 33
66 312 56
12 55 12
199 435 179
54 328 54
43 496 43
244 433 177
111 244 111
266 437 10
255 498 242
393 422 137
85 344 85
104 314 58
8 511 8
68 448 68
298 512 42
413 463 157
222 460 204
4 282 4
93 314 58
125 312 56
462 476 206
456 465 200
287 367 31
47 181 47
404 491 148
386 488 130
396 492 140
52 463 52
393 419 137
390 421 134
202 447 191
224 281 25
73 104 73
101 370 101
58 436 58
436 492 180
76 307 51
226 424 168
168 238 168
104 287 31
247 427 171
164 476 164
6 91 6
450 477 194
315 448 59
30 295 30
180 396 140
221 339 83
473 480 217
299 491 43
15 339 15
259 395 3
251 267 11
483 509 227
381 428 125
264 396 8
37 156 37
217 386 130
196 437 181
166 334 78
183 368 112
330 486 74
42 168 42
359 417 103
86 337 81
287 312 31
398 409 142
48 176 48
34 207 34
422 439 166
245 400 144
457 483 201
71 112 71
368 403 112
70 184 70
166 339 83
235 245 235
214 237 214
7 263 7
426 466 170
211 443 187
206 397 141
28 359 28
381 502 125
63 336 63
421 478 165
205 506 205
153 377 121
188 341 85
465 509 209
298 309 42
2 24 2
178 274 18
445 491 189
231 464 208
85 457 85
191 355 99
112 162 112
132 475 132
225 462 206
253 308 52
157 261 5
337 506 81
5 26 5
328 459 72
60 278 22
302 491 46
422 432 166
243 307 51
348 430 92
214 458 202
286 409 30
188 419 163
21 61 21
240 471 215
181 403 147
251 487 231
250 478 222
264 332 8
198 446 190
29 45 29
383 437 127
246 494 238
465 480 209
228 481 225
134 286 30
489 491 233
22 157 22
209 497 209
99 206 99
454 473 198
9 258 2
142 330 74
255 508 252
187 415 159
46 415 46
251 478 222
22 69 22
432 510 176
208 392 136
189 344 88
51 343 51
40 404 40
19 505 19
5 352 5
108 299 43
158 352 96
204 339 83
139 312 56
91 341 85
245 402 146
441 512 185
367 453 111
107 435 107
392 416 136
69 334 69
3 15 3
22 280 22
283 399 27
310 360 54
387 421 131
71 351 71
280 475 24
177 488 177
412 498 156
215 343 87
138 480 138
365 393 109
42 158 42
377 508 121
182 425 169
9 277 9
24 299 24
16 488 16
96 99 96
5 304 5
427 505 171
481 507 225
280 487 24
62 395 62
243 467 211
61 290 34
107 370 107
411 431 155
71 361 71
144 333 77
103 465 103
358 360 102
349 353 93
5 286 5
242 254 242
13 105 13
465 472 209
156 351 95
83 291 35
370 454 114
197 425 169
289 454 33
29 356 29
38 226 38
49 191 49
247 385 129
40 242 40
5 32 5
355 366 99
84 449 84
143 355 99
246 319 63
170 378 122
126 506 126
224 496 224
319 392 63
108 163 108
9 268 9
426 441 170
123 205 123
130 209 130
49 97 49
120 286 30
96 220 96
239 512 239
350 412 94
412 460 156
481 506 225
119 447 119
336 355 80
420 512 164
106 274 18
156 234 156
16 31 16
235 242 235
373 405 117
37 394 37
27 294 27
100 466 100
201 438 182
332 428 76
38 98 38
57 346 57
172 327 71
41 377 41
209 217 209
217 379 123
189 467 189
179 322 66
463 471 207
224 475 219
379 476 123
252 459 203
54 427 54
73 319 63
280 320 24
125 234 125
349 426 93
431 449 175
204 337 81
372 402 116
128 333 77
279 420 23
108 509 108
253 482 226
113 498 113
230 478 222
153 512 153
193 323 67
398 439 142
22 43 22
202 280 24
229 252 229
32 111 32
228 400 144
348 372 92
15 383 15
183 367 111
48 209 48
12 19 12
396 486 140
273 336 17
22 48 22
422 464 166
10 277 10
138 232 138
303 465 47
26 500 26
248 499 243
411 511 155
456 512 200
228 310 54
85 298 42
314 384 58
46 277 21
186 196 186
106 360 104
159 450 159
151 356 100
227 267 11
58 193 58
137 473 137
84 373 84
148 177 148
128 346 90
324 441 68
62 448 62
14 248 14
93 505 93
203 214 203
67 289 33
193 444 188
159 198 159
235 408 152
129 365 109
200 359 103
163 320 64
152 500 152
219 394 138
209 457 201
242 456 200
350 490 94
134 287 31
159 325 69
324 332 68
162 245 162
383 492 127
228 300 44
350 512 94
108 360 104
155 483 155
103 345 89
101 437 101
29 125 29
229 447 191
170 419 163
105 447 105
79 422 79
137 418 137
61 428 61
130 292 36
103 443 103
200 435 179
238 369 113
333 389 77
276 332 20
228 483 227
168 364 108
194 419 163
277 451 21
229 467 211
200 260 4
253 357 101
204 489 204
61 76 61
164 204 164
26 477 26
122 308 52
148 364 108
63 91 63
350 409 94
314 433 58
36 316 36
170 284 28
294 398 38
74 236 74
203 204 203
68 72 68
32 388 32
307 497 51
133 512 133
346 387 90
91 109 91
191 394 138
169 404 148
388 419 132
102 349 93
81 241 81
271 377 15
66 423 66
52 61 52
7 275 7
102 135 102
37 488 37
76 193 76
9 130 9
264 366 8
159 363 107
295 356 39
225 364 108
276 300 20
89 265 9
162 339 83
42 71 42
349 510 93
14 368 14
299 469 43
40 296 40
147 213 147
12 18 12
23 78 23
51 62 51
220 416 160
119 340 84
190 376 120
107 178 107
246 387 131
124 359 103
196 381 125
362 388 106
110 395 110
186 421 165
15 62 15
12 467 12
45 313 45
250 373 117
107 418 107
49 202 49
