64 2016
39 45 39
1 31 1
38 56 38
1 14 1
43 54 43
25 55 25
20 64 20
7 26 7
15 18 15
18 49 18
12 32 12
5 35 5
21 36 21
5 13 5
2 21 2
8 28 8
19 23 19
15 57 15
2 48 2
9 14 9
59 60 59
14 25 14
10 47 10
2 40 2
42 58 42
53 60 53
62 63 62
8 51 8
57 60 57
32 52 32
30 43 30
50 54 50
18 38 18
7 15 7
3 61 3
11 44 11
14 22 14
10 42 10
2 10 2
27 50 27
15 63 15
32 50 32
26 47 26
4 39 4
34 61 34
40 44 40
12 19 12
18 24 18
10 23 10
35 45 35
14 47 14
15 30 15
48 63 48
36 47 36
38 57 38
13 34 13
18 61 18
19 29 19
8 57 8
3 60 3
49 54 49
58 62 58
33 35 33
21 56 21
42 45 42
2 60 2
18 41 18
27 41 27
19 42 19
32 57 32
30 57 30
8 19 8
20 31 20
17 42 17
4 11 4
10 30 10
11 42 11
7 43 7
18 55 18
5 21 5
11 25 11
20 42 20
34 62 34
6 46 6
15 41 15
20 24 20
5 39 5
15 29 15
7 63 7
17 40 17
25 64 25
8 18 8
31 36 31
2 12 2
10 50 10
8 31 8
3 28 3
12 26 12
26 37 26
43 55 43
19 46 19
43 62 43
17 50 17
1 28 1
25 49 25
49 63 49
1 10 1
38 49 38
34 44 34
16 40 16
6 49 6
8 14 8
30 58 30
33 45 33
24 61 24
1 60 1
1 22 1
10 56 10
37 55 37
31 46 31
34 43 34
4 59 4
1 57 1
10 63 10
17 37 17
10 41 10
53 62 53
21 63 21
7 61 7
13 19 13
38 42 38
38 53 38
27 32 27
33 41 33
41 42 41
7 62 7
17 38 17
6 38 6
21 25 21
36 52 36
11 38 11
10 57 10
20 35 20
57 62 57
1 44 1
44 57 44
9 37 9
9 43 9
53 64 53
38 60 38
46 64 46
18 53 18
16 59 16
28 55 28
15 32 15
2 56 2
40 60 40
27 53 27
9 22 9
9 38 9
29 33 29
39 41 39
18 42 18
22 54 22
29 52 29
38 43 38
20 63 20
4 49 4
18 46 18
17 47 17
6 15 6
3 30 3
60 63 60
4 52 4
27 37 27
10 64 10
29 45 29
13 44 13
7 20 7
3 31 3
18 19 18
32 35 32
20 29 20
6 25 6
54 59 54
18 29 18
28 39 28
11 30 11
6 26 6
29 47 29
53 61 53
1 13 1
26 64 26
17 44 17
31 63 31
14 51 14
36 42 36
22 31 22
38 51 38
15 23 15
20 48 20
32 37 32
8 54 8
13 35 13
29 37 29
25 30 25
7 19 7
28 44 28
18 33 18
42 43 42
38 64 38
34 36 34
1 5 1
26 30 26
29 58 29
3 44 3
4 62 4
6 45 6
7 37 7
23 60 23
29 48 29
48 54 48
7 48 7
19 54 19
16 49 16
23 28 23
13 32 13
8 38 8
4 58 4
1 18 1
18 40 18
2 15 2
22 48 22
16 60 16
21 48 21
34 51 34
33 54 33
15 27 15
10 53 10
18 56 18
38 45 38
6 39 6
17 61 17
17 22 17
10 62 10
3 26 3
21 24 21
22 25 22
15 47 15
5 12 5
3 18 3
42 52 42
5 61 5
18 20 18
9 62 9
30 35 30
55 57 55
11 61 11
4 46 4
28 42 28
1 6 1
6 34 6
4 43 4
57 59 57
5 33 5
46 57 46
37 43 37
55 62 55
25 57 25
40 52 40
2 24 2
2 26 2
35 60 35
31 62 31
2 63 2
57 64 57
32 43 32
9 54 9
27 56 27
4 35 4
8 32 8
23 49 23
41 57 41
3 42 3
35 52 35
26 32 26
12 28 12
8 50 8
40 49 40
26 59 26
36 53 36
5 63 5
16 29 16
38 63 38
4 27 4
43 59 43
34 49 34
11 64 11
50 59 50
22 51 22
50 57 50
17 41 17
3 52 3
10 11 10
14 61 14
11 17 11
33 63 33
12 49 12
27 52 27
11 49 11
15 62 15
8 27 8
9 25 9
45 58 45
9 27 9
42 48 42
11 36 11
30 56 30
8 41 8
46 54 46
6 27 6
10 22 10
4 37 4
29 38 29
19 32 19
47 52 47
9 39 9
25 48 25
4 23 4
4 9 4
38 61 38
38 50 38
20 39 20
16 50 16
35 55 35
18 25 18
5 38 5
2 55 2
13 61 13
9 19 9
15 53 15
36 43 36
18 50 18
49 57 49
46 63 46
25 32 25
8 17 8
36 45 36
7 56 7
18 52 18
51 63 51
10 13 10
20 59 20
16 61 16
6 43 6
12 47 12
13 41 13
30 54 30
22 63 22
6 17 6
4 55 4
13 62 13
27 54 27
2 62 2
45 64 45
37 62 37
2 30 2
32 36 32
13 18 13
12 36 12
14 48 14
8 26 8
9 24 9
14 58 14
28 54 28
28 29 28
31 47 31
9 28 9
6 47 6
33 61 33
14 29 14
9 59 9
42 54 42
9 49 9
10 38 10
36 44 36
21 59 21
19 64 19
47 61 47
14 17 14
32 41 32
10 40 10
10 16 10
23 61 23
19 61 19
21 33 21
13 49 13
24 52 24
5 32 5
34 41 34
9 64 9
36 61 36
53 54 53
7 31 7
12 42 12
30 38 30
12 40 12
24 51 24
36 41 36
31 60 31
30 63 30
24 33 24
15 21 15
29 42 29
33 50 33
14 42 14
8 29 8
17 54 17
12 34 12
8 48 8
14 59 14
55 64 55
43 49 43
11 53 11
10 34 10
42 44 42
34 59 34
11 20 11
7 45 7
22 32 22
5 26 5
27 48 27
22 33 22
30 31 30
5 57 5
22 24 22
11 50 11
10 27 10
23 25 23
42 46 42
12 15 12
8 35 8
20 52 20
1 34 1
49 58 49
29 60 29
19 27 19
7 54 7
10 46 10
58 60 58
16 22 16
22 28 22
51 58 51
10 12 10
40 45 40
44 53 44
29 31 29
3 8 3
26 62 26
15 24 15
31 61 31
31 49 31
6 7 6
47 59 47
45 47 45
5 20 5
56 61 56
39 57 39
14 21 14
30 36 30
22 41 22
8 20 8
7 59 7
24 37 24
34 63 34
7 28 7
9 58 9
51 55 51
10 52 10
15 46 15
26 60 26
8 39 8
19 57 19
37 47 37
6 30 6
29 56 29
7 49 7
9 52 9
1 48 1
23 44 23
51 61 51
29 40 29
8 25 8
45 61 45
13 58 13
59 64 59
19 62 19
20 27 20
31 53 31
41 61 41
9 23 9
19 58 19
2 11 2
8 64 8
52 55 52
5 60 5
13 40 13
44 50 44
16 44 16
40 63 40
33 36 33
2 64 2
9 53 9
4 16 4
31 64 31
30 62 30
26 63 26
19 63 19
27 30 27
45 49 45
61 64 61
19 24 19
26 61 26
11 28 11
1 39 1
8 63 8
4 15 4
40 55 40
17 60 17
39 62 39
5 58 5
29 30 29
24 48 24
31 42 31
28 46 28
28 45 28
45 55 45
3 32 3
11 24 11
6 50 6
42 64 42
12 59 12
7 16 7
20 37 20
14 62 14
11 41 11
27 29 27
