32768 32767
12363 21973 12363
53 25197 9720
7134 19883 1509
4705 21324 29082
12460 26753 17107
21563 21973 21563
12207 16964 32268
13358 26266 23527
5441 9262 9399
15967 28588 26834
6045 29524 13899
12468 21676 32539
2743 20517 15171
13798 18207 3436
13858 21973 13858
21973 30634 30634
23925 26435 2534
21973 28339 28339
11152 21973 11152
21973 26003 26003
21973 26625 26625
21973 31631 31631
25123 31057 7894
19818 21973 19818
21973 32726 32726
16423 21973 16423
22863 26797 12088
21517 24186 22737
1590 17566 27883
21973 32489 32489
19896 21973 19896
5885 30376 21490
27950 30358 13044
20582 21096 13167
16948 25299 21131
201 19886 23407
3782 26230 3889
21973 24617 24617
18878 21973 18878
1668 21973 1668
21973 31064 31064
3471 10063 18362
16120 26984 69
14641 21973 14641
9418 23889 11898
3039 21973 3039
21973 31734 31734
20831 32027 23202
7335 30995 4769
21973 28507 28507
10630 21973 10630
21973 22946 22946
14828 24231 16074
2230 10357 28727
19564 21973 19564
21973 22479 22479
3431 21973 3431
5484 16783 17587
4394 22857 31007
21973 25988 25988
22612 29236 8181
21507 21973 21507
2542 28188 16053
471 4244 263
14974 21973 14974
4216 11496 31847
21973 31407 31407
6274 8181 21129
7312 21856 16581
1069 21973 1069
16310 25065 27894
6425 16683 6518
132 21973 132
21973 32194 32194
12103 13198 4681
21973 28777 28777
1030 19114 31238
21973 32259 32259
2748 3388 25351
24797 26533 29075
6144 14929 32572
21973 28319 28319
16938 17849 4355
21973 31833 31833
14990 30568 17724
21498 21973 21498
23105 27077 7380
4777 15668 30631
20431 21973 20431
21973 28960 28960
6965 7250 5351
6551 21973 6551
21973 31634 31634
11836 21973 11836
9356 11142 15199
10594 21973 10594
18498 21973 18498
3523 17989 17353
3110 21973 3110
1908 17209 17346
13040 21973 13040
9780 30348 11317
2674 12221 1316
7945 22473 13560
1639 20586 15987
11486 30526 11180
16235 21973 16235
21973 22013 22013
20418 21973 20418
21973 32689 32689
18339 25439 9875
2568 5432 25595
12911 28527 23855
21973 30632 30632
4821 21973 4821
21973 30367 30367
16679 21973 16679
8588 10824 19628
21973 30867 30867
1900 21973 1900
1018 1669 9894
19795 21973 19795
12170 21973 12170
28533 31253 31690
21973 31956 31956
19212 21973 19212
335 21973 335
10587 21973 10587
15498 26937 6727
21973 25996 25996
1176 4533 31109
19916 29915 15822
23563 32302 22990
206 8404 222
1196 21973 1196
893 21973 893
7041 28689 2227
16573 22775 21094
7609 21973 7609
10246 21973 10246
5362 21973 5362
1050 17042 5426
15700 21973 15700
8592 15155 8534
16819 21973 16819
19786 27616 6302
7368 9340 12643
22250 30944 5400
10697 15890 28921
15584 25632 6231
7469 11728 21600
21973 30920 30920
15163 29002 31923
12683 21973 12683
8745 25154 1387
316 5788 18622
7297 13968 27097
19512 26370 6110
11556 21973 11556
21973 26530 26530
3014 29518 27081
21973 31496 31496
21973 23140 23140
31281 31932 26305
15378 21973 15378
10608 20984 21145
7121 21973 7121
26259 29091 16752
21973 26427 26427
5547 28362 25160
6292 21973 6292
1610 10146 20046
21973 28996 28996
7035 21973 7035
21973 26835 26835
21973 22271 22271
9854 10603 16913
22721 27929 6054
18276 21973 18276
4234 21973 4234
18952 29370 13760
15062 21973 15062
786 21973 786
20306 24935 12761
6209 29288 6443
6208 28656 14132
21838 21973 21838
21973 25990 25990
6786 11979 29525
2063 27685 22335
7660 28013 8519
5626 21973 5626
21973 27204 27204
8114 21973 8114
8514 21973 8514
21973 22040 22040
1098 26791 29976
11928 28562 19573
6945 21973 6945
21830 23144 25215
12539 21973 12539
17226 21973 17226
6405 10229 5184
20774 21973 20774
8984 10463 16257
13975 27641 5989
8179 21973 8179
21973 31882 31882
12923 14284 18588
24317 32590 24659
3049 21973 3049
21973 22563 22563
21973 27038 27038
21973 27944 27944
13548 20007 16301
12939 21973 12939
11525 25209 9477
21973 31289 31289
21973 26798 26798
1052 19493 18060
21973 31131 31131
6729 14919 28755
4187 18052 11302
5456 18921 27431
18973 21973 18973
2931 20497 19232
10327 16280 28175
10878 21973 10878
646 21973 646
21973 23956 23956
7779 29083 24270
18015 21973 18015
1927 19028 29948
16359 21973 16359
4485 21973 4485
11493 25662 13597
5344 5757 25538
4442 21973 4442
15032 20733 29786
2775 21973 2775
28725 32619 1467
10113 21804 23725
21385 21634 861
21973 21982 21982
4899 16679 2415
21973 25182 25182
19600 24368 576
16931 21973 16931
15561 27302 7648
12269 21973 12269
9241 13818 11059
21973 25139 25139
12766 20065 26563
5849 28336 9141
20962 21973 20962
2387 9223 14575
19947 21973 19947
21973 23440 23440
1514 21973 1514
21973 29721 29721
21973 26921 26921
2118 28664 25668
1212 27017 6928
3421 21973 3421
26502 30919 21331
6374 21973 6374
9858 29538 2157
801 22856 26846
3577 19759 29608
11699 21325 21682
12823 21346 8960
16462 21973 16462
21973 24786 24786
3247 21973 3247
11864 20885 28039
25496 30627 11836
1411 21973 1411
7334 23238 31312
16162 21973 16162
1376 21973 1376
21973 28234 28234
16319 26678 20599
3121 16412 29104
3456 21973 3456
2207 23245 29025
7384 31852 9550
21973 30092 30092
16576 19379 22835
184 12815 19935
17754 24972 12443
9088 21973 9088
17723 21973 17723
15732 21973 15732
21973 27825 27825
15456 21973 15456
18386 20410 25576
16497 25829 8233
17182 21973 17182
22624 28790 22514
19145 21973 19145
17473 26284 9443
1103 28840 14364
21973 25900 25900
17944 21973 17944
11443 27041 14146
15307 21973 15307
4342 28685 21041
15366 21973 15366
21973 24067 24067
28959 30631 17733
1953 31207 21424
1115 21973 1115
21973 25198 25198
12234 14775 6182
11509 17634 26743
10450 31547 29906
7687 11612 8468
617 21973 617
2979 21973 2979
6963 29748 10804
995 27725 17727
1963 21973 1963
12631 21973 12631
4964 8703 22842
8572 21973 8572
7058 21973 7058
19425 21973 19425
4162 25415 30333
10240 21973 10240
20798 21973 20798
5534 21973 5534
5708 21973 5708
22411 29239 1531
18071 24076 832
17732 21973 17732
18351 21973 18351
918 14566 18504
21973 22505 22505
11515 21973 11515
11860 20931 30905
1606 5335 7680
12865 24664 5453
15996 21973 15996
18078 23411 32217
4636 22004 3271
21973 28367 28367
16221 20018 9983
7486 21973 7486
10649 16689 7603
10979 26190 13069
7207 31855 32615
12826 24272 1429
16446 31690 24996
26623 29622 20623
7898 31302 28802
1353 18020 7892
15705 20380 24140
6386 27761 19704
6490 12671 399
21973 29742 29742
10932 20855 30867
940 21973 940
9706 21973 9706
9466 18660 16051
9093 25038 29172
20460 31386 19627
1796 21973 1796
32394 32546 20283
3514 21973 3514
1122 17694 4335
22808 30852 26701
12109 21973 12109
6674 20351 14895
182 31717 1339
18230 21973 18230
3996 31427 12246
17964 21973 17964
21973 27784 27784
5029 21973 5029
7851 20391 30127
9118 25542 31535
2851 5339 12585
4451 21973 4451
21379 32190 19701
21973 24153 24153
13846 26982 10931
10092 21264 14798
14019 18042 17531
8133 21973 8133
7522 21973 7522
1244 21973 1244
16737 21973 16737
6196 17657 4873
7354 10245 19522
21902 21973 21902
4405 21973 4405
21973 22457 22457
3768 21973 3768
4883 26830 32387
5749 21609 26373
15846 28746 4795
21973 24324 24324
8375 15918 18689
21973 28535 28535
13271 21973 13271
7592 21973 7592
1986 21973 1986
23560 31406 8565
6049 16277 11079
3615 17868 6301
13635 21973 13635
18081 31098 21155
17804 21973 17804
14251 21973 14251
4962 19002 18304
10965 21973 10965
10382 21973 10382
3422 13412 28272
3277 21973 3277
17434 21973 17434
8130 28093 19179
10833 29822 25508
28116 31680 10330
6749 21973 6749
21973 28870 28870
4472 20294 5546
21973 25417 25417
21973 31844 31844
15820 21973 15820
12558 18786 22351
7776 21973 7776
20807 21973 20807
27553 29012 25701
9425 24461 26627
7383 25454 22845
2977 10524 11856
10918 21973 10918
2434 16100 32636
5698 21973 5698
25982 31911 32762
17696 26316 32023
21973 22265 22265
21973 25033 25033
17109 21973 17109
2618 21973 2618
15359 21973 15359
3476 29134 8421
21973 27618 27618
1979 32206 26828
21973 28861 28861
21973 27156 27156
7034 10268 17475
13730 21973 13730
21973 24599 24599
839 19162 19567
16735 25006 27215
15630 19139 11459
831 12669 14996
15406 21973 15406
21973 25013 25013
21973 31646 31646
4580 21973 4580
21973 22973 22973
5301 16043 12017
15780 21973 15780
20547 28829 18181
17394 21973 17394
4175 25153 28896
23425 32414 6067
8563 23643 25460
16431 31433 3585
10485 19954 25604
21973 24545 24545
164 21062 7790
14943 21973 14943
21973 24391 24391
3334 21973 3334
15948 20514 5568
8543 27024 3139
10260 21973 10260
10510 21973 10510
21973 32600 32600
17573 24255 29131
21973 31537 31537
19845 21973 19845
2776 21973 2776
5537 21973 5537
21973 31340 31340
28098 30865 936
5246 13122 7597
6801 21973 6801
9824 21973 9824
4419 21973 4419
19119 21973 19119
920 13662 2768
16660 31707 29744
7901 20606 20081
5336 5581 20600
5901 21973 5901
15567 30049 3779
12314 21973 12314
16636 30616 18418
18206 29656 31203
