512 27497
101 107 338
157 174 174
140 297 262
161 209 67
379 460 379
12 469 12
40 468 468
157 464 471
25 80 218
148 440 138
119 490 458
391 461 215
91 476 476
249 491 507
275 311 311
37 468 164
199 467 467
231 350 184
38 205 284
36 158 206
80 321 332
148 374 138
232 415 490
130 453 453
38 176 462
25 125 218
70 151 302
220 279 404
321 460 460
69 227 120
158 286 206
89 491 507
337 459 10
176 179 462
106 326 222
424 428 428
403 485 460
64 216 64
32 367 367
138 403 460
280 291 109
50 220 112
374 470 511
151 342 420
154 251 53
151 269 247
396 484 396
291 441 285
13 333 231
463 473 141
263 409 3
90 333 408
193 300 193
187 330 187
239 472 170
25 386 218
108 383 24
315 457 392
273 290 273
63 95 202
127 287 127
26 246 495
193 197 193
36 319 319
20 418 20
50 407 22
202 335 362
311 382 311
82 127 127
326 505 505
163 323 251
392 406 273
43 364 256
126 506 204
209 449 506
37 220 164
55 150 474
431 468 468
245 349 245
139 480 393
151 370 79
115 233 475
219 267 208
35 386 64
257 266 267
19 376 336
308 407 75
280 311 311
16 433 417
446 466 73
102 400 400
131 454 159
324 499 114
228 277 228
431 450 192
179 307 451
488 510 510
12 354 12
280 425 109
332 384 332
146 206 206
77 202 202
264 313 264
384 468 468
171 274 121
315 477 178
45 387 489
269 494 494
214 372 375
283 292 432
122 322 275
38 497 484
89 231 231
291 395 285
71 493 493
39 449 252
91 247 98
33 293 50
63 151 202
251 363 363
222 237 237
139 356 393
5 335 362
47 337 47
152 256 241
457 488 392
162 195 162
201 480 306
428 468 468
415 425 490
391 430 215
119 340 340
89 201 306
116 450 116
188 315 428
370 446 79
37 173 164
2 9 2
79 436 79
89 380 416
74 243 74
55 81 81
56 374 480
79 256 79
367 482 367
29 147 32
417 478 417
110 498 110
97 401 320
232 410 410
281 470 511
14 45 20
309 466 73
271 309 1
67 245 67
440 497 334
129 132 132
389 471 389
66 429 237
34 307 99
39 261 252
71 156 71
44 251 251
16 255 417
130 185 390
306 471 471
92 160 2
108 443 24
64 96 493
68 432 396
220 383 383
311 379 379
151 193 193
162 347 162
300 308 75
131 285 159
156 383 17
203 205 319
307 372 451
203 419 479
445 484 142
208 398 208
370 387 400
86 406 273
173 502 344
112 201 112
48 87 373
340 355 340
89 488 488
78 372 375
10 469 10
206 439 206
212 216 398
166 497 198
121 341 410
105 479 479
176 269 462
286 290 224
206 501 206
74 189 305
37 348 164
52 89 378
70 362 362
487 503 272
465 500 500
217 339 270
66 76 237
12 358 339
354 411 193
192 335 362
99 343 99
47 64 47
29 337 32
308 508 75
148 293 138
235 387 235
66 175 237
46 133 510
75 89 75
191 487 272
259 475 483
34 444 99
325 367 367
21 90 227
28 101 172
47 366 47
178 494 494
120 508 120
236 455 147
27 71 71
473 499 114
142 263 142
205 452 255
37 319 164
337 418 418
294 341 410
75 147 75
94 429 503
267 407 267
229 263 311
95 120 120
104 161 67
