1024 39661
556 822 548
914 916 908
139 607 128
636 915 626
266 549 266
240 769 230
117 446 110
102 428 92
475 984 464
733 995 722
96 992 86
548 550 542
758 761 752
75 161 68
141 865 134
236 263 236
733 1013 722
80 333 80
266 699 266
79 1011 68
730 970 722
837 867 830
112 892 104
779 795 770
508 510 500
164 261 164
975 994 968
956 1007 956
198 584 188
386 651 386
307 558 296
915 1003 908
298 812 290
433 670 422
541 714 530
350 837 350
316 942 308
375 456 368
295 562 284
734 875 734
14 44 14
319 646 308
542 664 542
212 776 212
80 635 80
146 799 146
301 1022 290
707 1022 698
482 846 482
951 955 944
208 396 200
357 897 350
170 959 170
590 591 584
569 575 560
14 46 14
349 882 338
549 739 542
64 714 56
313 628 302
184 805 176
66 922 56
759 957 752
8 955 8
627 749 620
79 932 68
866 868 860
10 673 2
152 510 152
762 971 752
268 671 260
355 802 344
28 142 20
103 1022 92
236 250 236
422 960 422
823 904 812
147 815 140
332 411 332
876 882 866
859 935 848
962 1012 962
761 865 752
146 267 146
252 275 242
416 670 416
362 572 362
691 902 680
140 206 140
332 402 332
380 506 380
525 528 518
282 775 272
21 988 14
725 811 716
561 890 554
24 946 14
884 910 884
493 847 482
39 920 32
882 1022 872
545 824 536
259 369 248
127 514 116
170 225 170
218 586 218
982 1014 974
792 885 782
14 130 14
465 947 458
267 904 260
875 1024 866
362 827 362
244 754 236
254 883 254
538 1022 530
822 1015 812
873 988 866
15 572 8
287 741 278
134 214 134
386 544 386
793 818 782
43 249 32
148 681 140
560 602 560
66 506 56
372 885 362
142 698 134
154 597 146
58 151 50
629 906 620
606 849 596
611 737 602
254 385 254
587 976 578
242 315 242
44 547 44
338 469 338
551 591 542
60 476 50
95 486 86
344 421 344
363 771 356
164 476 164
708 709 698
127 229 116
4 5 1
553 841 542
283 284 272
77 522 68
481 532 470
260 650 260
92 939 92
188 570 188
590 642 590
119 221 110
273 274 266
26 1022 26
153 937 146
139 176 128
122 518 122
34 561 26
524 726 524
728 890 728
195 918 188
417 447 410
164 663 164
429 648 422
384 863 374
872 964 872
18 993 8
86 836 86
74 227 74
117 125 110
57 530 50
608 886 608
21 409 14
230 241 230
49 711 38
86 115 86
178 349 170
314 418 314
261 880 254
975 977 968
755 1005 746
547 998 536
372 373 362
452 508 452
23 426 14
26 124 26
291 692 284
273 303 266
626 947 626
674 754 674
572 1021 572
137 458 128
206 271 206
44 992 44
62 286 62
278 857 278
290 768 290
236 399 236
935 937 926
276 686 266
337 638 326
291 429 284
370 455 362
11 207 2
110 331 110
26 639 26
481 670 470
332 373 332
688 986 680
694 810 686
121 579 110
293 720 284
942 1011 932
600 848 590
290 450 290
245 446 236
710 944 710
69 854 62
1014 1023 1004
327 668 320
266 345 266
428 699 428
356 957 356
605 944 596
123 372 116
519 634 512
514 515 506
943 970 932
466 903 458
103 994 92
492 941 482
404 1022 404
125 760 116
434 666 434
20 91 20
1016 1018 1010
734 858 734
66 389 56
250 291 242
1003 1019 992
281 804 272
729 976 722
942 948 932
339 795 332
810 904 800
184 186 176
373 686 362
405 909 398
148 437 140
26 1015 26
9 11 2
724 793 716
194 486 194
785 839 776
749 833 740
46 893 38
330 572 320
470 883 470
822 845 812
605 1003 596
965 1022 956
332 673 332
182 914 182
90 711 80
255 425 248
11 458 2
992 993 986
104 135 104
78 169 68
128 912 128
234 723 224
622 840 614
775 946 764
208 822 200
328 616 320
96 357 86
212 287 212
214 436 206
314 840 314
58 447 50
239 822 230
639 977 632
246 536 236
226 717 218
89 98 80
282 904 272
442 642 434
76 651 68
18 345 8
20 286 20
541 673 530
211 506 200
94 627 86
495 794 488
86 684 86
863 929 854
192 906 182
266 600 266
392 621 392
324 706 314
462 654 452
91 841 80
356 756 356
9 722 2
26 198 26
368 372 362
600 736 590
57 617 50
374 629 374
701 1016 692
97 681 86
20 256 20
68 277 68
732 982 722
488 494 488
119 1018 110
211 913 200
296 832 296
88 730 80
566 868 566
27 223 20
799 886 788
200 911 200
502 584 494
110 234 110
409 902 398
116 713 116
37 409 26
538 729 530
150 151 140
345 573 338
658 887 650
172 580 164
937 1017 926
223 979 212
209 641 200
339 342 332
762 791 752
338 650 338
302 663 302
750 857 740
8 383 8
200 305 200
609 689 602
851 862 842
740 781 740
32 523 32
1016 1021 1010
365 551 356
710 920 710
397 948 386
233 1022 224
250 455 242
1011 1015 1004
92 106 92
590 847 590
192 903 182
506 845 506
537 541 530
898 943 890
1 343 1
170 175 164
503 1022 494
282 308 272
733 980 722
110 441 110
434 636 434
727 965 716
627 631 620
666 706 656
440 444 434
217 628 206
26 52 26
746 868 746
471 984 464
643 645 632
548 1022 548
581 844 572
941 970 932
248 773 248
582 942 572
332 484 332
509 690 500
619 884 608
146 188 146
55 284 44
215 530 206
422 870 422
255 929 248
56 119 56
671 698 662
592 594 584
842 957 842
818 1008 818
570 626 560
260 431 260
11 111 2
49 123 38
884 926 884
159 950 152
530 945 530
74 90 74
505 857 494
50 110 50
801 949 794
25 525 14
108 298 98
102 713 92
33 887 26
134 582 134
72 257 62
744 750 734
278 448 278
571 938 560
645 938 638
60 757 50
260 413 260
440 914 440
470 527 470
916 942 908
158 463 158
410 566 410
370 741 362
608 609 602
57 61 50
917 960 908
620 651 620
278 775 278
464 723 464
68 369 68
434 442 434
358 740 350
517 620 506
247 548 236
559 853 548
458 915 458
283 344 272
18 342 8
978 1022 968
134 906 134
77 955 68
504 879 494
62 363 62
633 942 626
29 543 20
121 680 110
409 986 398
174 243 164
312 386 302
452 552 452
854 859 848
912 963 902
308 632 308
199 201 188
474 697 464
229 236 218
497 499 488
826 829 818
425 591 416
338 681 338
9 1022 2
542 658 542
280 808 272
84 754 74
382 791 374
751 997 740
204 494 194
607 995 596
86 371 86
452 1012 452
173 630 164
422 661 422
274 909 266
411 493 404
449 471 440
962 1023 962
188 903 188
279 466 272
322 861 314
82 982 74
785 907 776
869 1016 860
279 942 272
275 698 266
712 816 704
404 736 404
405 409 398
663 728 656
270 585 260
146 826 146
280 500 272
671 984 662
104 488 104
860 971 860
597 696 590
880 967 872
154 729 146
449 450 440
407 625 398
554 563 554
244 691 236
591 592 584
368 999 368
248 524 248
430 967 422
