64 1835
12 38 14
4 35 27
7 45 39
12 22 32
8 48 39
15 16 15
33 45 39
8 31 39
33 60 25
1 29 1
11 46 1
10 62 32
43 50 46
4 64 46
38 48 14
27 48 27
14 24 14
21 62 32
16 39 39
5 22 32
18 58 14
14 26 14
56 59 29
13 55 29
12 31 61
16 55 55
7 31 39
14 55 14
8 20 39
4 60 27
41 52 10
1 26 1
22 46 32
17 39 39
26 27 47
2 51 32
46 53 46
7 64 39
10 11 1
5 51 5
5 13 29
10 53 29
33 36 1
4 50 27
22 61 32
44 47 47
36 53 1
28 63 55
37 59 1
11 55 1
5 25 5
46 58 46
14 50 14
13 46 46
24 25 47
2 21 32
17 44 25
13 16 29
50 53 29
13 34 29
32 40 32
5 46 46
40 64 46
7 54 39
25 44 25
1 43 1
8 42 39
46 59 46
13 58 14
33 59 25
37 50 1
34 40 55
9 20 14
20 54 15
9 16 14
11 47 1
33 47 47
9 63 14
28 52 55
15 51 15
24 57 47
47 62 32
8 56 39
39 63 39
6 44 35
28 38 14
37 47 1
55 58 14
19 56 29
18 53 29
15 56 29
21 56 29
12 53 29
15 31 15
39 41 39
29 46 46
48 60 25
13 38 14
3 16 55
48 62 32
29 30 29
23 60 15
1 10 1
17 43 46
14 18 14
47 60 47
1 32 1
40 42 46
43 60 46
11 36 1
3 47 55
15 21 15
5 54 5
44 54 35
4 12 27
56 60 29
12 61 61
13 49 29
9 52 14
34 58 14
21 48 15
14 28 14
19 58 14
33 34 25
21 46 46
17 22 32
7 48 39
14 41 14
15 17 15
50 56 29
35 44 35
35 42 46
9 23 14
35 60 59
51 59 59
59 62 32
18 32 32
12 40 55
24 37 1
35 56 29
29 39 39
1 40 1
21 30 15
5 37 1
28 32 32
7 35 39
50 54 27
20 33 15
15 42 46
40 57 55
8 16 39
7 49 39
40 41 55
2 44 32
20 63 27
17 34 25
16 25 10
18 19 10
41 63 27
9 48 14
21 54 15
41 54 5
26 51 47
40 49 55
11 26 1
32 37 1
20 45 39
48 56 29
44 56 29
9 11 1
4 26 47
25 46 46
12 34 59
22 40 32
39 53 39
12 41 5
31 62 32
29 50 29
21 33 15
4 15 27
43 47 46
23 40 55
22 39 32
34 38 14
3 38 14
19 29 29
35 39 39
52 60 10
27 34 27
34 51 59
34 49 5
4 36 1
11 57 1
9 34 14
8 22 32
38 44 14
27 52 27
16 33 10
19 21 15
22 43 32
47 54 47
39 54 39
21 35 15
23 38 14
50 64 46
15 32 32
31 63 27
10 26 47
53 63 29
33 61 25
41 61 5
5 52 10
20 57 47
24 51 47
48 61 25
37 62 1
39 40 39
19 59 59
5 47 47
28 50 55
13 63 29
12 60 59
1 31 1
34 37 1
9 19 14
29 43 46
17 59 25
25 36 1
51 53 29
5 63 27
23 26 47
1 17 1
9 33 14
21 63 27
45 59 39
17 61 25
5 20 15
7 17 39
8 29 39
12 59 59
6 54 35
28 59 55
4 31 27
4 44 27
28 56 29
39 42 39
26 33 47
36 39 1
47 64 46
39 56 39
23 57 47
44 46 46
10 38 14
1 27 1
6 28 55
27 29 29
14 30 14
51 52 10
31 60 59
42 52 46
19 44 35
7 19 39
35 55 55
14 51 14
27 37 1
35 53 29
14 64 46
12 18 10
5 6 5
9 50 14
9 44 14
7 50 39
8 27 39
35 51 59
47 49 47
62 63 32
23 48 15
32 46 32
13 24 29
7 51 39
23 45 39
55 61 55
29 57 29
3 50 55
14 52 14
26 49 47
28 44 55
15 18 15
13 54 29
22 47 32
9 61 14
13 23 29
52 55 55
13 32 32
8 9 39
23 62 32
2 45 32
22 58 32
35 57 47
4 62 32
13 36 1
28 54 55
51 57 47
27 50 27
11 22 1
21 26 47
2 47 32
1 59 1
23 44 15
13 19 29
28 36 1
2 6 32
19 50 27
20 49 15
33 42 46
39 61 39
24 27 47
10 41 10
11 19 1
23 24 47
10 23 15
20 35 15
45 54 39
57 61 47
4 22 32
9 12 14
28 47 55
8 26 39
21 61 15
29 64 46
25 45 39
31 48 25
38 63 14
27 44 27
37 63 1
24 38 14
14 38 14
26 59 47
18 47 47
7 40 39
49 61 5
16 54 10
4 21 27
34 62 32
1 14 1
4 51 27
9 43 46
1 37 1
2 39 32
2 11 1
37 46 1
3 22 32
9 36 1
6 61 35
1 41 1
3 29 29
3 25 55
6 48 25
15 23 15
8 12 39
12 64 46
21 37 1
46 60 46
5 12 5
32 43 32
3 9 14
47 50 47
25 33 25
21 42 46
11 44 1
12 62 32
34 50 27
58 61 14
48 63 27
14 49 14
4 33 27
34 36 1
25 32 32
4 57 47
2 38 32
53 59 29
49 55 55
61 64 46
22 45 32
1 5 1
28 61 55
14 35 14
30 42 46
40 63 55
26 43 46
21 41 15
12 21 15
4 20 27
44 64 46
6 24 47
28 39 39
42 44 46
12 52 10
10 51 10
22 42 32
2 31 32
13 28 29
24 40 55
35 58 14
14 36 1
9 17 14
5 27 27
22 56 32
33 62 32
18 21 15
18 63 27
5 21 15
48 53 29
35 59 59
42 46 46
24 48 47
33 51 25
34 46 46
26 52 47
16 45 39
34 55 55
11 62 1
4 28 55
23 55 55
5 28 55
22 38 32
9 40 14
38 57 14
1 54 1
27 59 27
17 32 32
7 44 39
20 25 15
15 19 15
25 35 25
8 58 39
35 61 35
10 14 14
26 37 1
5 38 14
26 54 47
46 49 46
8 17 39
2 37 1
30 41 5
23 41 15
32 57 32
49 64 46
12 25 25
44 59 59
38 60 14
21 45 39
44 52 10
20 42 46
54 63 27
14 25 14
41 59 5
38 52 14
6 53 29
59 60 59
40 52 55
18 29 29
8 44 39
31 37 1
18 45 39
7 62 32
6 14 14
14 37 1
17 55 55
10 49 10
17 23 15
3 48 55
45 63 39
59 61 59
1 46 1
23 25 15
33 63 27
34 44 59
10 63 27
20 56 29
27 41 27
7 29 39
11 63 1
24 53 29
43 49 46
9 60 14
55 63 55
20 47 47
44 58 14
25 39 39
24 64 46
4 8 39
15 62 32
15 35 15
17 29 29
17 20 15
22 29 32
3 26 55
21 51 15
36 48 1
54 59 59
41 51 5
2 43 32
50 63 27
6 50 27
18 54 10
20 27 27
9 32 32
6 39 39
5 24 47
9 14 14
4 6 27
9 42 46
56 61 29
36 61 1
38 45 39
14 40 14
6 41 5
46 51 46
21 24 47
52 56 29
25 41 5
14 17 14
5 55 55
3 19 55
6 49 5
16 60 10
6 55 55
7 52 39
27 32 32
6 29 29
46 52 46
2 36 1
10 31 10
11 54 1
11 49 1
25 26 47
9 59 14
33 37 1
3 11 1
7 41 39
13 59 29
44 45 39
17 54 25
21 22 32
33 41 5
25 52 10
23 34 15
7 63 39
49 62 32
6 42 46
42 64 46
12 47 47
10 36 1
27 36 1
56 58 14
59 63 27
2 49 32
13 18 29
13 57 29
14 47 14
4 54 27
16 29 29
5 49 5
32 38 32
32 60 32
4 16 27
26 60 47
21 43 46
30 49 5
4 52 27
45 60 39
12 45 39
21 44 15
27 55 55
44 53 29
24 49 47
46 64 46
46 47 46
25 51 25
2 13 32
15 43 46
19 52 10
7 34 39
17 63 27
21 32 32
25 30 5
1 7 1
3 18 55
32 52 32
28 30 55
7 33 39
39 46 39
36 40 1
16 19 10
4 61 27
35 62 32
6 21 15
26 40 55
38 61 14
1 20 1
21 55 55
2 50 32
2 28 32
60 64 46
3 56 29
26 28 55
3 23 55
51 63 27
55 56 29
30 33 5
11 29 1
4 63 27
4 58 14
31 46 46
52 63 27
37 41 1
49 59 5
5 26 47
43 62 32
6 47 47
2 22 32
44 48 25
2 18 32
38 39 39
11 17 1
2 54 32
10 54 10
39 55 39
11 25 1
6 26 47
46 54 46
5 59 5
18 22 32
7 43 39
15 46 46
11 56 1
4 14 14
18 24 47
5 10 10
5 57 47
6 52 10
22 23 32
30 36 1
40 61 55
12 29 29
7 30 39
29 35 29
2 41 32
41 56 29
32 59 32
9 51 14
20 29 29
33 58 14
55 62 32
19 25 25
13 22 32
15 39 39
29 58 14
7 38 39
34 60 59
17 50 27
17 30 5
57 60 47
12 35 35
24 29 29
47 48 47
25 34 25
10 20 15
13 25 29
23 31 15
21 64 46
22 52 32
26 39 39
29 48 29
14 20 14
10 43 46
30 60 5
11 61 1
26 38 14
11 64 1
19 24 47
4 30 27
6 15 15
2 16 32
15 61 15
12 57 47
51 61 59
1 23 1
17 37 1
16 59 10
5 33 5
27 33 27
19 49 5
20 60 15
29 52 29
11 27 1
21 58 14
56 64 46
37 61 1
8 61 39
31 38 14
20 40 55
15 40 55
20 21 15
35 45 39
49 52 10
47 51 47
10 12 10
34 61 59
7 11 1
18 23 15
19 53 29
18 25 10
25 63 27
19 46 46
33 50 27
6 58 14
34 54 59
11 21 1
17 52 10
42 49 46
8 50 39
47 55 55
3 30 55
28 58 14
23 30 15
27 45 39
21 50 27
56 63 29
43 54 46
7 42 39
15 41 15
1 4 1
48 50 27
32 49 32
33 56 29
23 29 29
17 24 47
13 26 29
26 53 29
10 16 10
26 58 14
5 8 39
24 47 47
16 51 10
6 51 59
34 47 47
11 38 1
2 27 32
23 59 15
14 60 14
50 57 47
1 9 1
9 18 14
39 52 39
2 61 32
38 56 14
20 48 15
17 21 15
14 15 14
20 28 55
39 47 39
42 50 46
26 63 47
22 53 32
2 19 32
3 55 55
5 39 39
26 42 46
52 53 29
5 48 5
29 59 29
20 34 15
6 12 35
19 63 27
39 57 39
16 40 55
39 45 39
13 52 29
44 55 55
1 35 1
1 22 1
24 30 47
4 59 27
1 3 1
22 51 32
15 25 15
12 49 5
11 37 1
29 56 29
40 60 55
38 47 14
13 20 29
36 43 1
43 61 46
1 24 1
28 48 55
43 55 46
36 42 1
16 48 10
53 62 32
2 5 32
58 62 32
42 48 46
36 38 1
6 62 32
23 32 32
8 33 39
49 57 47
24 46 46
29 49 29
23 50 27
31 57 47
20 43 46
45 49 39
14 21 14
15 54 15
10 64 46
13 39 39
7 26 39
19 48 25
27 40 55
6 13 29
33 43 46
7 32 32
5 29 29
43 59 46
34 48 25
15 20 15
8 13 39
10 52 10
25 61 25
16 30 10
2 17 32
24 56 29
37 38 1
5 9 14
42 63 46
37 55 1
20 55 55
22 62 32
28 34 55
18 43 46
31 33 25
3 39 39
30 32 32
23 49 15
10 24 47
15 37 1
10 37 1
15 64 46
13 40 29
12 51 59
17 48 25
18 20 15
17 47 47
42 62 32
13 43 46
36 44 1
35 49 5
36 56 1
19 32 32
50 61 27
6 20 15
44 62 32
45 55 39
41 46 46
18 46 46
4 55 55
10 21 15
52 58 14
32 47 32
13 61 29
30 56 29
3 44 55
16 17 10
5 11 1
4 56 29
51 54 59
11 58 1
29 37 1
7 59 39
48 54 25
31 40 55
28 60 55
30 37 1
14 33 14
40 62 32
18 61 10
30 64 46
6 19 35
4 23 27
34 59 59
1 50 1
9 15 14
30 31 5
46 57 46
29 42 46
48 57 47
6 10 10
39 49 39
31 56 29
25 43 46
3 17 55
9 29 14
23 54 15
6 34 59
4 17 27
29 53 29
31 41 5
28 37 1
58 60 14
24 54 47
20 37 1
60 61 59
43 56 46
20 59 15
15 34 15
47 57 47
2 40 32
32 64 32
10 15 15
32 41 32
24 63 47
24 33 47
3 8 39
2 64 32
29 45 39
17 40 55
20 58 14
62 64 32
7 9 39
46 48 46
5 35 5
1 62 1
44 57 47
11 15 1
19 35 35
35 54 35
28 53 29
14 44 14
20 53 29
41 55 55
1 52 1
16 26 47
43 57 46
28 41 55
29 62 32
12 39 39
21 39 39
22 63 32
54 60 59
36 58 1
36 47 1
34 64 46
8 34 39
47 61 47
49 60 5
7 60 39
45 64 39
23 56 29
25 58 14
1 53 1
38 41 14
21 40 55
10 25 10
8 14 39
15 48 15
16 36 1
30 52 10
19 51 59
36 59 1
25 47 47
8 25 39
10 27 27
38 55 14
8 36 1
2 4 32
5 30 5
26 48 47
45 51 39
12 46 46
36 51 1
36 50 1
23 51 15
12 44 61
15 50 27
20 52 15
3 58 14
22 28 32
17 19 25
48 64 46
8 32 32
13 30 29
2 9 32
26 30 47
13 31 29
23 27 27
3 27 55
19 39 39
57 64 46
3 28 55
22 26 32
15 44 15
27 30 27
23 43 46
10 34 10
21 27 27
3 5 55
8 55 39
26 57 47
15 63 27
48 58 14
9 57 14
33 35 25
2 29 32
26 61 47
36 54 1
39 60 39
10 39 39
3 34 55
16 62 32
35 64 46
6 60 59
12 20 15
19 64 46
28 57 55
56 57 29
32 39 32
3 43 46
19 34 59
35 40 55
9 53 14
15 36 1
7 57 39
20 51 15
26 44 47
27 61 27
1 64 1
10 40 55
9 21 14
