64 1799
30 40 30
25 37 37
23 35 23
52 59 52
12 61 61
15 64 15
45 54 45
1 15 1
38 53 20
7 33 33
21 55 21
15 37 15
34 36 36
1 8 1
38 39 39
20 49 20
18 26 18
9 37 9
13 18 13
40 57 40
29 44 29
34 37 34
18 22 22
10 27 10
5 50 5
15 50 15
1 2 1
1 34 1
45 63 63
14 46 14
56 63 63
2 17 17
11 63 63
26 48 20
60 64 60
21 40 21
25 43 43
11 12 20
11 48 20
13 31 13
38 54 54
34 60 60
15 19 15
40 41 40
18 58 58
27 34 34
31 36 36
10 44 10
7 38 20
9 36 9
21 29 21
46 51 51
6 42 42
19 48 20
5 64 5
25 50 50
13 58 58
10 56 10
9 26 9
19 29 29
24 27 24
19 58 58
12 63 63
12 28 28
7 22 22
18 29 29
15 41 15
20 30 30
7 15 15
14 33 14
2 37 2
45 52 45
19 34 34
4 60 60
43 62 43
38 44 20
5 61 61
17 55 17
8 25 20
5 25 5
37 58 58
8 44 20
17 24 24
10 41 10
39 64 39
26 27 27
37 48 37
15 38 15
26 56 20
2 58 58
4 19 20
42 57 42
49 63 63
28 40 28
36 55 36
6 14 14
36 42 36
56 64 64
24 46 24
48 53 20
41 58 58
14 15 14
44 45 45
35 61 61
9 43 9
43 56 43
4 26 20
23 63 63
35 62 20
18 55 18
4 21 21
16 35 16
18 52 18
44 58 58
11 60 60
22 45 22
25 40 40
38 55 20
5 31 5
9 48 9
29 39 29
29 57 29
28 32 28
3 63 63
4 48 20
42 64 42
42 50 42
38 63 63
1 27 1
45 64 45
34 38 34
20 29 29
11 42 42
10 50 10
59 64 64
18 34 34
21 50 21
7 8 20
11 38 20
19 60 60
32 38 20
39 58 58
30 52 30
24 53 24
15 18 15
7 53 20
7 56 20
12 49 20
9 28 9
11 14 14
4 40 40
60 62 60
5 21 21
57 62 57
15 63 63
43 48 43
20 25 20
1 61 1
24 38 24
7 48 20
12 47 47
23 58 58
7 18 18
16 41 16
11 26 20
23 48 23
23 62 23
18 64 18
3 55 3
32 62 20
11 13 13
44 47 47
12 59 20
42 52 42
3 17 17
30 63 30
6 25 6
12 51 51
25 31 20
26 53 20
5 10 5
2 16 2
52 55 52
3 11 3
15 56 15
10 43 10
46 48 20
21 58 58
13 22 22
16 44 16
24 58 24
12 16 16
28 46 28
30 48 30
61 62 61
4 24 24
35 40 40
1 16 1
24 26 24
48 58 58
17 23 17
32 46 20
54 56 54
50 63 63
44 48 20
56 57 57
35 41 20
2 3 2
20 47 47
21 62 21
21 53 21
1 56 1
21 44 21
43 44 43
13 40 13
35 56 20
26 34 34
20 55 20
3 60 60
47 64 47
41 53 20
3 51 3
13 38 13
53 55 20
30 38 30
18 41 18
26 52 52
12 50 50
4 53 20
12 20 20
20 48 20
52 53 52
38 52 52
5 32 5
17 34 17
1 48 1
15 44 15
15 62 15
14 37 14
5 16 5
14 43 14
7 26 20
31 62 20
2 51 2
2 25 2
21 61 61
36 41 36
34 53 34
11 28 28
14 25 14
42 63 63
10 45 45
9 16 9
18 57 18
1 52 1
27 51 27
22 46 22
19 45 45
41 42 42
8 45 45
19 64 64
3 13 13
17 21 21
4 36 36
17 30 30
13 32 13
43 63 63
51 52 52
43 53 43
6 10 10
56 59 20
1 14 1
60 61 61
16 52 16
6 58 58
41 59 20
14 30 30
21 31 21
5 22 22
16 40 16
55 62 20
30 59 30
32 61 61
52 60 60
2 18 2
42 53 42
8 43 43
4 9 9
1 63 1
14 32 14
11 19 20
17 28 17
51 60 60
15 23 15
23 34 34
36 50 36
5 62 5
24 64 24
3 30 30
22 58 58
12 62 20
35 60 60
31 35 20
52 54 54
50 54 50
3 35 3
30 44 30
3 16 16
37 43 43
32 48 20
40 42 42
35 36 36
27 58 58
7 51 51
36 37 36
12 25 20
8 52 52
55 56 20
57 64 64
2 6 2
45 60 60
5 53 5
28 44 28
33 53 33
29 37 29
5 44 5
1 25 1
31 44 20
7 60 60
11 62 20
3 32 3
5 45 5
10 11 10
44 51 51
3 39 39
31 32 20
2 12 2
21 46 21
31 54 54
48 64 64
36 39 36
3 57 3
25 38 20
10 32 10
13 19 13
14 35 14
19 36 36
32 42 42
15 26 15
7 36 36
22 26 22
14 47 47
5 24 24
28 45 45
29 35 29
36 57 36
15 61 61
2 22 22
8 56 20
21 36 36
29 38 29
11 45 45
2 56 2
26 44 20
38 42 42
12 41 20
16 30 30
11 22 22
6 48 6
38 48 20
13 55 13
10 31 10
19 40 40
1 19 1
4 55 20
15 51 15
16 23 16
6 62 6
25 46 20
10 14 14
49 55 20
15 17 17
17 33 17
14 51 14
9 59 9
36 56 36
35 58 58
21 60 21
9 23 9
16 25 16
3 42 42
11 40 40
14 39 14
31 58 58
6 28 28
13 49 13
47 55 47
8 20 20
38 62 20
24 41 24
59 63 63
18 45 45
31 43 43
35 49 20
12 44 20
55 59 20
20 50 50
31 49 20
11 53 20
28 62 28
24 60 24
23 45 45
2 46 2
22 34 22
12 32 20
11 31 20
30 49 30
22 31 22
13 64 13
27 64 27
41 64 64
17 47 17
6 54 6
1 29 1
9 34 9
14 29 29
37 63 63
4 17 17
1 36 1
35 44 20
16 37 16
6 33 6
1 47 1
6 21 21
50 58 58
10 21 21
46 58 58
25 45 45
2 11 2
1 4 1
34 40 34
13 46 13
23 27 27
7 17 17
14 19 14
5 11 5
20 56 20
42 46 42
19 26 20
16 20 16
2 26 2
4 14 14
20 59 20
24 62 24
52 62 52
1 49 1
17 38 17
6 43 6
5 43 5
6 50 6
34 61 61
54 62 54
11 58 58
29 64 29
6 19 6
11 57 57
8 17 17
10 63 63
18 46 18
56 60 60
18 30 30
10 13 13
24 52 24
58 64 58
13 57 13
31 46 20
13 23 13
4 11 20
9 30 30
5 39 5
20 46 20
11 43 43
14 55 14
1 21 1
2 63 63
28 29 29
4 45 45
23 64 23
47 50 47
9 14 9
13 59 13
38 50 50
24 30 24
27 60 60
8 49 20
5 52 5
2 54 2
35 52 52
34 42 34
3 14 14
41 56 20
26 54 54
34 57 34
39 41 39
7 21 21
21 56 21
6 37 6
33 49 33
25 34 34
45 57 45
18 59 18
33 58 58
3 52 52
44 60 60
55 61 61
14 18 14
15 35 15
13 60 13
9 38 9
30 31 30
23 57 23
14 45 45
26 31 20
18 21 21
48 59 20
37 62 37
1 37 1
3 12 3
5 57 5
17 62 17
34 46 34
3 36 36
22 39 22
16 60 60
28 58 58
24 45 24
20 28 28
53 54 54
5 37 5
5 54 5
4 37 37
4 18 18
34 44 34
7 14 14
31 51 51
16 36 36
11 55 20
11 17 17
20 58 58
21 27 21
33 46 33
1 23 1
28 63 63
20 34 34
17 49 17
2 42 2
39 62 39
22 42 22
21 35 21
47 54 47
24 50 24
29 45 29
19 50 50
33 62 33
15 22 22
50 51 50
28 34 34
33 61 61
17 22 22
51 56 51
46 61 61
22 28 22
23 31 23
31 48 20
15 25 15
2 29 2
38 51 51
9 49 9
12 22 22
20 33 33
9 52 9
15 54 15
7 16 16
8 32 20
23 37 23
22 60 22
18 19 18
21 54 21
5 33 5
48 60 60
56 62 20
13 47 13
1 12 1
45 61 61
3 53 3
13 50 13
28 36 36
14 61 61
28 41 28
1 3 1
31 45 45
15 59 15
16 38 16
