128 4685
87 91 1
47 87 29
87 116 124
87 89 51
34 87 102
78 87 109
44 87 108
38 87 113
33 87 16
9 87 100
87 104 46
55 87 7
87 94 70
45 87 88
81 87 76
87 90 121
21 87 56
58 87 120
87 128 41
14 87 127
13 87 43
32 87 93
87 96 98
64 87 11
39 87 28
63 87 72
52 87 67
25 87 101
85 87 125
60 87 99
65 87 54
24 87 74
42 87 69
87 123 111
50 87 2
68 87 75
66 87 36
73 87 49
87 106 59
87 119 77
87 97 40
12 87 62
8 87 35
18 87 57
82 87 19
80 87 27
17 87 15
6 87 23
87 103 26
87 112 48
30 87 31
53 87 79
3 87 126
87 117 110
87 105 122
22 87 83
5 87 61
87 95 115
37 87 118
87 107 10
84 87 4
86 87 114
20 87 71
1 87 1
87 124 124
87 102 102
87 108 108
16 87 16
46 87 46
70 87 70
76 87 76
56 87 56
41 87 41
43 87 43
87 98 98
28 87 28
67 87 67
87 125 125
54 87 54
69 87 69
2 87 2
36 87 36
59 87 59
40 87 40
35 87 35
19 87 19
15 87 15
26 87 26
31 87 31
87 126 126
87 122 122
61 87 61
87 118 118
4 87 4
71 87 71
50 105 2
16 100 16
5 116 124
72 124 124
114 117 110
103 121 121
60 91 1
47 50 29
73 80 49
51 104 51
2 60 99
33 42 16
30 97 40
17 73 49
38 113 113
14 62 127
67 122 67
87 99 99
34 48 102
12 59 59
25 111 101
40 73 49
34 54 102
4 21 56
3 33 16
22 37 83
6 116 124
68 105 75
39 84 28
10 37 118
56 107 56
64 85 11
7 11 7
103 117 26
10 112 48
75 127 127
18 80 57
32 57 93
10 12 62
16 26 16
39 111 28
117 123 111
15 52 67
65 106 54
9 64 100
9 120 100
64 90 121
17 70 70
6 84 23
1 34 1
71 84 4
37 121 121
2 94 70
29 69 29
66 126 36
122 123 111
1 76 1
7 74 7
24 65 54
13 95 43
23 54 54
32 50 93
17 48 15
35 106 59
24 73 74
35 45 88
5 71 61
79 82 19
29 76 29
1 29 1
107 112 48
74 108 108
33 107 16
2 119 2
84 112 48
14 121 121
15 127 127
55 73 7
19 106 59
29 55 29
77 107 77
35 53 35
24 48 74
35 94 70
17 43 43
55 124 124
81 83 76
30 65 54
65 68 54
61 117 110
7 22 7
4 120 120
47 114 29
75 116 124
61 80 27
25 57 101
37 86 118
64 88 88
18 32 93
12 53 62
5 118 61
30 123 111
53 55 7
96 124 124
89 101 51
96 99 98
29 116 29
62 128 41
3 74 74
30 68 75
14 76 76
14 111 127
25 66 101
11 58 120
4 58 120
53 84 79
73 117 49
94 119 70
6 98 98
27 57 57
21 105 56
21 50 56
55 113 113
20 99 99
16 77 16
21 94 70
18 123 111
97 116 124
2 22 2
70 108 108
81 82 76
13 128 41
2 43 43
16 43 16
19 54 54
6 79 23
88 99 88
30 110 31
79 127 127
34 57 102
60 119 99
47 60 29
30 85 125
99 125 125
65 116 124
60 61 99
57 63 72
72 115 72
107 117 110
5 80 27
47 76 29
67 104 46
97 98 98
30 118 31
29 102 29
27 28 28
18 31 57
78 95 109
61 94 70
16 63 16
103 122 26
68 99 99
50 119 2
23 25 101
52 119 67
3 107 126
79 80 27
84 106 59
32 65 93
8 94 70
10 85 125
36 124 124
73 128 41
37 114 118
108 109 109
17 40 40
20 95 115
3 117 126
8 17 35
39 123 28
17 37 15
34 80 102
15 90 121
78 101 109
51 101 51
4 5 61
97 107 40
5 97 40
16 104 16
23 102 102
59 113 113
36 123 111
36 102 102
62 96 98
14 15 127
84 92 4
64 73 11
33 54 16
20 92 71
5 90 121
28 53 28
10 90 121
10 25 101
41 82 41
117 122 110
103 118 26
18 95 57
8 58 120
13 105 43
78 117 109
27 66 36
34 67 102
33 34 102
30 48 48
96 105 98
45 122 88
51 109 51
52 61 67
46 52 46
10 97 40
86 89 51
95 107 115
108 127 108
83 103 26
59 70 70
39 117 28
38 67 113
9 83 100
48 127 127
64 83 11
66 96 98
85 112 125
27 55 7
92 105 122
106 112 59
63 91 1
24 44 108
22 50 2
35 70 70
64 84 11
99 109 109
33 92 16
22 115 83
68 73 75
45 103 88
17 24 74
5 64 11
20 67 67
11 81 76
78 114 109
14 47 29
67 119 67
18 118 57
14 35 127
7 102 102
15 96 98
18 33 16
32 70 70
44 92 108
17 91 1
13 18 43
115 128 41
63 68 72
93 114 93
79 118 79
19 108 108
18 50 2
30 126 31
25 83 101
44 45 108
3 55 7
84 105 122
86 92 114
55 105 7
8 53 35
50 92 2
6 78 109
118 123 111
8 119 77
10 22 83
37 105 122
68 116 124
9 45 100
52 60 67
27 120 120
66 83 36
31 102 102
68 80 75
24 63 72
76 124 124
42 65 54
66 68 75
2 34 102
54 122 54
24 37 74
21 73 56
79 115 79
21 99 56
2 93 93
26 60 99
8 86 35
80 103 27
18 71 57
48 97 40
24 47 29
15 68 75
20 86 114
50 57 2
78 108 109
1 89 1
1 38 1
82 92 19
56 116 124
45 85 88
46 58 46
57 90 121
63 86 72
27 106 59
73 84 49
2 100 100
24 41 41
8 25 101
44 105 108
115 123 111
24 92 74
47 68 29
3 65 54
23 65 54
66 112 36
18 48 57
53 104 46
64 86 11
11 79 11
106 118 59
2 51 51
101 121 121
21 35 56
45 88 88
7 55 7
41 74 41
44 77 108
42 64 11
9 116 124
29 75 29
65 81 76
76 102 102
42 118 69
26 68 75
73 75 75
74 99 99
37 45 88
40 83 40
58 102 102
53 97 40
31 33 16
5 95 61
11 118 11
14 66 127
41 91 1
15 128 41
3 99 99
58 89 51
53 79 79
63 90 121
76 113 113
39 106 28
4 91 1
81 109 109
40 55 7
31 38 113
29 51 29
15 80 27
10 104 46
31 117 31
8 64 11
78 124 124
34 105 102
50 106 2
88 123 88
12 35 62
6 43 43
8 15 35
102 109 102
84 107 10
48 51 51
14 127 127
73 86 49
52 92 67
92 103 26
55 57 7
55 92 7
17 83 15
29 63 29
23 41 41
91 117 1
1 91 1
48 94 70
82 105 19
67 120 120
28 107 28
4 79 79
4 66 36
1 72 1
14 115 127
60 105 99
17 94 70
91 114 1
52 104 46
50 82 2
62 74 74
33 109 109
20 30 31
82 95 19
34 43 102
23 64 11
73 116 124
3 25 101
8 115 35
15 88 88
41 54 41
1 71 1
15 92 15
8 66 36
47 123 29
11 66 11
12 18 62
25 116 124
34 60 102
6 17 15
102 125 102
55 109 109
16 90 16
83 96 98
50 95 2
67 90 121
51 84 51
17 18 57
21 66 56
14 103 127
17 79 15
27 101 101
92 128 41
70 127 70
1 49 1
4 81 76
13 44 108
61 101 101
80 118 27
7 127 7
24 114 74
8 43 43
19 40 40
1 102 1
30 61 31
99 112 99
33 124 124
55 98 7
62 115 62
56 112 56
12 33 16
10 117 110
65 114 54
5 32 93
104 117 46
37 107 118
27 96 98
21 47 29
26 32 93
71 73 49
30 82 19
17 61 15
18 83 57
80 112 27
30 122 31
81 125 76
85 88 88
85 86 125
19 39 28
12 42 69
60 90 121
61 66 36
25 89 51
39 72 28
13 52 43
39 80 28
69 98 98
42 49 69
35 47 29
7 12 7
34 119 102
71 123 111
20 117 110
3 15 15
27 112 27
5 111 111
21 124 124
27 34 102
35 67 67
83 105 122
70 90 70
92 95 115
72 103 72
48 116 124
23 71 23
40 101 101
49 84 49
95 99 99
18 110 57
92 117 110
21 39 56
21 60 56
89 124 124
4 80 27
86 112 48
21 110 56
6 83 23
119 123 111
32 126 93
52 102 102
32 78 109
46 51 51
52 107 67
39 116 124
53 73 49
41 128 41
7 98 7
63 108 108
18 128 41
38 89 51
12 22 62
64 67 11
7 49 7
48 74 74
4 90 121
4 128 41
40 70 70
74 111 74
12 38 113
64 100 100
17 121 121
42 45 88
48 52 67
10 64 11
2 64 11
5 105 122
37 71 118
83 97 40
35 56 56
20 79 79
4 26 26
3 30 31
3 89 51
52 70 70
70 116 124
42 109 109
41 109 109
70 125 70
50 102 102
32 80 93
14 65 127
15 125 125
25 28 28
41 95 41
34 128 102
90 128 121
4 97 40
23 119 77
3 5 126
25 126 101
22 61 83
66 99 99
76 126 76
27 93 93
5 17 15
21 45 88
17 107 15
45 119 88
64 106 11
21 127 56
35 50 2
21 112 56
9 107 100
10 94 70
43 100 100
71 80 27
31 52 67
35 101 101
8 120 120
46 116 124
28 119 28
6 16 16
32 101 93
80 106 59
95 114 115
45 120 88
43 47 29
37 75 75
56 82 56
10 109 109
16 97 16
65 97 54
51 113 51
79 103 26
75 107 75
12 123 111
55 117 7
4 47 29
39 68 28
19 45 88
37 55 7
9 89 51
19 100 100
68 112 75
53 115 79
40 58 120
4 39 28
94 112 70
24 99 99
75 109 109
86 95 115
16 81 16
8 71 35
61 118 61
5 79 79
22 107 83
83 128 41
37 50 2
11 65 11
46 126 46
31 103 26
30 105 31
36 83 36
19 74 74
30 92 31
4 18 57
24 119 74
48 108 108
20 37 118
76 123 76
1 25 1
103 112 26
33 85 16
25 56 56
25 119 101
18 116 124
55 119 7
38 41 113
71 86 114
24 31 74
41 113 113
28 99 28
42 83 69
94 109 109
27 82 19
11 91 1
67 93 93
51 67 51
107 113 113
8 117 35
16 66 16
44 46 108
1 108 1
15 26 15
40 97 40
1 56 1
99 103 99
71 119 77
67 73 67
14 120 120
32 128 41
9 29 29
53 85 125
40 110 40
25 36 101
6 80 27
45 94 70
17 27 27
71 125 125
28 89 51
80 102 102
47 124 29
11 54 11
52 68 67
41 85 41
27 41 41
45 82 88
64 111 11
79 122 79
12 25 101
11 43 43
105 117 110
