64 1884
2 3 1
4 5 2
6 7 4
8 9 6
10 11 8
12 13 10
14 15 12
16 17 14
18 19 16
20 21 18
22 23 20
24 25 22
26 27 24
28 29 26
30 31 28
32 33 30
34 35 32
36 37 34
38 39 36
40 41 38
42 43 40
44 45 42
46 47 44
48 49 46
50 51 48
52 53 50
54 55 52
56 57 54
58 59 56
60 61 58
62 63 60
3 64 1
5 64 2
7 64 4
9 64 6
11 64 8
13 64 10
15 64 12
17 64 14
19 64 16
21 64 18
23 64 20
25 64 22
27 64 24
29 64 26
31 64 28
33 64 30
35 64 32
37 64 34
39 64 36
41 64 38
43 64 40
45 64 42
47 64 44
49 64 46
51 64 48
53 64 50
55 64 52
57 64 54
59 64 56
61 64 58
63 64 60
1 64 1
2 64 2
4 64 4
6 64 6
8 64 8
10 64 10
12 64 12
14 64 14
16 64 16
18 64 18
20 64 20
22 64 22
24 64 24
26 64 26
28 64 28
30 64 30
32 64 32
34 64 34
36 64 36
38 64 38
40 64 40
42 64 42
44 64 44
46 64 46
48 64 48
50 64 50
52 64 52
54 64 54
56 64 56
58 64 58
60 64 60
62 64 62
57 58 54
49 61 46
13 63 10
55 61 52
53 62 50
43 45 40
4 29 4
45 62 42
10 59 10
25 55 22
39 61 36
47 51 44
13 25 10
5 24 2
3 52 1
46 59 46
1 50 1
17 27 14
5 61 2
41 54 38
24 37 24
5 33 2
2 58 2
32 36 32
53 60 50
19 29 16
23 24 20
23 34 20
11 63 8
17 63 14
30 53 30
26 29 26
6 10 6
10 40 10
39 40 36
8 28 8
3 5 1
57 62 54
39 44 36
38 50 38
3 4 1
57 61 54
45 51 42
31 63 28
28 35 28
33 48 30
9 24 6
42 51 42
29 46 26
41 53 38
19 53 16
6 14 6
9 38 6
31 50 28
38 41 38
23 62 20
15 59 12
53 56 50
21 63 18
12 58 12
39 56 36
13 54 10
10 52 10
51 54 48
19 41 16
47 54 44
49 60 46
37 49 34
7 55 4
37 41 34
19 39 16
55 58 52
1 16 1
35 48 32
12 60 12
29 36 26
7 44 4
21 33 18
9 40 6
14 19 14
11 18 8
61 63 58
23 48 20
41 56 38
49 53 46
41 52 38
37 54 34
22 58 22
33 49 30
53 54 50
45 50 42
31 57 28
12 26 12
3 51 1
40 53 40
10 30 10
8 14 8
32 38 32
4 28 4
16 42 16
10 23 10
2 45 2
39 53 36
19 26 16
31 35 28
4 27 4
20 40 20
15 48 12
49 57 46
4 13 4
29 43 26
41 51 38
29 52 26
2 12 2
11 23 8
9 16 6
23 26 20
41 47 38
35 40 32
10 13 10
17 36 14
31 37 28
39 47 36
33 42 30
3 19 1
46 60 46
45 60 42
43 53 40
55 62 52
15 35 12
30 45 30
14 26 14
8 17 8
26 53 26
8 36 8
9 35 6
42 48 42
9 34 6
7 12 4
48 61 48
23 39 20
11 25 8
27 63 24
27 38 24
27 43 24
51 62 48
43 52 40
27 59 24
7 19 4
23 41 20
35 54 32
9 58 6
59 62 56
11 49 8
8 18 8
33 51 30
48 52 48
41 48 38
17 38 14
7 13 4
14 35 14
7 23 4
2 13 2
3 48 1
37 63 34
22 36 22
10 33 10
6 34 6
40 43 40
55 59 52
31 62 28
5 48 2
21 30 18
6 20 6
35 60 32
4 7 4
33 54 30
41 55 38
7 28 4
2 7 2
31 44 28
24 32 24
41 57 38
59 63 56
33 53 30
43 56 40
19 36 16
29 49 26
47 58 44
41 50 38
1 13 1
20 58 20
9 33 6
29 40 26
17 37 14
24 26 24
25 56 22
1 4 1
5 20 2
31 48 28
23 36 20
6 41 6
29 63 26
5 34 2
3 36 1
19 61 16
24 49 24
8 11 8
19 28 16
19 35 16
45 52 42
4 62 4
3 9 1
1 6 1
18 46 18
14 52 14
46 61 46
31 32 28
33 45 30
8 59 8
54 56 54
21 29 18
9 50 6
3 62 1
23 50 20
17 58 14
8 52 8
33 43 30
37 52 34
27 34 24
49 59 46
32 53 32
14 20 14
3 60 1
21 23 18
20 34 20
53 55 50
9 23 6
27 60 24
11 21 8
1 7 1
19 34 16
6 37 6
15 32 12
27 29 24
8 45 8
61 62 58
49 62 46
11 20 8
21 22 18
14 48 14
8 33 8
53 57 50
15 56 12
27 55 24
1 33 1
38 53 38
17 29 14
2 37 2
29 62 26
5 21 2
