256 8438
120 212 1
42 212 1
78 212 1
13 212 1
47 212 1
34 151 212
34 160 212
34 139 212
34 224 212
34 227 212
92 213 34
213 247 34
213 220 34
27 213 34
6 213 34
10 203 213
10 111 213
10 83 213
10 192 213
9 10 213
2 28 10
28 104 10
28 118 10
28 93 10
28 152 10
80 219 28
80 138 28
80 156 28
80 157 28
80 256 28
23 231 80
19 231 80
102 231 80
95 231 80
166 231 80
134 140 231
57 140 231
140 204 231
140 199 231
140 251 231
21 182 140
112 182 140
90 182 140
143 182 140
182 246 140
18 211 182
43 211 182
211 254 182
67 211 182
103 211 182
37 105 211
37 239 211
37 113 211
37 253 211
37 49 211
91 196 37
110 196 37
196 244 37
173 196 37
32 196 37
187 240 196
16 240 196
36 240 196
223 240 196
240 249 196
15 55 240
53 55 240
55 141 240
55 218 240
55 136 240
109 201 55
38 109 55
109 230 55
50 109 55
109 161 55
81 114 109
64 81 109
81 171 109
81 115 109
51 81 109
167 189 81
116 189 81
133 189 81
89 189 81
46 189 81
20 198 189
106 198 189
30 198 189
198 234 189
198 228 189
65 202 198
65 150 198
60 65 198
65 172 198
11 65 198
4 194 65
4 200 65
4 233 65
4 88 65
4 148 65
56 123 4
73 123 4
35 123 4
123 177 4
123 153 4
122 130 123
59 130 123
130 190 123
130 210 123
130 205 123
61 180 130
84 180 130
82 180 130
58 180 130
31 180 130
186 243 180
142 186 180
184 186 180
70 186 180
186 208 180
127 170 186
127 236 186
85 127 186
127 137 186
3 127 186
7 242 127
164 242 127
179 242 127
33 242 127
99 242 127
40 126 242
40 149 242
40 98 242
40 96 242
40 75 242
39 169 40
39 159 40
39 250 40
39 185 40
39 131 40
163 245 39
163 176 39
163 248 39
48 163 39
144 163 39
121 206 163
121 128 163
77 121 163
79 121 163
121 175 163
69 217 121
62 217 121
162 217 121
217 222 121
195 217 121
108 197 217
197 235 217
63 197 217
165 197 217
72 197 217
66 215 197
66 155 197
5 66 197
26 66 197
66 174 197
214 238 66
74 214 66
168 214 66
154 214 66
52 214 66
101 107 214
101 146 214
68 101 214
14 101 214
101 255 214
54 86 101
86 117 101
86 229 101
86 132 101
17 86 101
87 129 86
44 87 86
87 94 86
87 183 86
8 87 86
25 124 87
25 145 87
25 241 87
25 76 87
25 207 87
22 24 25
24 41 25
24 29 25
24 193 25
24 252 25
71 100 24
71 147 24
71 237 24
71 135 24
71 158 24
97 125 71
97 178 71
97 216 71
97 119 71
97 225 71
209 226 97
12 209 97
191 209 97
188 209 97
209 221 97
181 232 209
45 181 209
120 181 1
42 181 1
