1024 27392
241 333 1
187 951 1
1 376 1
9 470 9
785 836 1
553 857 24
207 627 9
190 516 2
349 531 349
183 355 1
428 736 114
818 874 77
274 658 170
586 674 1
748 876 1
496 743 42
23 867 1
306 685 9
117 743 42
168 416 1
261 995 87
279 738 279
4 687 4
15 545 15
386 527 1
641 971 39
142 454 1
15 315 1
153 209 1
101 502 1
369 912 1
161 341 126
179 947 1
206 776 31
422 760 16
63 386 2
117 235 42
212 260 4
1 723 1
75 231 75
749 974 43
193 517 1
452 839 9
888 941 107
322 571 1
33 390 33
324 706 1
31 614 1
166 558 2
532 797 1
98 327 1
508 692 1
66 922 1
96 164 24
594 697 1
16 746 1
23 379 23
576 848 147
193 683 98
444 1021 1
53 616 1
21 445 21
742 929 39
912 930 1
161 700 1
449 505 1
581 646 16
590 832 1
553 724 1
253 466 1
198 676 1
769 874 1
61 957 1
253 273 1
323 764 168
413 697 1
122 170 1
301 680 33
414 506 9
44 772 44
372 408 1
88 552 88
2 781 2
647 1000 2
364 464 19
521 576 2
564 598 345
849 1000 126
356 950 1
582 831 1
770 943 306
200 945 14
149 342 11
873 967 1
365 617 306
714 834 2
239 737 18
46 120 46
505 896 82
378 573 7
855 869 1
606 802 1
18 364 18
497 1023 76
164 341 24
121 956 1
579 922 1
137 968 1
743 995 42
495 671 160
2 91 2
157 910 2
1 316 1
609 692 36
2 138 2
809 867 2
107 438 6
1 670 1
224 313 1
275 417 2
728 985 7
1 128 1
115 889 1
38 646 1
13 649 1
288 370 1
68 808 2
27 314 9
26 602 26
789 1014 300
407 783 339
155 571 155
228 513 1
167 333 1
115 796 2
608 915 1
239 828 1
376 918 91
342 786 11
37 405 6
271 740 28
194 955 1
184 884 1
321 910 91
559 933 1
222 370 222
191 210 191
518 803 24
391 633 1
568 1010 1
2 113 2
92 589 13
472 833 2
128 701 1
160 395 12
18 634 18
205 280 1
278 689 1
9 24 9
607 633 26
10 806 10
1 1019 1
95 1019 1
694 939 1
795 819 100
1 250 1
75 266 75
131 139 2
