2048 100000
1793 2012 1793
1517 1641 350
164 991 164
163 531 1310
871 1220 25
132 1301 132
224 645 645
794 1500 1368
112 1878 112
52 1229 52
686 1259 308
122 1495 618
1888 2001 1521
46 1011 986
1271 1995 1271
1002 1724 840
372 898 372
1262 1352 1352
321 994 321
1404 1508 857
1513 1826 1327
91 476 802
10 965 1956
1254 1685 1254
210 1191 885
1206 1642 1439
539 849 539
939 1414 1435
42 1721 1494
775 1407 1633
977 1688 1394
468 1786 1833
10 95 707
836 1438 964
802 1963 493
413 1696 1093
245 300 938
354 720 1071
859 958 1210
1392 1740 562
1319 1472 1319
445 873 500
1486 1557 1084
187 2038 473
132 1109 132
987 1512 1234
1639 2046 2046
1156 1725 1156
368 498 498
1779 1925 1360
1256 1653 1653
816 1469 1469
103 1090 2000
744 1579 1579
1241 1874 1006
583 1255 1824
1244 1885 697
1121 1419 1121
1116 1306 808
212 479 527
742 1937 94
175 407 1743
1480 1587 1480
1059 1851 1059
234 305 971
332 1876 560
1068 2047 1384
787 1842 1842
1127 1356 1127
1163 1676 908
1786 1860 590
200 742 772
422 663 663
649 727 727
411 1788 1066
78 1241 78
446 1640 999
767 1141 1141
1317 1424 1424
413 1638 1765
285 748 296
616 1564 967
1088 1684 1117
533 1055 1478
1282 1511 1282
861 1377 1377
290 903 290
209 1994 230
75 566 506
483 668 865
959 1255 1824
609 1830 1830
144 431 1768
1509 2030 1559
413 971 1061
426 1182 281
340 777 380
548 1462 637
1181 1537 1537
43 386 386
147 323 585
297 340 380
358 587 1936
135 1634 56
1289 1452 1289
168 368 1813
252 903 705
638 1248 852
1098 1291 1787
528 990 528
1138 1998 526
1440 1756 1440
727 1353 727
1558 1857 1558
181 651 662
579 777 777
1045 1711 1443
86 103 842
1104 1377 985
1596 1784 1596
339 1992 339
1669 1924 582
1242 1767 739
1622 1829 248
868 1100 699
728 1630 1129
101 1839 1995
466 937 937
324 1044 324
110 281 886
1773 1927 1101
835 2005 1560
561 1980 232
511 526 1791
977 1219 492
34 1212 529
4 1486 921
93 1279 517
96 748 716
235 827 847
664 1864 1915
1694 1883 1598
1884 1887 1950
30 1810 1674
696 834 1345
1088 1945 1117
1690 1928 1998
101 1804 1995
198 519 1642
1616 1779 1616
1363 1810 470
94 733 636
1419 1495 1419
795 1077 1298
762 840 762
231 802 1651
1153 1159 1067
206 1595 1266
1153 1315 1067
1360 2012 2012
342 1059 1059
1415 2032 2032
199 1482 1482
135 1118 682
405 1655 477
915 2021 22
943 1325 1126
9 422 630
233 1679 233
155 1305 1832
85 1463 1463
516 914 410
332 1723 759
7 1230 617
690 1010 1113
1026 1717 1456
1030 1251 1211
1748 1839 237
1300 1510 1781
735 1581 1081
1186 1865 1865
165 487 749
43 377 19
813 1252 1252
1168 1524 228
376 567 1186
1130 1543 1130
1319 1928 1319
12 244 244
102 274 1702
134 803 1899
781 1612 130
632 1485 488
1643 1659 714
733 1107 636
1179 1260 1260
490 1712 2030
85 1805 1805
43 1240 19
707 1098 707
119 2014 1757
815 1810 815
1276 1501 1406
1970 2018 1075
129 816 1302
804 1661 804
224 1150 1610
532 1918 1918
1197 1495 1997
471 887 202
1217 1498 1022
484 921 921
429 993 993
340 1863 380
627 1079 1934
1642 1994 1994
188 1471 1471
273 1390 1841
1419 1599 1582
135 910 682
1122 1542 1047
101 1777 1043
1158 1174 744
277 929 1898
507 1257 507
648 1018 1018
708 1318 448
234 548 971
476 518 336
415 1112 415
1181 1861 1561
1206 1909 858
546 688 1621
1451 1930 423
1254 2006 1254
28 1354 569
453 1425 948
895 1266 1266
1148 1667 1865
899 1087 1857
312 612 1945
989 1572 1572
596 785 1111
650 1034 719
270 1727 1383
40 1168 228
1207 1299 1604
413 1050 2012
352 1248 852
846 1208 307
517 1064 517
956 1495 1663
967 1179 2018
1090 1304 1309
509 1603 372
160 1383 507
331 598 1653
357 887 357
983 1846 1585
501 1250 751
218 1937 1937
1941 1974 33
1269 1595 1666
730 1886 730
641 1657 1375
971 1112 1797
943 1495 1126
592 1870 1870
229 1911 417
544 1202 351
234 1968 358
495 1826 456
388 1594 388
573 706 244
527 1453 527
781 1931 130
589 1288 1288
162 1352 1352
1466 1495 1466
810 1290 1057
206 565 206
215 1080 215
49 823 1557
983 1775 1775
338 547 369
774 845 774
581 840 840
777 1130 1130
55 60 1652
1906 1968 358
1184 1923 798
1553 1744 1744
157 1068 765
426 1387 1677
155 1584 909
621 1437 605
222 750 1231
1833 1885 1833
146 1625 178
1027 1712 1027
272 1353 757
524 1091 524
1355 1410 1744
235 1923 1923
1288 1629 1288
104 1137 104
836 933 964
368 1919 368
1316 1866 1866
860 973 812
79 1135 79
222 1812 1290
165 1248 852
1598 1694 1598
870 1643 1643
489 2009 1223
1357 1359 1357
10 347 707
771 813 251
1407 1774 789
557 1605 366
280 1495 280
90 176 118
339 655 718
1023 1414 186
239 278 239
1510 1947 734
33 1265 1265
384 1176 1955
728 1984 1027
182 365 153
962 1738 1866
1054 1605 366
898 1573 898
1421 1847 1847
564 1116 808
79 2032 79
526 561 232
1118 1628 82
285 1255 1824
687 1985 687
1918 2023 1918
1190 1503 166
196 704 745
519 1874 1642
108 1495 108
722 1579 722
1318 1479 1479
247 269 796
555 732 1347
52 695 52
154 989 154
123 732 815
994 1358 1358
254 654 1301
1143 1560 404
777 957 777
819 1619 819
424 591 1904
141 392 392
2018 2026 1554
36 1564 994
754 1674 1674
283 1223 283
393 1161 393
663 1904 663
419 1067 32
296 832 296
119 1839 1757
617 953 617
495 1941 456
403 1178 491
632 1676 908
1356 1400 920
2 951 769
835 1887 1560
43 1495 19
111 534 1528
1208 1641 1789
1495 1505 954
672 1040 271
882 1551 882
252 1291 1787
558 1110 177
855 1686 563
632 1300 1781
146 1290 1290
375 1958 173
499 521 1340
600 982 557
232 1315 232
5 1371 1156
1532 1735 1483
102 1429 1553
1169 1465 558
141 1684 1684
395 1695 1597
95 1278 109
1219 1277 387
528 585 585
156 1282 1282
534 1028 882
875 1476 1161
497 1521 1521
290 1128 1594
629 1805 1805
83 92 283
310 1177 1177
611 1445 204
183 903 705
663 1825 663
246 438 438
1143 1393 78
715 1755 1029
423 1824 423
807 1736 524
977 1647 907
1609 1717 1456
844 1181 1181
662 1025 662
279 1519 279
236 329 1397
1337 1608 416
637 1987 2013
517 979 517
66 1372 1333
539 1064 1799
466 773 1192
768 1438 1001
700 1806 700
357 420 357
834 1441 741
71 762 762
444 858 1761
858 1846 1585
231 1385 1651
210 1868 1868
567 1330 1954
1050 1605 366
282 1162 282
611 1294 1283
458 1693 979
1074 1930 1830
181 1917 662
598 1712 2030
1182 1862 1374
1130 1720 1130
979 1072 979
132 530 132
425 1982 942
486 683 969
155 1375 1375
1392 2008 2008
1444 1752 1896
1495 1734 99
198 236 546
970 1816 315
1011 1458 1007
35 186 2005
443 2033 533
272 1760 1473
55 1289 1289
566 1762 1943
537 1799 1799
200 988 772
1122 1739 1402
1147 1525 1147
857 1555 857
236 2014 1690
595 1306 539
26 290 1821
65 1563 1746
607 1208 1307
832 1887 1215
1744 1794 1744
833 931 90
555 972 972
84 790 1275
636 1123 636
1144 1338 1253
256 828 1236
1440 2043 1440
581 1520 1520
1748 2032 237
1508 1678 857
1069 1495 869
1131 1547 1131
424 1277 1904
179 1853 179
14 1866 1866
440 897 770
508 637 268
936 1523 1172
153 1467 1467
14 964 964
37 1462 60
587 1155 1936
70 1460 373
686 1633 1633
262 567 1940
746 1709 1493
336 982 591
476 1777 1043
1053 1384 1405
1332 1610 1610
199 802 1758
386 859 386
418 598 243
832 1701 1580
869 1244 697
1161 1375 1375
1822 2028 577
627 760 760
82 560 560
54 1225 703
1516 1660 586
975 1470 1802
621 1040 271
785 888 888
339 1233 339
492 642 923
809 1981 1981
426 1240 1335
458 1846 1585
1112 1472 1313
322 1252 1252
98 1631 405
751 891 751
149 1045 1443
1448 1860 1288
1210 1593 1593
198 991 1466
958 1384 1210
51 265 51
494 1609 1570
1366 1689 1369
170 1271 1271
1872 1932 224
325 994 409
758 1556 215
1712 2043 2030
1057 1599 1582
1205 1686 1428
924 1756 1
590 1449 590
143 1451 423
147 589 147
536 1346 536
681 1050 2012
1225 1972 356
65 1042 1746
690 1041 1982
321 1457 321
72 1570 1994
1193 1941 1726
953 1429 1553
343 1507 1837
1093 1149 1149
366 1909 366
685 915 1911
694 1657 694
367 539 367
735 1703 1076
104 1293 104
1146 1410 1744
666 919 147
644 692 1170
118 745 745
690 1072 64
1428 1748 237
486 1374 969
1311 1929 848
1647 1792 339
140 1867 1867
558 1806 138
1085 2012 353
302 457 302
1140 1553 1553
25 243 25
1230 1983 1230
530 1862 1395
765 1524 1105
689 1069 1975
992 1409 1897
16 96 716
651 782 1229
205 1995 1995
830 1930 700
1405 1471 1471
83 1739 989
1495 1594 1594
1204 1892 1539
98 869 869
378 1935 565
705 961 961
655 1857 718
148 2005 1376
625 1795 850
201 499 574
489 1910 1910
41 1797 1230
902 1095 1095
616 1873 967
427 430 496
1065 1683 1923
532 1689 1369
279 758 279
1247 1817 1999
844 1676 908
501 1777 751
1054 1321 1905
555 1118 1347
179 1162 179
806 1415 806
1326 1586 1319
1152 1428 345
723 1860 1288
1522 1661 1522
1577 2015 2015
93 273 959
180 1966 1000
306 793 1615
306 395 143
278 454 1809
154 1101 154
42 56 1494
104 298 104
199 559 284
795 1895 1298
1043 1752 1896
299 502 572
428 591 1258
1412 1941 1726
245 1990 947
198 1727 546
1857 2039 1857
1660 1889 1889
663 2015 2015
428 1179 1258
198 384 70
31 1055 1578
1426 1748 237
1989 1993 1664
94 1522 1522
162 509 1440
115 1495 1835
383 1343 142
888 1930 995
593 1263 804
113 512 1741
496 1043 496
745 1032 745
1645 2048 550
418 1709 243
687 877 687
715 1351 1029
175 1421 1026
96 1862 716
146 264 1131
566 929 1898
1615 1996 1615
405 1212 405
1377 1996 1377
1222 1599 1582
473 1061 473
1246 1701 844
134 1463 1463
815 1094 815
564 1083 162
1050 1747 1464
131 446 131
708 819 819
266 1532 1801
771 1919 251
819 1268 1268
453 740 453
1475 1679 1679
1941 2041 1726
1017 1826 1738
166 783 783
213 273 959
207 1664 918
1123 1209 619
45 1301 1301
1024 1635 1803
309 401 466
509 984 1440
1424 1912 1424
331 903 1653
569 965 569
454 830 1809
216 1055 1165
696 990 1345
163 343 1837
1027 1263 1027
183 698 1011
358 1301 1301
152 546 167
9 1447 630
415 1746 415
179 1010 179
628 1297 303
120 1547 1251
464 1733 1489
300 1913 1115
1448 1755 1785
638 1063 1063
136 621 2043
915 1016 1545
1027 1563 1027
877 1012 747
51 1028 51
322 1878 1878
325 1164 1164
323 1142 585
599 1609 157
1274 1487 1487
570 1992 570
180 1335 1335
476 1016 1545
4 1122 921
1110 1932 177
261 552 1691
1344 1689 1369
36 1149 1149
604 1640 532
1129 1565 1129
288 1510 288
794 1113 1368
690 1818 1113
849 1159 1159
1408 2046 2046
119 965 1956
1396 1784 1095
713 856 1235
1458 1520 1520
1574 1864 1915
437 644 584
120 1103 1103
156 1513 156
504 1533 1533
530 1540 1395
589 959 1708
201 1037 1520
803 1500 1325
170 1313 1313
1001 1171 1289
362 978 712
190 510 510
1213 1420 302
79 1553 1553
643 1552 1348
198 1337 416
592 1335 185
215 482 215
298 685 240
1095 1652 1095
330 1815 541
262 1374 1940
1495 1604 1604
1205 1872 1764
724 1074 724
1013 1833 1013
1517 1744 1744
260 1239 678
10 935 707
564 1451 423
328 1848 361
737 1134 737
839 1773 1101
66 241 1333
416 1312 663
351 1413 1413
683 1225 356
667 1834 1083
149 1764 149
972 1254 1254
797 1964 1964
1588 1790 2003
69 96 716
671 686 1260
835 1209 1560
507 687 687
809 1068 1973
379 829 16
216 642 1165
945 1552 1348
1621 2026 1554
604 931 532
877 1899 1899
170 579 579
94 1503 1503
353 1969 1969
49 1655 477
1353 1495 757
437 1235 584
31 1807 1578
630 828 630
310 1203 1673
650 1285 1159
74 1050 2012
254 944 944
180 2003 347
184 328 1149
18 125 1654
426 1908 332
1137 1421 941
903 1034 705
129 649 639
244 1737 244
46 459 1059
1081 1848 361
1552 1998 1348
111 1857 1528
311 455 455
741 1779 1360
244 1204 244
110 461 1961
1317 1808 1317
396 1302 396
1539 1549 1549
530 1649 1395
118 1047 1047
499 1618 1697
799 1837 1477
72 343 1837
646 1559 1559
598 607 1307
15 564 162
359 1185 13
888 1656 15
976 1328 1243
1027 1611 1027
1495 1859 1901
27 113 324
1430 1659 367
1249 1547 820
1495 1783 1218
1503 1857 1503
1078 1197 1997
489 1069 869
118 555 1347
402 1326 1319
292 903 388
339 1287 339
93 1200 1675
871 1750 25
1495 1784 24
1564 2021 22
176 2041 118
1 1971 1
290 1996 290
943 1700 1126
847 1646 1646
713 1955 1729
586 1962 439
189 2002 1191
879 1144 213
671 719 1260
193 1880 1058
1137 1869 1869
1256 1851 1130
859 1716 659
920 1205 920
735 1327 1081
454 562 562
141 1834 1083
1072 1935 64
43 171 19
647 1023 647
161 1361 1709
455 763 763
72 899 1857
391 819 819
711 1641 570
34 212 529
494 779 241
1495 1796 1366
338 1682 369
1030 1770 1211
1394 1774 789
996 1935 179
406 548 1356
100 1649 1121
676 1088 1117
142 890 142
507 1508 857
69 1356 255
236 1128 1594
1464 1577 762
70 1902 1933
336 583 469
105 1315 1471
176 973 645
762 1279 762
1147 1705 1147
1259 1495 308
34 996 179
429 1314 1314
446 810 1057
733 987 1234
779 2015 2015
413 1177 1177
1230 1612 1230
826 1066 826
710 923 923
260 469 469
103 1184 798
1064 1173 1799
306 2023 288
396 2001 1984
982 1966 1000
487 634 634
588 849 260
423 1624 423
1273 1962 1867
696 1862 1154
244 823 244
1347 1562 1562
137 828 691
225 1858 1979
1173 1539 320
271 601 271
1730 1815 541
867 1415 867
571 1892 1657
186 1361 1709
604 1068 532
966 1084 1051
165 1069 869
201 1549 1549
139 1342 1601
613 1472 811
885 1450 1450
123 1358 815
183 330 1502
1048 1594 1103
386 675 386
591 1240 1335
575 930 930
188 628 1274
916 1998 1324
605 1841 605
1570 1598 1598
423 1033 1450
29 834 932
838 1421 838
1092 1426 482
1408 1810 1674
46 434 986
1074 1898 1830
1788 1915 1352
1623 1966 1000
582 1258 582
878 1462 1878
931 1794 393
671 1609 1260
664 1292 1034
462 1151 462
616 876 226
337 360 1847
43 1840 19
767 1231 1231
1388 1704 1479
27 1294 324
516 1253 410
913 1394 1679
919 1330 147
1039 1509 1559
1005 2027 1207
572 634 572
337 1801 1847
479 1571 805
1848 2035 361
156 1583 1969
450 823 450
729 2033 533
1395 1956 1395
69 522 727
521 1170 1340
64 402 1731
384 1640 999
1523 1748 237
186 503 513
1036 1241 1006
10 1422 707
870 1052 1052
393 629 393
60 1763 1261
1012 1930 747
458 1476 1161
835 1365 1560
376 1249 1186
1737 1941 1726
305 1806 138
670 1121 1121
956 1150 1610
348 1139 1139
272 1367 293
1599 1826 1582
54 705 703
1471 1885 1471
1130 1228 1130
358 465 358
287 586 287
1573 1670 354
1100 1760 1473
741 1979 1979
776 1024 776
548 1931 1356
461 1958 1961
956 1090 2000
908 2007 908
260 1858 1979
104 490 104
290 1633 290
1 908 1
75 1014 1362
344 1814 344
1620 1928 1620
493 1471 1471
834 1414 741
788 1560 1733
1254 1495 1254
641 730 1375
100 1901 1901
245 1567 684
