64 1886
19 52 51
7 45 58
1 53 1
18 54 31
24 50 50
7 23 60
16 49 41
5 44 44
7 50 60
7 42 60
41 63 41
9 62 27
49 64 64
7 17 60
20 41 41
13 48 13
2 10 13
23 56 56
58 60 58
25 47 25
46 55 46
28 58 58
14 31 31
22 29 64
1 41 1
35 38 38
10 28 17
29 50 50
2 58 58
8 32 25
27 55 27
3 23 61
50 53 50
60 62 60
3 48 39
51 56 56
24 29 42
40 56 56
32 55 54
12 21 38
39 63 36
22 27 64
6 36 40
16 17 41
3 55 54
22 53 64
40 44 44
5 45 58
45 58 58
21 33 56
2 7 60
39 56 56
6 23 40
20 57 57
7 27 60
8 25 25
25 31 25
45 60 58
37 61 1
3 46 46
43 46 46
14 58 58
22 41 64
25 54 25
37 59 1
9 13 13
2 36 13
4 39 4
42 45 58
22 58 58
19 58 58
8 46 25
5 37 1
27 58 58
13 21 13
47 60 60
8 9 25
11 57 44
17 55 54
15 35 4
10 39 39
10 57 57
39 42 42
25 39 25
31 56 31
11 33 44
5 58 58
35 37 1
3 16 41
46 56 56
53 54 50
27 35 27
2 47 13
23 32 61
24 31 31
24 61 61
4 31 31
27 32 27
30 57 30
36 55 54
7 36 60
21 27 27
23 46 46
25 44 44
19 42 42
9 63 26
55 57 54
8 16 25
33 50 56
27 45 58
15 17 17
40 55 54
25 58 58
8 51 25
11 25 44
26 40 40
21 62 27
33 54 56
31 39 31
23 25 25
49 58 58
21 40 40
39 54 54
26 43 46
11 61 44
57 64 64
14 37 1
32 40 40
5 32 5
33 46 56
30 61 61
6 49 40
3 5 5
42 60 60
46 62 46
8 34 25
29 30 42
2 32 13
19 49 51
44 61 44
2 51 51
1 50 1
33 39 56
6 16 40
18 21 31
4 33 56
6 30 40
17 21 17
24 64 64
3 57 57
45 63 58
4 32 4
42 43 42
18 31 31
35 54 54
2 9 13
18 30 31
33 35 56
6 64 64
16 23 41
44 51 44
19 28 51
11 14 44
27 34 27
34 39 34
10 38 38
13 38 38
43 50 50
45 51 58
2 21 13
27 63 27
1 61 1
18 40 31
36 58 58
26 38 38
51 59 51
31 46 31
6 60 60
15 19 51
27 59 27
17 52 17
43 64 64
3 44 44
2 56 56
41 56 56
30 62 27
11 62 44
41 49 41
29 37 1
3 15 39
39 41 41
38 61 38
56 63 56
37 60 1
15 63 36
35 48 4
14 62 27
37 50 1
6 21 40
8 63 25
27 48 27
1 19 1
19 34 51
3 37 1
37 58 1
7 44 44
27 64 64
9 28 26
39 51 51
21 60 60
23 42 42
6 54 54
12 35 38
19 33 56
29 53 50
14 28 17
17 26 26
23 59 61
31 62 31
15 22 64
17 61 17
36 52 36
4 30 4
51 64 64
23 38 38
6 43 46
8 58 58
6 35 40
43 51 46
6 52 40
32 54 54
8 60 60
43 44 44
19 22 64
14 40 40
18 41 31
34 38 38
26 54 54
17 53 50
43 61 46
2 63 13
