16384 16383
11953 15502 15502
5509 6274 10163
7068 13795 13404
10724 15539 7885
7722 11915 6906
3920 14267 13015
2518 2652 7044
11953 16201 16201
10979 11953 10979
5253 11953 5253
13860 14081 7931
10364 11953 10364
1039 11717 7294
909 11953 909
7589 12219 12198
7590 14917 6539
11629 11953 11629
3939 11953 3939
1288 9720 9774
11953 14594 14594
4053 11953 4053
7741 9485 10650
10800 11953 10800
11953 15760 15760
7687 11953 7687
7530 13294 5642
11953 12415 12415
6704 11953 6704
7175 11633 13054
11953 12061 12061
5024 11953 5024
4895 16230 11338
7826 11953 7826
9371 13363 1870
7684 10938 14034
9325 10100 2237
2477 11953 2477
3243 11953 3243
13173 15555 14927
6199 11953 6199
14686 15788 5129
1654 11953 1654
4053 9918 13911
2496 14601 15595
6674 11953 6674
11953 13103 13103
14229 16117 5784
1449 1504 5487
4118 11953 4118
2381 11953 2381
11953 12523 12523
2172 11499 6128
5856 12360 10040
2497 9828 10737
7934 11953 7934
5495 8690 12041
5596 11953 5596
14362 16041 13381
14282 15686 4241
2006 13673 5248
11953 15925 15925
6047 11953 6047
5773 11953 5773
7115 11953 7115
4767 11953 4767
9064 12298 16042
11953 12113 12113
5344 15940 12186
1620 11953 1620
11953 11957 11957
2366 7585 16146
9043 12552 2640
2787 12104 10780
1767 11953 1767
11953 13310 13310
2923 11942 2761
2140 3587 14967
4502 14502 4069
8881 9011 13309
4323 11953 4323
370 1226 13885
10060 11953 10060
93 11953 93
11953 12273 12273
3076 11953 3076
520 9009 15864
4412 11158 11336
11953 13981 13981
6000 11953 6000
6248 13561 3582
5902 10024 9029
2800 11953 2800
2501 9477 6385
6954 11953 6954
9246 9961 10215
2458 11953 2458
8235 11953 8235
10626 11953 10626
6840 11895 4928
3956 11953 3956
5105 11953 5105
11766 14180 10156
11953 13130 13130
11953 15445 15445
756 5081 1864
7117 11953 7117
2656 14582 7553
11281 12986 16285
10443 11929 1465
5346 7174 6477
11953 16242 16242
1183 11953 1183
4284 6244 3487
3830 16276 2842
7678 10472 2969
1959 10563 7180
908 11953 908
9732 11953 9732
4980 11953 4980
13025 15634 12383
13632 16045 8181
5807 11953 5807
9640 11953 9640
538 7545 4442
11953 13345 13345
147 16290 14905
13559 16298 1513
7927 14157 12560
11953 15936 15936
11953 15966 15966
7824 11953 7824
11953 13250 13250
3772 11953 3772
2133 10913 9890
9979 13649 4329
11953 15269 15269
10902 16166 13894
7629 8622 9484
11953 13121 13121
7082 11953 7082
9538 14066 7410
5630 6698 6653
11953 15985 15985
6121 11953 6121
11184 11730 12425
6332 6927 476
4221 7606 1222
955 12963 3416
11953 14895 14895
6369 11953 6369
13287 16095 3074
11953 13929 13929
8612 11953 8612
10964 11953 10964
6518 13551 11080
4986 15340 14465
6540 11953 6540
9231 11953 9231
8653 11953 8653
10780 11953 10780
15241 16121 7109
1746 11953 1746
425 12129 15502
3052 11762 408
9020 15268 9301
1883 11370 2673
10782 11953 10782
11953 15789 15789
11953 13992 13992
5340 8206 6403
11953 13454 13454
10802 11126 7503
11953 12007 12007
11953 16380 16380
11953 15443 15443
6263 11953 6263
3526 11953 3526
4827 11953 4827
3620 9440 12063
9134 11953 9134
11953 13249 13249
6513 16109 5717
2811 4605 9186
3414 10328 13974
1718 3315 10194
2125 4312 13926
13403 16282 15450
340 11953 340
7427 10598 16007
7339 9493 720
2577 11953 2577
1215 3362 11808
5390 11953 5390
1157 11953 1157
10225 12089 12111
11863 11953 11863
5730 11013 2779
4232 7857 6708
15147 15832 2124
9279 11953 9279
10387 11953 10387
13913 15037 13402
823 14996 12351
