2048 100000
599 866 487
233 1175 1867
235 1911 1729
123 1993 1616
103 1866 1866
1330 1761 1761
119 1074 1888
840 994 1579
246 1254 1
229 616 43
1119 1620 983
1291 1351 1762
516 1177 1223
675 1809 1809
184 1726 844
749 1857 1857
603 1734 314
13 53 1052
37 1759 555
948 1912 1095
106 1438 260
372 1816 372
1152 1252 1344
1034 1409 623
136 449 136
525 1707 1385
957 1923 1562
828 1083 1083
321 1590 56
1414 1433 1573
1174 1369 1369
838 1049 708
531 1884 531
671 1956 1680
284 1820 2029
375 991 375
18 923 1714
1386 1631 251
61 1005 273
256 406 1569
1185 1892 1316
689 1998 1193
296 1400 63
1170 1700 1170
88 1656 88
754 1732 1732
1004 1486 1196
198 583 1853
1837 2046 922
106 2036 1634
304 1318 304
328 709 633
531 1073 1489
251 2031 2031
373 1021 373
1138 1650 65
1529 1874 620
848 1301 1301
1330 1563 1353
1069 1073 1489
232 1834 1591
654 1868 1317
208 1582 1582
260 517 1933
45 1046 598
1255 1502 1953
285 1090 1090
471 2005 618
453 969 473
1624 2035 1126
814 951 94
1300 1898 1380
463 1405 1103
1255 1460 1255
981 1655 1778
1014 1892 1146
475 1239 827
1601 2011 1995
130 1910 815
656 1817 1817
632 1285 632
300 1667 1460
280 1448 1296
267 1749 501
17 1760 1838
1078 1442 1442
499 951 1433
580 1595 580
627 670 37
938 1029 1029
449 1252 1344
954 1286 1841
547 1674 1674
35 1374 165
425 1992 1244
940 1769 372
259 449 1904
1250 1864 1850
1174 1930 1932
587 859 587
1070 1610 1070
684 794 684
395 1520 529
1319 1501 1319
17 58 1838
806 808 1191
1372 1495 1372
919 1649 1855
163 1457 158
386 1384 1369
218 406 408
147 247 147
44 1338 243
379 1767 1361
1495 1631 1631
432 1912 1912
481 857 287
522 1214 1506
111 167 1083
67 787 67
634 724 722
1259 1291 1762
164 314 423
1091 2046 823
664 1383 1775
5 1830 1521
567 1763 1763
296 305 63
948 1445 1095
261 1736 60
717 1990 717
595 1966 900
173 1068 173
534 914 199
813 1659 1900
1407 1860 988
189 612 74
1590 2041 430
1438 1481 1481
1381 1669 1337
429 920 313
90 212 90
69 1954 282
660 1206 632
825 1100 931
758 1363 1360
5 413 1123
483 1210 1210
959 1145 959
1410 1602 1410
835 1358 1358
402 2045 80
254 1332 254
713 1376 1261
201 2009 837
817 1736 1312
798 1163 798
1448 1989 1025
1202 1411 1419
854 1691 1691
1553 1837 1744
841 939 939
380 592 380
873 1979 1979
608 1834 1437
1024 1665 1982
599 969 473
719 1594 1453
1035 1956 1680
436 995 224
655 1254 1
1742 2024 2024
5 1053 1048
410 603 410
1158 1529 576
927 1076 1869
1678 1747 1159
1310 1990 961
389 1429 1410
551 1190 1190
849 1328 1328
78 1676 1370
1245 1427 1427
938 1198 373
606 1084 193
353 605 605
317 1545 1545
1627 1755 123
1365 1951 1365
1317 1770 1317
1268 1557 2031
1011 1243 1243
540 1096 1637
861 1737 1856
1248 1571 1055
719 1302 1596
834 1796 1355
793 1392 1012
139 1751 621
1496 1762 792
834 1751 621
588 710 1657
1326 1506 1506
1386 1430 251
360 1972 1416
301 1497 1788
693 717 1434
129 1234 1358
1196 1371 906
187 486 1175
1173 1794 1343
345 656 388
651 1234 1358
732 1432 1619
677 1123 1617
133 2018 1388
1067 1352 1067
1513 1968 134
163 651 158
199 602 299
234 1392 1012
455 1160 1572
329 1160 329
1208 1627 123
230 489 1558
127 1284 1328
198 1957 188
1785 1857 1785
1571 1581 1055
976 1216 1852
1956 1996 1680
694 1314 1991
702 755 1442
515 809 809
307 2003 307
359 1941 1777
992 1589 1536
1121 1325 1121
932 1053 932
1492 1776 355
1505 1873 1390
1583 1657 1657
668 1445 2023
718 742 1718
596 1751 621
453 1602 443
2 348 1950
1698 1885 1237
14 17 1838
1439 1593 1593
1282 1824 1282
616 1355 958
535 1452 411
90 1388 1388
447 1552 447
1233 1718 1718
1765 1867 1867
725 884 972
1293 1950 1293
941 1664 68
868 1516 868
1535 1653 712
600 1985 400
967 1035 1210
341 1643 358
372 731 372
656 1244 1322
494 1628 1628
1245 1865 1593
582 1510 582
1042 1716 1042
35 616 122
1258 1682 87
887 1897 1897
1177 1984 239
1232 1793 1232
197 1085 197
2024 2034 2024
116 1495 1350
819 1296 819
156 1932 882
587 1649 1855
1890 1896 30
1004 1178 42
652 1534 1439
917 1486 1196
117 1218 357
810 1054 1412
774 1982 774
264 1239 195
1283 1559 1761
1322 1508 717
534 1423 1672
67 1235 67
476 2010 1219
634 945 634
402 1862 552
132 1922 1654
