stage,mode,n,seed,shuffle_labels,shuffle_queries,gen_ok,solver_rc,timed_out,val_ok,sec,rss_kb,case_dir
correctness_fuzz,comb_rect_dense,64,1,0,0,1,0,0,1,0.013043,1888,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/strong_gate/runs/correctness_fuzz/comb_rect_dense/n64/seed1_L0_Q0
correctness_fuzz,comb_rect_dense,64,1,0,1,1,0,0,1,0.011784,1840,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/strong_gate/runs/correctness_fuzz/comb_rect_dense/n64/seed1_L0_Q1
correctness_fuzz,comb_rect_dense,64,1,1,0,1,0,0,1,0.011273,1888,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/strong_gate/runs/correctness_fuzz/comb_rect_dense/n64/seed1_L1_Q0
correctness_fuzz,comb_rect_dense,64,1,1,1,1,0,0,1,0.013286,1888,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/strong_gate/runs/correctness_fuzz/comb_rect_dense/n64/seed1_L1_Q1
correctness_fuzz,comb_rect_dense,64,2,0,0,1,0,0,1,0.015066,1840,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/strong_gate/runs/correctness_fuzz/comb_rect_dense/n64/seed2_L0_Q0
correctness_fuzz,comb_rect_dense,64,2,0,1,1,0,0,1,0.014782,1840,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/strong_gate/runs/correctness_fuzz/comb_rect_dense/n64/seed2_L0_Q1
correctness_fuzz,comb_rect_dense,64,2,1,0,1,0,0,1,0.011240,1872,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/strong_gate/runs/correctness_fuzz/comb_rect_dense/n64/seed2_L1_Q0
correctness_fuzz,comb_rect_dense,64,2,1,1,1,0,0,1,0.015073,1840,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/strong_gate/runs/correctness_fuzz/comb_rect_dense/n64/seed2_L1_Q1
correctness_fuzz,comb_rect_dense,64,3,0,0,1,0,0,1,0.014293,1872,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/strong_gate/runs/correctness_fuzz/comb_rect_dense/n64/seed3_L0_Q0
correctness_fuzz,comb_rect_dense,64,3,0,1,1,0,0,1,0.015076,1840,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/strong_gate/runs/correctness_fuzz/comb_rect_dense/n64/seed3_L0_Q1
correctness_fuzz,comb_rect_dense,64,3,1,0,1,0,0,1,0.015078,1840,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/strong_gate/runs/correctness_fuzz/comb_rect_dense/n64/seed3_L1_Q0
correctness_fuzz,comb_rect_dense,64,3,1,1,1,0,0,1,0.014371,1904,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/strong_gate/runs/correctness_fuzz/comb_rect_dense/n64/seed3_L1_Q1
correctness_fuzz,comb_rect_dense,64,4,0,0,1,0,0,1,0.015083,1856,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/strong_gate/runs/correctness_fuzz/comb_rect_dense/n64/seed4_L0_Q0
