128 2987
28 79 32
16 122 28
37 57 1
41 67 88
100 109 78
104 126 104
24 33 1
31 52 32
83 127 29
17 118 29
110 113 42
93 109 78
18 107 1
11 44 28
35 67 29
1 38 1
82 105 50
24 115 1
29 66 29
6 75 71
27 77 60
36 54 28
35 128 29
1 28 1
40 106 32
7 26 127
16 89 32
3 80 1
49 65 1
57 111 1
53 99 99
19 40 1
81 120 1
3 10 32
29 41 29
71 114 1
2 27 32
65 122 32
27 54 60
36 58 1
71 104 32
27 124 1
16 125 28
50 118 29
52 110 1
62 77 60
125 126 32
46 113 88
11 102 60
40 125 28
36 127 1
14 79 61
62 123 71
16 18 1
58 86 88
10 59 1
34 65 78
34 109 109
19 95 88
89 126 104
16 75 60
27 122 60
90 111 50
55 71 71
1 36 1
77 96 1
92 117 32
21 121 99
18 46 116
5 73 71
14 121 1
41 116 88
19 53 29
32 126 32
27 109 32
2 79 107
60 76 60
9 64 29
3 9 1
3 13 32
66 85 1
33 122 1
1 86 1
45 103 29
66 71 1
23 111 50
24 93 24
12 57 1
28 43 32
123 125 60
57 74 77
7 51 29
21 127 29
26 29 29
37 101 50
1 22 1
61 105 1
94 114 88
20 114 29
58 88 88
31 107 32
2 64 1
73 85 71
86 110 88
4 46 86
85 123 71
5 78 32
88 124 29
43 120 107
47 100 1
18 113 88
81 107 1
34 121 1
67 105 29
1 15 1
14 35 1
3 91 32
25 86 116
5 86 1
15 121 99
97 104 32
104 111 1
1 32 1
41 87 127
28 31 28
40 44 57
91 124 1
93 100 120
26 104 1
48 91 107
27 119 32
114 124 29
52 126 52
32 48 32
29 74 1
49 117 1
94 127 88
60 109 32
105 111 81
34 91 78
18 75 1
37 50 50
10 36 32
38 64 1
68 73 32
20 29 29
30 94 30
40 92 60
45 105 99
7 93 1
7 41 127
26 58 127
53 108 1
83 101 99
29 128 29
63 85 32
79 89 107
102 122 60
8 23 99
9 40 1
74 97 28
25 118 30
60 99 1
36 90 1
85 86 1
114 117 1
18 121 29
61 82 1
6 55 71
63 65 107
108 127 1
66 86 86
21 92 1
60 62 60
103 116 88
61 108 61
44 97 28
37 86 29
64 112 50
6 76 76
23 25 29
61 75 32
87 114 127
27 60 60
43 48 104
19 52 1
13 30 1
96 116 29
87 128 127
51 83 121
1 69 1
77 100 32
9 88 88
40 120 32
102 108 32
1 37 1
13 117 107
8 72 1
17 21 99
37 47 50
63 64 1
17 23 99
39 110 1
42 66 88
41 114 128
54 66 1
40 107 32
26 52 1
33 69 69
51 53 51
6 11 60
2 36 32
107 120 107
23 101 47
65 68 107
25 98 29
32 55 32
68 72 104
48 106 107
27 85 71
60 98 1
3 16 28
4 7 88
64 98 99
48 84 104
41 69 69
57 77 77
55 97 60
61 101 1
32 78 32
58 122 1
100 126 107
18 61 1
53 69 29
40 104 32
67 72 1
4 110 88
33 127 127
25 32 1
3 60 60
99 128 29
3 77 28
99 121 99
21 83 99
84 113 1
5 67 1
14 109 109
32 58 1
9 46 86
96 97 1
90 101 90
112 126 1
105 117 1
28 36 28
42 88 88
23 70 99
13 32 32
7 68 1
17 80 121
6 97 60
26 69 128
72 128 1
78 89 107
4 86 86
74 83 1
33 114 128
16 62 60
67 125 1
2 89 2
9 109 1
29 83 29
