64 1775
15 59 15
27 53 27
33 43 33
46 54 42
59 63 42
30 56 30
24 60 24
32 46 32
20 56 20
41 52 41
14 60 14
21 58 21
26 53 26
26 46 26
32 45 32
6 26 6
55 60 42
18 22 18
29 34 29
30 54 30
34 58 34
39 42 39
12 48 12
5 28 5
37 58 37
14 53 14
24 39 24
5 43 5
27 64 27
47 50 42
16 60 16
41 50 41
23 56 23
16 38 16
25 44 25
42 44 42
47 63 42
6 49 6
8 62 8
31 32 31
5 54 5
52 55 42
53 62 42
12 54 12
29 52 29
10 12 10
9 54 9
29 49 29
34 36 34
2 6 2
54 59 42
34 43 34
18 37 18
23 28 23
7 51 7
51 53 42
51 62 42
31 41 31
3 14 3
11 43 11
20 42 20
1 25 1
9 30 9
37 51 37
9 21 9
20 45 20
7 49 7
25 42 25
20 33 20
15 33 15
14 21 14
27 45 27
34 60 34
25 37 25
22 27 22
24 26 24
13 39 13
30 51 30
30 42 30
35 39 35
2 59 2
20 64 20
5 8 5
7 63 7
1 30 1
19 62 19
33 61 33
1 21 1
15 35 15
7 57 7
11 63 11
44 59 42
22 40 22
2 24 2
30 64 30
1 7 1
21 56 21
16 59 16
21 22 21
12 14 12
23 48 23
1 33 1
6 48 6
15 55 15
13 19 13
28 33 28
8 42 8
53 58 42
56 60 42
45 61 42
45 63 42
33 46 33
7 27 7
23 26 23
27 50 27
18 30 18
41 54 41
13 18 13
42 53 42
2 52 2
16 36 16
45 49 42
25 48 25
43 59 42
17 42 17
32 56 32
53 55 42
23 38 23
36 52 36
21 23 21
21 62 21
18 21 18
22 59 22
7 53 7
30 50 30
50 55 42
10 23 10
4 47 4
26 55 26
2 49 2
5 56 5
6 34 6
11 61 11
26 51 26
48 52 42
19 23 19
5 33 5
50 51 42
6 28 6
6 38 6
56 57 42
8 46 8
13 43 13
28 44 28
14 49 14
1 57 1
38 48 38
18 52 18
45 48 42
28 46 28
27 62 27
42 52 42
30 53 30
31 34 31
11 55 11
8 60 8
18 44 18
48 53 42
21 36 21
3 38 3
6 31 6
2 7 2
53 63 42
12 16 12
14 31 14
19 39 19
10 41 10
4 6 4
27 30 27
16 18 16
3 7 3
36 64 36
13 28 13
34 42 34
10 56 10
8 44 8
20 61 20
8 28 8
7 59 7
13 50 13
22 39 22
46 50 42
1 16 1
19 28 19
11 26 11
27 59 27
16 27 16
26 43 26
47 48 42
36 54 36
43 58 42
38 39 38
4 49 4
38 41 38
18 35 18
51 54 42
6 63 6
48 49 42
39 54 39
35 58 35
3 46 3
10 24 10
1 11 1
50 57 42
17 22 17
10 15 10
24 51 24
14 27 14
47 55 42
31 49 31
26 42 26
39 44 39
19 29 19
49 52 42
24 54 24
39 40 39
39 60 39
9 29 9
17 63 17
13 54 13
35 64 35
21 57 21
22 38 22
1 2 1
6 23 6
7 55 7
50 59 42
37 43 37
10 39 10
33 63 33
49 62 42
54 63 42
6 64 6
12 34 12
45 50 42
4 36 4
9 32 9
1 44 1
28 47 28
24 32 24
8 25 8
17 50 17
25 50 25
7 12 7
10 27 10
3 29 3
1 5 1
40 42 40
2 45 2
19 64 19
4 46 4
14 39 14
22 42 22
28 52 28
38 46 38
9 58 9
9 60 9
5 9 5
3 39 3
50 64 42
6 47 6
3 37 3
23 58 23
61 64 42
23 39 23
38 54 38
35 47 35
17 38 17
12 38 12
9 11 9
11 18 11
14 20 14
49 64 42
21 25 21
3 21 3
41 47 41
12 13 12
9 31 9
51 61 42
19 48 19
40 48 40
7 43 7
10 61 10
9 42 9
15 16 15
22 54 22
28 29 28
3 63 3
3 32 3
39 64 39
5 31 5
10 33 10
7 23 7
20 31 20
31 36 31
31 51 31
40 59 40
14 58 14
21 64 21
7 45 7
10 45 10
45 53 42
13 41 13
37 39 37
13 27 13
20 57 20
17 33 17
18 41 18
3 5 3
18 51 18
42 60 42
43 44 42
1 13 1
35 42 35
24 62 24
5 16 5
2 19 2
16 52 16
48 63 42
37 48 37
14 50 14
27 52 27
5 37 5
33 64 33
2 20 2
18 23 18
5 41 5
7 11 7
33 49 33
38 45 38
3 17 3
15 42 15
36 62 36
15 54 15
9 12 9
41 55 41
15 52 15
11 29 11
21 52 21
20 49 20
2 22 2
9 64 9
22 30 22
6 58 6
12 21 12
18 57 18
44 56 42
35 51 35
9 36 9
4 9 4
4 39 4
32 40 32
47 54 42
20 36 20
4 42 4
2 48 2
17 27 17
16 31 16
17 56 17
42 47 42
22 26 22
29 50 29
5 42 5
1 3 1
42 43 42
8 54 8
4 51 4
43 57 42
28 43 28
38 40 38
26 54 26
40 43 40
1 34 1
24 42 24
46 52 42
17 29 17
20 22 20
4 45 4
19 50 19
4 25 4
52 59 42
2 60 2
14 23 14
22 24 22
8 16 8
8 9 8
38 52 38
14 19 14
11 47 11
7 8 7
46 55 42
45 64 42
27 39 27
1 61 1
27 60 27
7 16 7
10 20 10
12 57 12
18 54 18
16 53 16
8 41 8
14 40 14
2 42 2
3 58 3
33 58 33
23 53 23
5 58 5
2 34 2
10 46 10
49 53 42
1 29 1
13 36 13
17 49 17
9 15 9
36 50 36
28 31 28
53 60 42
14 18 14
16 29 16
16 42 16
18 53 18
27 37 27
6 9 6
3 20 3
10 26 10
7 31 7
23 47 23
15 24 15
5 6 5
12 50 12
8 53 8
16 56 16
47 58 42
51 58 42
36 58 36
40 54 40
51 59 42
4 56 4
12 43 12
7 32 7
16 45 16
45 57 42
28 51 28
51 55 42
13 64 13
17 57 17
16 64 16
13 23 13
28 61 28
28 62 28
22 49 22
21 26 21
13 51 13
25 53 25
5 46 5
29 57 29
27 38 27
11 53 11
9 17 9
2 16 2
2 10 2
46 61 42
33 48 33
1 49 1
17 18 17
20 35 20
43 61 42
47 57 42
32 52 32
15 25 15
29 51 29
20 62 20
6 15 6
19 37 19
31 63 31
20 38 20
6 33 6
34 46 34
14 51 14
31 55 31
19 30 19
41 49 41
52 64 42
60 62 42
2 63 2
8 45 8
37 56 37
12 32 12
30 61 30
24 36 24
2 27 2
40 41 40
6 42 6
16 41 16
46 58 42
24 56 24
8 39 8
11 23 11
32 36 32
45 60 42
44 58 42
51 57 42
13 52 13
31 58 31
52 60 42
20 39 20
30 38 30
46 49 42
1 50 1
25 40 25
2 58 2
34 62 34
52 58 42
1 19 1
3 15 3
7 33 7
23 51 23
1 8 1
25 30 25
3 64 3
12 64 12
7 39 7
14 41 14
43 52 42
27 29 27
8 22 8
5 29 5
28 53 28
27 41 27
14 43 14
19 63 19
24 55 24
16 58 16
11 50 11
29 31 29
38 47 38
2 36 2
26 48 26
5 34 5
2 14 2
44 51 42
30 44 30
20 30 20
27 34 27
8 23 8
33 50 33
19 36 19
20 34 20
47 52 42
16 50 16
9 55 9
18 63 18
8 32 8
55 63 42
20 48 20
