64 1816
5 61 1
1 25 1
6 47 6
1 55 1
24 29 18
23 28 18
56 62 50
17 18 10
13 62 6
35 54 30
30 35 30
29 59 22
38 48 38
56 63 50
12 39 6
13 35 6
38 39 34
44 60 38
18 20 14
37 44 30
30 32 26
2 30 2
12 13 6
14 25 14
5 31 1
16 28 10
9 34 2
31 46 26
30 37 30
15 62 10
23 51 18
1 43 1
8 57 2
2 38 2
39 62 34
39 46 34
24 37 18
12 16 6
7 47 2
2 44 2
37 60 30
10 60 10
6 41 6
23 48 18
26 56 26
14 30 14
6 49 6
35 40 30
9 18 2
22 41 22
3 27 1
4 39 1
31 43 26
18 63 18
23 47 18
7 13 2
18 29 18
33 54 26
53 61 46
29 30 22
27 29 22
46 50 46
1 6 1
5 53 1
30 55 30
25 44 18
18 31 18
2 37 2
44 47 38
57 62 50
1 42 1
18 24 18
23 46 18
1 9 1
11 29 6
1 34 1
1 27 1
39 50 34
7 49 2
10 13 6
24 56 18
6 44 6
20 38 14
27 53 22
42 49 42
11 46 6
22 62 22
6 61 6
1 40 1
2 51 2
39 42 34
6 38 6
17 55 10
15 40 10
2 31 2
26 33 26
48 49 42
8 62 2
17 27 10
8 41 2
10 58 10
45 56 38
8 13 2
29 51 22
49 62 42
12 20 6
32 51 26
22 53 22
34 54 34
26 62 26
21 35 14
2 9 2
20 46 14
16 29 10
16 21 10
2 54 2
8 33 2
49 63 42
28 43 22
15 41 10
17 28 10
1 20 1
7 27 2
10 30 10
7 48 2
34 49 34
33 58 26
25 43 18
34 62 34
12 29 6
24 27 18
12 59 6
17 36 10
42 54 42
8 29 2
10 32 10
58 62 58
6 53 6
32 42 26
2 53 2
55 64 50
45 57 38
40 56 34
21 45 14
12 53 6
31 54 26
15 51 10
48 59 42
43 55 38
47 63 42
31 33 26
16 22 10
7 44 2
19 54 14
16 41 10
43 44 38
53 57 46
26 30 26
10 19 10
25 37 18
14 46 14
30 52 30
1 21 1
54 64 54
17 51 10
30 38 30
15 21 10
25 33 18
16 30 10
