512 13480
5 274 1
379 465 1
122 234 2
469 492 2
200 391 4
91 393 4
73 202 5
159 497 5
93 384 6
384 460 6
145 365 7
168 420 7
346 352 8
223 352 8
275 435 9
198 275 9
216 232 10
205 439 10
447 464 11
82 495 12
221 367 12
31 238 13
163 383 14
278 383 14
132 327 15
132 314 15
49 170 18
219 240 19
157 463 19
476 491 20
242 261 20
151 356 21
48 382 21
224 457 22
68 454 22
78 125 23
153 347 24
193 402 28
38 467 29
165 451 29
196 446 30
104 110 30
68 98 32
177 393 33
393 394 33
129 252 34
252 296 34
40 49 36
388 455 37
204 323 38
204 451 38
68 457 39
94 332 40
332 475 40
211 437 41
425 437 41
143 337 42
337 416 42
298 327 44
254 264 46
149 418 46
234 421 47
63 483 47
334 484 48
168 268 48
143 288 50
72 306 51
72 260 51
438 470 52
210 368 53
197 397 54
77 197 54
225 236 55
331 487 55
182 214 57
201 209 58
405 480 58
311 328 59
148 311 59
90 362 60
70 335 62
163 453 64
295 336 65
459 494 65
84 155 66
84 258 66
87 192 67
299 388 69
108 291 70
108 318 70
289 295 71
121 324 71
482 497 73
98 176 75
179 357 76
97 325 76
246 397 77
246 481 77
431 469 79
239 431 79
243 477 80
182 361 83
268 361 83
120 145 85
364 424 86
233 387 88
430 478 89
312 478 89
254 479 92
358 409 94
134 409 94
106 188 99
203 224 102
224 413 102
263 281 103
183 496 106
379 411 107
333 379 107
286 448 110
212 448 110
199 400 111
208 335 115
219 264 116
146 180 117
209 426 117
295 313 121
133 366 124
143 449 125
436 445 126
210 374 130
210 456 130
196 307 131
218 408 133
287 338 137
304 452 138
154 508 142
254 417 144
250 371 145
312 493 150
419 493 151
340 462 152
272 348 152
198 435 156
412 490 158
377 420 162
215 230 162
395 432 163
388 485 164
222 302 167
430 474 168
422 474 168
176 229 169
425 510 174
211 492 174
327 440 175
217 489 178
277 415 185
324 406 187
233 396 189
262 331 194
262 500 194
289 324 195
271 427 200
216 392 205
277 450 206
227 277 206
241 285 220
237 255 225
363 389 231
244 351 235
376 405 241
245 466 241
269 465 253
292 342 274
371 410 278
371 403 278
334 373 282
318 453 283
401 441 297
330 359 301
387 443 306
329 350 315
380 422 334
402 472 399
433 463 406
448 467 414
483 504 421
4 382 4
260 387 260
39 176 32
55 94 7
380 481 2
1 460 1
26 457 1
107 140 107
136 210 130
422 493 89
97 312 4
108 493 7
210 309 130
1 24 1
322 428 22
250 278 145
210 510 130
272 385 152
380 413 4
143 452 138
52 102 4
110 273 1
356 382 21
178 223 4
8 223 8
2 462 2
4 147 4
241 506 1
95 405 4
79 414 1
4 263 4
376 466 241
48 422 48
41 510 41
290 422 19
1 421 1
181 426 117
62 283 62
10 95 4
128 496 106
269 509 253
323 451 38
214 228 57
265 423 7
295 431 2
2 223 2
221 498 4
1 253 1
21 48 21
125 288 50
164 327 15
1 93 1
49 220 4
4 46 4
49 247 49
155 258 66
2 480 2
104 235 1
1 140 1
81 422 48
189 308 189
2 313 2
177 316 70
343 355 59
309 374 130
18 247 18
149 417 46
83 361 83
8 352 8
112 155 66
226 313 4
43 147 4
104 113 30
108 120 14
248 381 7
172 248 41
1 319 1
7 276 7
109 423 71
7 485 7
310 327 175
297 434 297
2 230 2
184 449 23
196 303 110
89 512 48
136 389 1
48 484 48
301 359 301
114 143 2
4 392 4
1 402 1
365 486 7
246 252 2
151 312 150
23 125 23
299 485 69
120 410 85
473 483 1
316 432 64
123 191 36
160 296 7
191 332 36
234 401 2
256 434 1
184 351 2
1 40 1
165 180 1
186 395 7
80 195 80
2 330 2
324 433 187
428 460 4
4 359 4
30 415 30
263 290 103
86 370 19
431 483 47
429 490 22
1 368 1
160 418 46
7 41 7
31 59 1
1 197 1
50 304 50
65 281 65
143 391 2
22 180 22
1 47 1
60 262 2
218 366 124
213 252 1
