1024 29859
179 933 1
356 483 1
504 704 1
161 644 161
391 1023 3
305 636 19
4 140 4
322 652 40
29 325 1
532 657 2
70 754 2
177 703 5
609 610 152
2 727 2
33 531 33
816 1016 3
1 253 1
249 691 1
113 249 7
227 595 1
362 998 1
646 747 5
556 558 139
219 932 3
340 673 42
239 476 119
122 501 15
20 356 5
15 390 3
742 850 1
92 939 1
3 460 3
1 268 1
767 971 1
260 285 8
19 305 19
36 580 36
118 945 118
223 960 3
4 279 4
35 83 2
919 926 57
496 1000 62
340 662 10
540 893 1
723 752 11
126 400 3
1006 1014 31
146 847 1
296 729 2
111 231 3
116 940 58
120 721 1
300 301 150
51 411 51
164 334 41
23 664 5
68 384 1
323 834 1
282 452 1
15 505 15
2 295 2
307 655 2
661 686 10
276 579 4
59 329 1
467 934 467
5 364 5
5 162 5
1 696 1
399 965 3
100 828 25
1012 1023 63
145 364 2
121 243 121
208 925 3
1 22 1
327 682 10
102 831 51
748 773 1
52 934 3
984 1004 15
308 316 19
505 663 1
400 455 3
500 1003 250
190 741 23
375 717 11
811 864 6
2 352 2
241 581 1
603 685 2
966 977 30
127 1013 63
835 906 3
23 176 11
407 814 407
518 556 8
505 574 1
826 892 6
80 640 80
948 951 237
583 776 1
986 1024 1
43 92 5
422 797 6
183 741 11
36 147 36
79 315 39
412 544 1
500 502 125
837 982 3
717 719 179
201 825 25
32 45 2
151 555 4
466 704 1
609 1002 1
146 493 1
359 687 5
144 198 1
820 908 3
189 713 11
2 600 2
10 414 1
24 790 24
855 863 53
350 689 43
324 325 162
917 930 14
122 488 122
316 636 79
54 527 1
498 999 249
52 844 52
22 708 22
127 556 1
3 503 3
7 473 7
115 920 115
99 858 6
497 993 248
230 266 1
376 801 1
966 979 30
6 518 1
99 239 3
398 844 6
227 689 1
268 941 1
589 590 147
571 620 4
18 837 1
189 293 2
56 899 56
115 457 57
587 810 1
2 709 2
321 337 10
494 987 123
9 226 1
517 518 129
180 294 2
414 831 207
5 686 5
449 450 112
596 597 298
532 615 4
199 393 49
92 652 5
373 739 46
246 494 123
121 484 121
14 937 14
84 819 1
45 355 22
144 583 72
31 248 31
851 874 13
1 964 1
272 426 1
90 946 1
585 892 1
351 642 10
683 709 5
582 1002 1
669 908 1
767 967 1
417 829 6
428 860 107
49 335 1
26 849 26
472 778 3
17 558 17
212 787 6
104 882 13
510 668 1
116 436 3
148 502 1
431 853 53
30 246 30
431 851 53
101 800 50
222 550 1
830 1008 3
181 721 90
157 332 2
204 821 102
112 328 1
738 748 46
296 599 74
526 544 8
4 869 1
320 323 80
363 424 1
154 596 9
115 432 3
232 929 232
865 867 216
241 1003 15
628 909 1
366 733 366
97 341 1
9 306 9
320 646 80
362 877 1
558 840 1
9 624 9
83 668 83
531 539 33
693 731 5
385 808 12
543 642 2
451 521 1
24 771 24
517 662 2
150 195 1
545 836 1
238 862 3
177 709 177
26 44 1
159 305 19
2 187 2
398 757 1
283 469 1
1 40 1
388 596 1
91 648 5
291 822 1
57 926 57
369 378 23
2 851 1
41 279 2
71 325 2
358 900 1
342 716 5
7 57 7
10 160 10
296 595 148
402 732 1
362 378 11
11 181 11
150 162 2
719 772 1
216 752 1
151 982 1
182 923 1
166 333 166
940 986 7
901 1023 7
431 857 107
313 629 78
13 110 13
425 839 26
460 462 115
266 519 16
3 361 1
396 884 6
772 782 48
877 878 219
303 743 2
343 680 85
16 233 1
496 844 3
97 206 12
620 748 2
933 983 7
164 166 41
673 866 1
197 415 12
817 931 3
178 499 1
672 680 42
189 490 1
61 168 1
201 1016 3
47 767 47
347 648 10
265 491 1
54 815 6
1010 1023 63
34 687 2
256 917 1
138 540 8
242 804 3
106 859 53
