128 8128
1 104 1
97 104 104
88 97 97
88 123 88
53 123 123
42 53 53
5 42 42
5 25 5
25 55 25
39 55 55
18 39 39
18 62 18
27 62 62
27 111 27
41 111 111
41 125 41
59 125 125
2 59 59
2 89 2
85 89 89
85 112 85
74 112 112
37 74 74
4 37 37
4 99 4
3 99 99
3 126 3
17 126 126
17 114 17
98 114 114
46 98 98
16 46 46
16 67 16
52 67 67
52 79 52
75 79 79
12 75 75
12 72 12
54 72 72
54 121 54
83 121 121
83 86 83
61 86 86
61 63 61
20 63 63
20 103 20
32 103 103
32 101 32
101 128 101
15 128 128
15 23 15
23 110 23
110 120 110
14 120 120
14 90 14
51 90 90
51 76 51
9 76 76
9 102 9
80 102 102
71 80 80
24 71 71
24 29 24
29 73 29
43 73 73
26 43 43
26 119 26
44 119 119
44 56 44
56 92 56
92 105 92
50 105 105
13 50 50
13 127 13
82 127 127
82 122 82
49 122 122
49 94 49
94 96 94
30 96 96
30 109 30
21 109 109
21 93 21
35 93 93
35 115 35
108 115 115
108 117 108
70 117 117
70 106 70
77 106 106
7 77 77
7 78 7
57 78 78
47 57 57
28 47 47
28 84 28
84 116 84
68 116 116
6 68 68
6 19 6
19 45 19
40 45 45
38 40 40
38 91 38
8 91 91
8 34 8
34 65 34
31 65 65
31 48 31
48 81 48
81 113 81
58 113 113
58 118 58
33 118 118
33 64 33
64 95 64
69 95 95
69 100 69
100 124 100
66 124 124
10 66 66
10 107 10
36 107 107
11 36 36
11 60 11
60 87 60
22 87 87
1 97 1
88 104 104
97 123 97
53 88 88
42 123 123
5 53 53
25 42 42
5 55 5
25 39 25
18 55 55
39 62 39
18 27 18
62 111 62
27 41 27
111 125 111
41 59 41
2 125 125
59 89 59
2 85 2
89 112 89
74 85 85
37 112 112
4 74 74
37 99 37
3 4 4
99 126 99
3 17 3
114 126 126
17 98 17
46 114 114
16 98 98
46 67 46
16 52 16
67 79 67
52 75 52
12 79 79
72 75 75
12 54 12
72 121 72
54 83 54
86 121 121
61 83 83
63 86 86
20 61 61
63 103 63
20 32 20
101 103 103
32 128 32
15 101 101
23 128 128
15 110 15
23 120 23
14 110 110
90 120 120
14 51 14
76 90 90
9 51 51
76 102 76
9 80 9
71 102 102
24 80 80
29 71 71
24 73 24
29 43 29
26 73 73
43 119 43
26 44 26
56 119 119
44 92 44
56 105 56
50 92 92
13 105 105
50 127 50
13 82 13
122 127 127
49 82 82
94 122 122
49 96 49
30 94 94
96 109 96
21 30 30
93 109 109
21 35 21
93 115 93
35 108 35
115 117 115
70 108 108
106 117 117
70 77 70
7 106 106
77 78 77
7 57 7
47 78 78
28 57 57
47 84 47
28 116 28
68 84 84
6 116 116
19 68 68
6 45 6
19 40 19
38 45 45
40 91 40
8 38 38
34 91 91
8 65 8
31 34 34
48 65 65
31 81 31
48 113 48
58 81 81
113 118 113
33 58 58
64 118 118
33 95 33
64 69 64
95 100 95
69 124 69
66 100 100
10 124 124
66 107 66
10 36 10
11 107 107
36 60 36
11 87 11
22 60 60
1 123 1
53 104 104
42 97 97
5 88 88
25 123 123
53 55 53
39 42 42
5 18 5
25 62 25
27 55 55
39 111 39
18 41 18
62 125 62
27 59 27
2 111 111
41 89 41
85 125 125
59 112 59
2 74 2
37 89 89
4 85 85
99 112 112
3 74 74
37 126 37
4 17 4
99 114 99
3 98 3
46 126 126
16 17 17
67 114 114
52 98 98
46 79 46
16 75 16
12 67 67
52 72 52
54 79 79
75 121 75
12 83 12
72 86 72
54 61 54
63 121 121
20 83 83
86 103 86
32 61 61
63 101 63
20 128 20
15 103 103
23 32 32
101 110 101
120 128 128
14 15 15
23 90 23
51 110 110
76 120 120
9 14 14
90 102 90
51 80 51
71 76 76
9 24 9
29 102 102
73 80 80
43 71 71
24 26 24
29 119 29
44 73 73
43 56 43
26 92 26
105 119 119
44 50 44
13 56 56
92 127 92
82 105 105
50 122 50
13 49 13
94 127 127
82 96 82
30 122 122
49 109 49
21 94 94
93 96 96
30 35 30
109 115 109
21 108 21
93 117 93
35 70 35
106 115 115
77 108 108
7 117 117
70 78 70
57 106 106
47 77 77
7 28 7
78 84 78
57 116 57
47 68 47
6 28 28
19 84 84
45 116 116
40 68 68
6 38 6
19 91 19
8 45 45
34 40 40
38 65 38
31 91 91
8 48 8
34 81 34
65 113 65
31 58 31
48 118 48
33 81 81
64 113 113
58 95 58
69 118 118
33 100 33
64 124 64
66 95 95
10 69 69
100 107 100
36 124 124
11 66 66
10 60 10
87 107 107
22 36 36
1 25 1
55 104 104
39 97 97
18 88 88
62 123 123
27 53 53
42 111 42
5 41 5
25 125 25
55 59 55
2 39 39
18 89 18
62 85 62
27 112 27
74 111 111
37 41 41
4 125 125
59 99 59
2 3 2
89 126 89
17 85 85
112 114 112
74 98 74
37 46 37
4 16 4
67 99 99
3 52 3
79 126 126
17 75 17
12 114 114
72 98 98
46 54 46
16 121 16
67 83 67
52 86 52
61 79 79
63 75 75
12 20 12
72 103 72
32 54 54
101 121 121
83 128 83
15 86 86
23 61 61
63 110 63
20 120 20
14 103 103
32 90 32
51 101 101
76 128 128
9 15 15
23 102 23
80 110 110
71 120 120
14 24 14
29 90 90
51 73 51
43 76 76
9 26 9
102 119 102
44 80 80
56 71 71
24 92 24
29 105 29
50 73 73
13 43 43
26 127 26
82 119 119
44 122 44
49 56 56
92 94 92
96 105 105
30 50 50
13 109 13
21 127 127
82 93 82
35 122 122
49 115 49
94 108 94
96 117 96
30 70 30
106 109 109
21 77 21
7 93 93
35 78 35
57 115 115
47 108 108
28 117 117
70 84 70
106 116 106
68 77 77
6 7 7
19 78 78
45 57 57
40 47 47
28 38 28
84 91 84
8 116 116
34 68 68
6 65 6
19 31 19
45 48 45
40 81 40
38 113 38
58 91 91
8 118 8
33 34 34
64 65 65
31 95 31
48 69 48
81 100 81
113 124 113
58 66 58
10 118 118
33 107 33
36 64 64
11 95 95
60 69 69
87 100 100
22 124 124
1 125 1
59 104 104
2 97 97
88 89 88
85 123 123
53 112 53
42 74 42
5 37 5
4 25 25
55 99 55
3 39 39
18 126 18
17 62 62
27 114 27
98 111 111
41 46 41
16 125 125
59 67 59
2 52 2
79 89 89
75 85 85
12 112 112
72 74 74
37 54 37
4 121 4
83 99 99
3 86 3
61 126 126
17 63 17
20 114 114
98 103 98
32 46 46
16 101 16
67 128 67
15 52 52
23 79 79
75 110 75
12 120 12
14 72 72
54 90 54
51 121 121
76 83 83
9 86 86
61 102 61
63 80 63
20 71 20
24 103 103
29 32 32
73 101 101
43 128 128
15 26 15
23 119 23
44 110 110
56 120 120
14 92 14
90 105 90
50 51 51
13 76 76
9 127 9
82 102 102
80 122 80
49 71 71
24 94 24
29 96 29
30 73 73
43 109 43
21 26 26
93 119 119
35 44 44
56 115 56
92 108 92
105 117 105
50 70 50
13 106 13
77 127 127
7 82 82
78 122 122
49 57 49
47 94 94
28 96 96
30 84 30
109 116 109
21 68 21
6 93 93
19 35 35
45 115 115
40 108 108
38 117 117
70 91 70
8 106 106
34 77 77
7 65 7
31 78 78
48 57 57
47 81 47
28 113 28
58 84 84
116 118 116
33 68 68
6 64 6
19 95 19
45 69 45
40 100 40
38 124 38
66 91 91
8 10 8
34 107 34
36 65 65
11 31 31
48 60 48
81 87 81
22 113 113
1 16 1
67 104 104
52 97 97
79 88 88
75 123 123
12 53 53
42 72 42
5 54 5
25 121 25
55 83 55
39 86 39
18 61 18
62 63 62
20 27 27
103 111 111
32 41 41
101 125 125
59 128 59
2 15 2
23 89 89
85 110 85
112 120 112
14 74 74
37 90 37
4 51 4
76 99 99
3 9 3
102 126 126
17 80 17
71 114 114
24 98 98
29 46 46
16 73 16
43 67 67
26 52 52
79 119 79
44 75 75
12 56 12
72 92 72
54 105 54
50 121 121
13 83 83
86 127 86
61 82 61
63 122 63
20 49 20
94 103 103
32 96 32
30 101 101
109 128 128
15 21 15
23 93 23
35 110 110
115 120 120
14 108 14
90 117 90
51 70 51
76 106 76
9 77 9
7 102 102
78 80 80
57 71 71
24 47 24
28 29 29
73 84 73
43 116 43
26 68 26
6 119 119
19 44 44
45 56 56
40 92 92
