1024 39611
197 592 592
143 502 725
137 1010 34
167 310 310
849 869 849
843 935 899
196 365 310
149 849 849
54 944 54
37 103 37
415 555 749
428 536 892
245 616 818
556 580 518
393 547 133
310 985 310
7 573 737
73 631 668
617 671 671
716 750 634
674 802 927
34 781 996
93 118 837
489 913 370
165 997 997
580 920 511
790 816 790
283 650 558
606 868 776
120 956 825
333 669 35
238 849 849
23 261 23
201 369 201
109 533 533
858 902 592
467 688 688
266 1013 381
392 663 678
270 607 607
546 1022 353
583 837 837
754 920 754
82 584 849
278 929 231
40 601 221
141 695 695
488 643 643
593 858 695
214 278 94
235 823 734
367 671 671
792 834 792
265 648 265
90 203 1001
29 101 52
207 515 620
378 764 186
737 946 737
146 674 279
84 745 202
73 815 815
510 650 227
201 238 54
318 648 39
221 957 221
660 746 621
27 934 790
233 696 792
790 868 790
569 702 702
196 314 310
481 794 34
831 839 571
370 681 370
316 768 120
559 848 848
110 606 809
23 726 23
278 428 231
99 476 600
734 808 600
312 980 970
699 940 133
75 211 970
460 701 701
583 770 212
732 934 732
608 619 992
849 947 849
303 399 399
340 571 571
422 764 929
33 798 528
479 973 379
123 548 123
2 671 671
160 920 160
433 979 701
94 952 221
166 688 688
297 396 396
191 921 398
44 670 690
266 301 381
253 297 392
46 592 592
310 341 310
255 282 949
346 715 715
448 525 54
1 775 1
229 935 229
437 781 996
307 404 381
40 471 607
249 692 668
73 959 152
120 721 120
359 821 821
510 685 265
205 691 23
470 836 836
196 435 310
52 153 52
111 648 913
549 979 607
191 356 702
315 357 357
445 970 970
2 24 643
265 726 839
762 966 966
504 839 839
383 390 390
659 753 257
443 587 229
355 992 641
382 441 970
686 951 94
32 957 32
112 913 913
736 773 736
713 825 825
98 953 1
781 999 678
575 985 849
382 787 35
327 619 486
411 612 357
84 522 202
318 752 149
428 548 892
225 340 67
452 959 152
474 690 690
21 797 204
809 832 809
389 459 389
482 560 133
901 1001 1001
123 435 435
396 662 396
203 595 769
32 125 32
520 919 381
87 920 511
113 184 234
240 884 688
495 597 949
383 646 621
435 480 234
109 273 54
879 935 899
132 935 310
273 758 419
44 818 818
449 1012 1001
1 972 1
263 682 263
784 806 486
139 283 558
250 618 665
310 962 310
431 837 837
78 768 205
297 967 392
303 1016 688
23 630 23
343 505 849
310 466 310
577 935 751
131 257 701
317 988 617
106 486 486
102 956 695
690 853 734
644 830 644
370 718 370
126 845 226
263 569 263
60 749 749
63 654 654
806 889 486
54 477 54
190 991 354
40 520 221
655 670 702
423 433 701
334 624 815
155 336 7
160 629 160
171 738 171
417 463 396
680 935 35
507 817 877
49 819 49
440 512 821
19 216 354
155 641 641
851 926 695
101 848 848
666 809 809
41 866 41
191 272 398
306 893 72
929 1010 34
330 970 970
33 935 528
759 839 839
249 385 701
432 828 698
430 607 607
54 135 54
783 903 698
315 1005 23
400 957 821
574 843 899
477 900 7
245 587 818
211 293 518
651 696 392
614 647 32
377 507 379
221 889 221
433 790 790
512 707 511
724 738 724
950 976 160
675 754 370
864 947 749
776 966 776
53 936 399
478 863 46
511 827 827
106 682 876
443 1006 641
15 636 87
729 968 955
723 922 123
644 976 644
443 529 529
328 763 820
673 945 533
161 466 915
820 846 820
139 777 558
522 753 837
14 650 827
301 691 23
356 613 702
265 970 970
528 750 528
253 802 715
160 756 160
7 607 607
111 961 54
496 874 892
878 897 89
437 463 396
250 279 279
7 128 7
170 780 665
523 827 1008
149 293 518
248 1013 370
97 216 97
492 543 736
830 935 152
37 497 37
282 925 949
190 1015 1014
624 737 737
245 328 818
504 596 49
133 282 133
224 479 396
58 654 571
836 914 836
1 974 1
537 990 363
101 511 511
30 263 263
608 628 357
100 113 790
88 932 789
519 558 815
22 1011 769
34 983 39
629 758 419
192 468 171
258 265 592
327 836 836
106 191 398
46 625 52
560 873 37
579 845 821
749 939 749
900 995 7
210 406 732
210 428 892
583 953 632
298 912 899
252 441 970
232 638 46
145 256 421
295 428 37
62 911 792
387 451 792
130 723 620
328 450 820
206 589 607
378 571 571
229 791 732
568 743 671
196 615 310
595 891 966
143 144 16
212 349 97
261 977 607
606 629 39
152 709 152
123 290 996
184 955 955
790 952 790
637 906 671
26 381 7
524 652 917
267 726 839
851 885 644
489 699 370
81 226 654
206 470 607
19 797 354
52 53 52
770 908 908
92 820 820
270 724 839
446 779 701
465 977 607
40 199 643
207 875 917
275 826 399
305 712 72
413 768 263
828 863 32
63 702 702
419 481 419
173 712 72
37 1017 37
275 571 571
297 831 571
793 935 123
153 314 310
577 720 751
120 761 183
128 408 815
283 345 632
238 944 54
372 885 644
143 802 805
964 997 997
210 619 992
231 908 908
158 453 291
93 174 643
47 377 379
197 296 323
657 914 16
191 518 518
577 828 698
412 700 46
28 916 10
185 855 37
1 424 1
874 935 874
668 802 668
217 672 955
206 935 607
102 900 695
491 769 769
584 955 849
435 1015 435
803 959 7
577 893 844
127 554 10
776 958 776
1 277 1
313 955 955
451 805 805
25 996 996
241 578 180
518 642 518
384 783 180
367 518 518
132 687 310
580 860 839
73 616 913
424 520 1014
23 431 23
353 644 644
676 715 737
276 947 379
565 744 87
263 552 263
13 955 955
315 758 419
235 494 915
3 382 419
722 1022 353
118 235 789
23 48 23
89 520 89
192 419 419
455 953 204
136 189 97
637 685 671
252 921 558
250 657 16
300 867 604
352 981 204
666 899 533
705 718 915
263 900 263
184 475 89
206 664 607
24 915 915
392 658 392
83 873 37
385 442 701
164 562 370
16 116 16
466 818 818
138 249 668
76 934 805
202 877 202
414 942 279
818 849 818
148 701 701
330 865 688
259 935 419
234 957 234
277 313 41
564 969 435
567 935 1008
520 988 421
14 45 827
817 893 877
36 900 7
571 768 571
43 292 917
643 702 643
909 1014 52
454 655 702
356 809 809
533 746 533
225 757 837
368 712 368
391 823 849
575 868 776
505 584 849
778 971 818
217 310 310
828 927 927
204 819 734
266 919 381
443 479 634
127 968 955
31 370 370
37 187 37
585 974 312
9 161 379
265 561 265
396 939 396
499 982 201
620 987 263
14 435 435
640 781 996
297 915 915
264 754 754
203 487 1001
760 959 152
442 842 1001
272 1014 1014
603 727 688
416 1009 257
97 867 97
829 840 37
13 299 35
153 227 702
310 602 310
117 530 949
550 854 435
150 681 820
884 952 221
76 764 317
63 415 749
446 734 734
528 770 528
32 946 32
36 410 569
587 776 776
15 780 665
796 816 825
363 984 363
408 836 815
236 583 751
544 556 518
79 331 256
20 588 357
202 427 202
390 1012 390
364 409 641
370 612 370
246 303 688
290 490 49
124 144 149
152 321 152
552 605 805
418 1003 152
112 565 47
5 935 809
210 291 291
221 673 221
373 956 399
110 518 518
143 872 848
416 873 37
142 790 790
421 821 821
292 985 849
263 412 263
242 575 46
51 89 89
30 568 644
702 822 702
202 366 202
10 846 809
59 592 592
88 722 789
195 942 398
408 935 815
59 1003 160
44 409 690
74 1015 389
879 978 899
255 439 586
109 609 611
465 791 732
585 931 256
575 624 46
724 1001 1001
301 653 518
152 349 152
565 753 47
200 209 617
23 72 23
792 822 792
800 1009 322
15 465 317
296 654 654
67 594 67
520 951 421
453 876 56
37 534 37
615 1001 1001
