512 100000
73 76 73
115 350 115
4 324 4
206 341 206
180 229 180
149 282 149
160 449 160
129 479 129
28 87 28
160 326 160
241 278 241
225 227 225
44 68 44
87 316 87
198 216 198
198 238 198
225 469 225
15 106 15
12 482 12
79 313 79
158 296 158
193 403 193
12 21 12
93 171 93
212 321 212
66 345 66
97 148 97
93 328 93
238 412 238
225 252 225
156 256 156
133 278 133
32 177 32
20 336 20
32 502 32
218 453 218
92 396 92
223 466 223
181 290 181
148 363 148
184 276 184
164 498 164
137 229 137
75 149 75
45 217 45
120 138 120
6 303 6
44 410 44
13 364 13
241 380 241
1 390 1
1 377 1
227 385 227
115 382 115
140 290 140
38 255 38
23 329 23
207 464 207
240 354 240
65 276 65
154 281 154
212 335 212
97 213 97
54 504 54
314 325 314
59 451 59
39 194 39
47 337 47
132 301 132
77 338 77
238 349 238
110 423 110
24 333 24
79 151 79
235 472 235
38 78 38
12 268 12
164 492 164
176 221 176
244 359 244
44 295 44
113 158 113
29 271 29
37 316 37
27 491 27
173 465 173
128 164 128
3 157 3
11 296 11
83 432 83
59 133 59
172 200 172
181 366 181
104 255 104
12 258 12
106 109 106
90 292 90
110 360 110
66 364 66
147 317 147
89 232 89
107 398 107
69 82 69
39 268 39
188 282 188
41 268 41
231 263 231
51 137 51
74 222 74
141 190 141
123 169 123
11 101 11
185 353 185
31 155 31
54 86 54
5 315 5
36 196 36
100 442 100
378 395 378
37 379 37
234 459 234
142 350 142
148 328 148
1 23 1
77 512 77
138 204 138
191 304 191
20 295 20
246 370 246
65 265 65
69 166 69
68 108 68
62 420 62
165 192 165
223 401 223
160 506 160
206 212 206
109 473 109
84 135 84
186 199 186
37 321 37
82 189 82
167 302 167
236 490 236
140 168 140
108 286 108
111 325 111
237 300 237
23 307 23
178 339 178
139 293 139
40 438 40
194 373 194
183 219 183
28 395 28
127 474 127
237 387 237
109 373 109
221 322 221
102 293 102
194 505 194
239 307 239
163 280 163
44 507 44
38 208 38
100 218 100
28 91 28
245 505 245
87 367 87
433 450 433
107 382 107
214 360 214
172 376 172
87 473 87
15 261 15
186 399 186
200 352 200
201 254 201
19 364 19
47 166 47
199 323 199
39 320 39
60 146 60
196 438 196
166 281 166
20 448 20
248 414 248
225 464 225
209 332 209
52 160 52
50 100 50
58 368 58
196 232 196
193 409 193
28 385 28
199 364 199
222 358 222
224 379 224
106 399 106
205 402 205
276 287 276
32 145 32
173 488 173
7 30 7
30 399 30
315 442 315
217 279 217
27 353 27
193 195 193
52 292 52
148 352 148
73 287 73
178 428 178
187 311 187
111 327 111
150 452 150
109 405 109
113 221 113
151 302 151
149 204 149
42 323 42
225 298 225
9 356 9
94 316 94
107 254 107
50 508 50
184 418 184
23 261 23
123 385 123
106 136 106
46 120 46
18 135 18
184 503 184
46 220 46
51 507 51
41 312 41
135 226 135
28 321 28
197 226 197
242 290 242
171 397 171
136 317 136
196 357 196
81 247 81
107 192 107
148 484 148
218 290 218
98 395 98
5 121 5
62 97 62
135 183 135
393 395 393
3 322 3
191 348 191
150 346 150
236 311 236
135 259 135
