256 11936
52 117 1
16 36 117
44 160 36
147 238 44
106 250 238
28 70 250
22 176 28
25 228 22
207 236 228
79 192 236
121 134 192
139 194 134
75 185 194
101 146 185
215 233 146
34 133 215
100 107 133
48 162 107
148 169 48
248 256 148
174 224 256
30 43 224
6 239 43
105 132 239
26 51 105
2 197 26
39 181 197
46 157 39
3 198 157
77 120 198
60 137 120
38 242 137
9 109 242
144 255 109
211 222 255
103 196 222
80 170 196
47 49 170
223 249 47
68 72 223
187 229 68
104 143 229
13 153 143
27 182 153
119 247 182
116 190 247
125 241 190
115 158 241
53 205 115
5 20 205
150 226 20
31 56 226
40 83 56
32 63 83
130 191 32
188 210 191
102 111 210
90 91 102
66 179 91
8 232 66
4 88 8
149 227 4
62 183 227
124 231 62
151 225 231
84 145 151
76 245 145
7 201 245
54 97 201
94 123 54
204 253 123
17 129 253
59 175 17
184 216 59
45 186 184
35 141 186
81 156 35
127 171 156
92 237 127
122 214 92
73 82 214
57 86 73
140 177 57
29 254 140
33 108 29
23 209 33
98 113 23
50 85 113
11 142 85
173 221 11
87 110 173
165 251 87
163 193 165
24 99 163
202 208 99
18 159 208
96 217 159
167 178 96
218 220 178
58 168 218
164 235 168
41 155 235
64 69 41
219 234 69
15 138 234
12 152 138
154 212 152
112 203 154
93 195 203
55 166 195
135 244 55
10 200 244
37 206 10
78 89 206
74 180 89
14 67 74
61 128 14
95 243 128
161 240 95
114 246 161
65 230 114
126 189 65
136 199 126
131 252 136
19 213 252
21 71 19
118 172 71
42 52 1
16 42 117
42 160 36
42 147 44
42 106 238
42 70 250
42 176 28
25 42 22
42 207 228
42 79 236
42 121 192
42 139 134
42 75 194
42 101 185
42 233 146
34 42 215
42 100 133
42 162 107
42 169 48
42 248 148
42 174 256
30 42 224
6 42 43
42 132 239
42 51 105
2 42 26
42 181 197
42 46 39
3 42 157
42 77 198
42 60 120
38 42 137
9 42 242
42 144 109
42 211 255
42 103 222
42 80 196
42 49 170
42 249 47
42 72 223
42 187 68
42 104 229
13 42 143
27 42 153
42 119 182
42 116 247
42 125 190
42 158 241
42 53 115
5 42 205
42 150 20
31 42 226
40 42 56
42 63 83
42 130 32
42 188 191
42 111 210
42 90 102
42 179 91
42 232 66
42 88 8
42 149 4
42 183 227
42 124 62
42 225 231
42 84 151
42 76 145
7 42 245
42 97 201
42 94 54
42 204 123
42 129 253
42 175 17
42 216 59
42 45 184
42 141 186
42 81 35
42 171 156
42 237 127
42 122 92
42 82 214
42 86 73
42 177 57
42 254 140
42 108 29
42 209 33
42 98 23
42 50 113
42 142 85
42 221 11
42 110 173
42 251 87
42 193 165
24 42 163
42 202 99
18 42 208
42 217 159
42 167 96
42 220 178
42 58 218
42 164 168
42 155 235
42 64 41
42 219 69
15 42 234
12 42 138
42 212 152
42 112 154
42 93 203
42 166 195
42 135 55
42 200 244
37 42 10
42 78 206
42 180 89
42 67 74
42 61 14
42 243 128
42 240 95
42 246 161
42 230 114
42 189 65
42 199 126
42 131 136
42 213 252
21 42 19
42 172 71
1 42 1
42 117 117
36 42 36
42 44 44
42 238 238
42 250 250
28 42 28
22 42 22
42 228 228
42 236 236
42 192 192
42 134 134
42 194 194
42 185 185
42 146 146
42 215 215
42 133 133
42 107 107
42 48 48
42 148 148
42 256 256
42 224 224
42 43 43
