1024 39496
291 924 284
643 704 632
156 326 146
38 734 38
8 428 8
968 970 962
728 1021 728
534 535 524
122 884 122
86 198 86
393 621 386
819 927 812
789 873 782
254 924 254
268 358 260
734 875 734
594 894 584
674 967 674
470 726 470
474 1022 464
156 695 146
844 886 836
381 503 374
418 682 410
702 775 692
236 456 236
481 844 470
638 788 638
635 1022 626
400 822 392
530 630 530
82 279 74
859 949 848
644 674 644
318 581 308
108 740 98
826 1016 818
533 864 524
821 856 812
116 280 116
194 597 194
460 461 452
333 710 326
656 716 656
188 980 188
592 595 584
164 884 164
770 917 770
448 511 440
328 645 320
205 481 194
226 908 218
188 237 188
4 452 1
949 1018 938
65 185 56
727 1019 716
784 1008 776
458 687 458
499 631 488
70 644 62
458 957 458
38 993 38
169 175 158
346 583 338
209 983 200
260 876 260
468 912 458
9 853 2
422 663 422
2 81 2
683 823 674
946 1022 938
248 296 248
686 689 680
38 209 38
383 978 374
89 256 80
329 1022 320
345 753 338
270 352 260
545 664 536
527 535 518
1015 1022 1004
157 838 146
661 962 650
38 94 38
7 161 1
325 465 314
437 439 428
177 597 170
21 210 14
641 669 632
596 926 596
876 911 866
597 662 590
568 778 560
320 730 320
50 171 50
32 112 32
322 616 314
704 706 698
548 1005 548
558 783 548
260 737 260
44 652 44
728 1022 728
523 809 512
717 876 710
226 1013 218
1015 1024 1004
714 995 704
162 163 152
294 970 284
8 173 8
428 642 428
285 709 278
176 496 176
56 388 56
824 1023 824
676 986 668
204 982 194
256 409 248
164 166 158
178 619 170
308 570 308
10 335 2
35 305 26
632 770 632
938 1022 938
44 610 44
103 948 92
458 932 458
350 371 350
262 746 254
387 811 380
161 323 152
439 733 428
14 282 14
398 400 392
37 482 26
200 730 200
98 235 98
443 504 434
499 814 488
339 341 332
285 289 278
218 259 218
326 459 326
356 683 356
347 433 338
170 468 170
378 781 368
226 300 218
607 768 596
674 892 674
97 574 86
158 427 158
251 979 242
332 460 332
310 703 302
26 30 20
335 459 326
190 908 182
309 872 302
185 459 176
233 578 224
92 508 92
294 960 284
626 1003 626
395 493 386
635 637 626
497 751 488
31 471 20
629 697 620
935 937 926
137 138 128
475 760 464
248 786 248
869 954 860
395 826 386
401 466 392
8 103 8
634 643 626
665 732 656
442 794 434
944 947 938
183 298 176
943 985 932
337 852 326
140 737 140
214 216 206
770 772 764
659 870 650
556 651 548
386 892 386
11 713 2
373 481 362
985 1009 974
752 1019 752
754 995 746
47 286 38
80 147 80
598 1022 590
410 838 410
80 851 80
354 598 344
299 604 290
152 614 152
266 342 266
469 485 458
108 203 98
82 686 74
314 492 314
275 371 266
428 439 428
74 253 74
114 479 104
774 955 764
598 927 590
89 917 80
43 857 32
96 97 86
165 275 158
978 1010 968
282 973 272
45 259 38
768 861 758
139 961 128
764 926 764
432 819 422
726 1015 716
42 1022 32
279 694 272
128 157 128
637 915 626
234 836 224
374 431 374
697 869 686
686 691 680
474 610 464
39 949 32
189 703 182
55 755 44
176 780 176
356 970 356
397 1018 386
500 880 500
548 725 548
140 661 140
168 870 158
657 763 650
856 936 848
501 878 494
84 744 74
584 588 578
264 367 254
609 715 602
180 388 170
571 750 560
302 360 302
778 972 770
815 1022 806
236 913 236
356 475 356
471 760 464
142 481 134
44 658 44
675 921 668
362 505 362
108 424 98
367 616 356
71 790 62
446 905 446
798 984 788
524 655 524
686 1022 686
557 665 548
449 935 440
252 376 242
116 683 116
179 729 170
182 637 182
751 907 740
438 445 428
1014 1015 1004
814 869 806
539 955 530
296 877 296
526 627 518
444 839 434
240 814 230
644 882 644
104 301 104
308 509 308
146 199 146
907 1024 896
44 52 44
309 424 302
376 685 368
40 303 32
116 367 116
548 553 542
22 818 14
44 811 44
589 641 578
266 581 266
104 207 104
158 212 158
290 458 290
336 855 326
65 580 56
768 835 758
443 896 434
81 274 74
870 947 860
756 940 746
20 54 20
512 854 512
619 678 608
602 720 602
438 968 428
230 464 230
332 334 326
200 672 200
38 452 38
326 329 320
288 451 278
597 1021 590
437 663 428
653 949 644
658 713 650
18 690 8
748 954 740
576 1022 566
33 48 26
537 719 530
436 683 428
861 990 854
79 390 68
102 716 92
891 966 884
133 197 122
172 766 164
296 611 296
290 314 290
344 507 344
164 705 164
601 608 590
2 200 2
338 710 338
2 404 2
488 986 488
54 896 44
176 351 176
576 1010 566
680 698 680
101 538 92
510 571 500
599 644 590
718 962 710
987 1006 980
171 277 164
178 796 170
303 422 296
142 865 134
377 607 368
14 821 14
74 748 74
354 664 344
412 423 404
309 892 302
1 12 1
209 637 200
201 371 194
20 220 20
331 788 320
230 657 230
591 992 584
164 396 164
447 636 440
374 489 374
877 1008 866
357 703 350
519 621 512
62 189 62
140 847 140
750 1022 740
386 597 386
659 661 650
248 1007 248
278 885 278
551 602 542
540 663 530
334 681 326
611 946 602
270 358 260
503 646 494
206 218 206
615 861 608
104 720 104
102 121 92
639 1015 632
20 214 20
715 825 704
62 699 62
675 916 668
578 871 578
674 731 674
447 450 440
20 723 20
129 634 122
318 736 308
874 946 866
136 1022 128
127 174 116
84 151 74
335 715 326
13 696 2
677 679 668
44 59 44
220 1022 212
34 323 26
883 1022 872
934 999 926
64 327 56
50 365 50
278 523 278
446 653 446
344 376 344
398 790 398
205 820 194
302 840 302
32 73 32
831 967 824
526 619 518
2 347 2
732 910 722
782 1022 782
767 779 758
755 1001 746
184 186 176
845 1022 836
225 624 218
352 1011 344
1007 1017 998
62 929 62
315 459 308
300 1021 290
224 533 224
464 650 464
572 858 572
458 875 458
596 1017 596
33 37 26
114 703 104
676 702 668
74 323 74
687 772 680
227 715 218
922 1017 914
890 894 884
781 879 770
15 443 8
430 466 422
276 277 266
169 542 158
616 619 608
80 83 74
182 569 182
694 1017 686
21 610 14
182 236 182
176 293 176
68 195 68
44 86 44
562 927 554
956 1022 956
6 141 1
639 902 632
357 470 350
270 1013 260
215 237 206
294 915 284
648 649 638
135 136 128
44 162 44
110 858 110
881 1007 872
188 476 188
193 833 182
924 930 914
647 1004 638
596 656 596
254 568 254
3 285 1
631 765 620
248 402 248
112 415 104
448 560 440
491 1006 482
99 359 92
683 969 674
854 858 848
502 1009 494
235 515 224
8 412 8
50 253 50
189 572 182
674 829 674
358 839 350
591 644 584
