64 1643
42 54 1
19 24 1
30 31 2
55 60 2
49 54 3
14 58 4
47 48 4
11 39 5
21 30 5
10 16 8
26 46 8
45 52 9
41 45 9
18 59 13
48 57 17
29 36 25
36 57 25
54 62 27
39 51 28
39 58 37
61 63 38
46 55 2
37 61 5
49 62 3
2 40 2
11 21 5
3 41 1
40 63 25
16 53 8
1 63 1
26 53 8
49 56 3
4 14 4
17 40 17
1 43 1
44 56 3
29 57 25
11 22 5
56 62 27
5 25 5
17 45 1
29 48 17
38 57 25
23 34 13
37 44 1
9 37 1
14 19 4
7 56 1
51 58 28
24 41 1
22 33 2
1 17 1
48 63 17
1 8 1
6 16 5
34 59 13
22 46 8
37 50 28
36 59 4
12 41 9
34 48 4
50 58 28
2 38 2
29 38 25
6 12 1
1 44 1
7 58 1
1 55 1
12 39 1
17 57 17
24 31 1
1 31 1
23 36 4
2 39 2
20 62 1
13 59 13
18 23 13
18 30 4
38 53 8
4 39 4
28 40 5
6 60 2
9 31 1
31 33 2
18 34 18
12 45 9
53 61 8
6 30 5
13 33 2
8 46 8
1 25 1
4 34 4
17 21 5
39 54 1
11 19 5
9 58 1
25 38 25
18 47 4
1 11 1
22 23 4
41 50 1
6 39 6
9 64 9
4 62 1
2 48 2
18 60 2
4 7 1
38 47 4
20 38 8
26 56 1
2 16 2
1 27 1
33 60 2
42 45 1
16 20 8
27 44 3
52 58 1
3 57 1
3 42 1
27 49 3
1 53 1
1 3 1
1 24 1
14 23 4
12 51 1
24 53 1
46 50 5
47 54 1
2 50 2
50 63 5
26 36 25
2 19 2
20 21 5
2 60 2
25 60 2
33 47 2
13 26 4
11 33 2
45 64 9
19 30 19
2 6 2
12 15 12
43 56 1
18 57 4
37 51 28
53 62 1
5 38 5
3 24 1
4 20 4
22 48 17
1 19 1
32 57 8
26 48 17
17 34 4
13 58 4
34 47 4
33 52 1
5 19 5
11 45 1
1 10 1
38 40 25
14 35 2
21 60 2
25 58 5
32 38 8
32 59 4
26 39 5
31 39 2
1 9 1
27 54 27
9 56 1
7 20 1
22 26 22
19 63 5
1 48 1
32 62 1
40 48 17
53 63 8
1 21 1
9 12 9
36 48 17
5 22 5
4 25 4
4 46 4
44 45 1
11 48 5
32 53 8
17 58 5
28 50 28
28 47 4
10 20 8
3 49 3
28 57 5
36 63 25
11 17 5
1 7 1
10 63 8
9 42 1
42 62 1
13 43 1
4 58 4
31 35 31
25 64 1
24 28 1
16 59 4
28 51 28
44 62 3
17 29 17
4 30 4
45 63 1
57 63 25
3 56 3
20 46 8
37 39 37
4 28 4
45 55 1
20 32 8
4 22 4
10 46 10
41 51 1
33 35 2
11 18 4
55 57 2
1 45 1
33 56 1
19 21 5
22 63 22
33 48 2
4 33 2
1 42 1
1 37 1
4 18 4
1 2 1
42 57 1
2 30 2
7 27 1
41 63 1
20 53 20
4 21 4
11 53 5
1 39 1
20 61 8
1 23 1
8 44 1
4 17 4
25 55 2
47 51 4
47 57 4
52 62 1
38 48 17
18 51 4
15 16 1
17 23 4
21 28 5
2 23 2
22 31 2
30 43 1
27 51 1
10 33 2
15 59 1
41 42 1
48 60 2
29 35 2
26 59 4
20 29 8
7 49 1
11 56 1
2 4 2
22 61 22
7 43 7
2 28 2
43 57 1
31 41 1
17 32 8
28 56 1
33 59 2
1 33 1
25 39 5
2 14 2
4 63 4
1 34 1
26 31 2
29 61 25
1 13 1
30 51 5
33 36 2
8 56 1
11 35 2
24 45 1
1 56 1
11 63 5
3 30 1
3 54 3
25 32 8
1 32 1
25 36 25
3 15 1
5 39 5
5 40 5
50 61 5
18 28 4
2 63 2
54 56 54
11 30 5
36 45 1
32 42 1
7 10 1
14 46 4
20 35 2
6 14 4
4 11 4
30 39 5
9 46 1
6 58 6
4 37 4
12 38 1
21 29 5
13 14 4
43 61 1
38 59 4
31 40 2
31 50 2
1 61 1
50 54 1
10 36 8
1 22 1
4 36 4
39 48 5
40 50 5
32 41 1
1 40 1
37 58 37
14 18 4
1 47 1
24 64 1
4 45 1
15 64 15
20 63 8
18 52 1
3 32 1
20 48 8
22 35 2
23 59 23
23 57 4
17 61 17
1 41 1
7 54 1
25 34 4
8 32 8
16 63 16
15 61 1
9 45 9
14 34 4
41 47 1
39 50 28
34 45 1
36 40 25
24 42 24
1 12 1
36 61 25
25 53 8
46 59 4
14 64 1
13 46 4
1 28 1
4 40 4
9 52 9
16 36 16
5 46 5
42 43 1
2 47 2
26 64 1
25 31 2
41 52 41
16 54 1
15 28 1
2 10 2
7 15 1
4 50 4
43 55 1
21 58 5
10 61 8
41 43 1
1 54 1
15 51 1
8 27 1
34 49 1
51 64 1
37 62 1
2 33 2
23 46 4
2 11 2
22 34 4
10 14 4
7 12 1
3 62 3
2 55 2
48 53 8
2 5 2
18 62 1
48 61 17
30 48 5
26 61 26
6 25 5
46 58 5
22 60 2
23 25 4
2 13 2
28 38 5
16 48 16
3 27 3
20 50 5
13 18 13
5 26 5
10 22 8
46 47 4
5 53 5
21 63 5
8 61 8
16 38 16
25 48 17
10 21 5
14 63 4
19 29 5
15 45 9
4 10 4
5 16 5
4 16 4
13 28 4
8 14 4
5 51 5
31 55 2
3 40 1
15 57 1
32 52 1
1 50 1
1 58 1
42 60 1
10 23 4
14 38 4
11 23 4
10 59 4
35 37 2
4 35 2
10 48 8
16 45 1
22 25 22
25 26 25
23 47 4
24 39 1
5 31 2
2 36 2
30 56 1
31 60 31
26 33 2
1 18 1
44 57 1
21 32 5
17 24 1
38 39 5
16 32 8
4 13 4
10 38 8
14 16 4
43 50 1
28 64 1
4 23 4
11 55 2
2 8 2
23 24 1
29 63 25
5 28 5
3 44 3
7 19 1
5 20 5
1 20 1
5 13 4
2 21 2
52 64 9
16 46 8
42 52 1
25 63 25
11 38 5
17 41 1
43 60 1
58 59 4
7 42 1
37 42 1
31 61 2
62 63 1
49 51 1
19 31 2
29 46 8
19 43 1
10 41 1
15 41 9
11 25 5
1 16 1
8 37 5
26 57 25
28 34 4
23 38 4
30 52 1
9 19 1
35 55 2
39 46 5
13 25 4
30 61 5
21 43 1
9 41 9
39 40 5
24 26 1
5 62 1
1 59 1
2 46 2
13 47 4
15 42 1
8 43 1
46 57 8
47 59 4
4 47 4
25 29 25
46 53 8
44 54 3
17 55 2
27 55 1
1 49 1
18 31 2
8 21 5
8 55 2
27 45 1
8 26 8
21 51 5
51 53 5
45 57 1
49 50 1
3 52 1
1 36 1
34 43 1
5 11 5
46 54 1
56 64 1
6 21 5
39 63 5
15 44 1
39 55 2
2 35 2
25 44 1
34 64 1
5 36 5
30 63 5
8 38 8
14 51 4
46 51 5
41 48 1
5 52 1
1 57 1
33 39 2
27 29 1
7 52 1
43 46 1
5 30 5
3 45 1
14 45 1
19 26 5
24 48 1
17 54 1
47 50 4
11 24 1
7 30 1
25 28 5
8 60 2
30 46 5
6 11 5
4 61 4
15 52 9
55 62 1
31 42 1
6 41 1
23 50 4
15 49 1
37 63 5
4 8 4
31 59 2
5 54 1
44 49 44
37 41 1
20 33 2
18 50 4
30 50 5
1 15 1
23 26 4
15 62 1
4 41 1
18 21 4
38 63 38
21 55 2
40 53 8
25 51 5
8 22 8
12 52 9
32 34 4
29 40 29
11 28 5
4 24 1
6 32 5
20 22 8
36 52 1
7 11 1
8 19 5
6 57 5
5 50 5
4 59 4
15 30 1
4 5 4
10 53 8
7 24 1
29 56 1
8 36 8
8 59 4
9 15 9
26 32 8
35 51 2
14 25 4
33 64 1
15 29 1
24 43 1
8 63 8
14 54 1
55 61 2
35 43 1
3 13 1
52 63 1
24 27 1
19 39 5
8 53 8
2 20 2
14 33 2
39 57 5
15 27 1
12 24 1
41 64 9
55 59 2
9 47 1
35 61 2
1 52 1
7 44 1
4 53 4
34 56 1
36 46 8
10 35 2
45 47 1
40 58 5
6 28 6
27 30 1
30 37 5
9 14 1
31 49 1
24 50 1
6 37 6
23 64 1
2 32 2
32 43 1
4 48 4
53 59 4
5 57 5
14 22 4
11 26 5
42 63 1
22 57 22
30 58 5
7 35 1
48 52 1
49 61 1
34 58 4
5 58 5
47 61 4
16 17 16
41 62 1
26 40 25
8 10 8
40 60 2
2 26 2
30 44 1
1 14 1
4 43 1
34 62 1
32 36 8
7 47 1
3 39 1
28 37 28
2 25 2
1 30 1
5 29 5
33 63 2
25 40 25
30 60 2
26 29 25
17 43 1
24 44 1
3 18 1
12 64 12
40 57 25
19 48 5
18 38 4
8 54 1
8 16 8
46 61 8
27 37 1
21 38 5
18 45 1
27 60 1
29 55 2
32 50 5
8 48 8
21 50 5
52 54 1
5 21 5
12 30 1
14 59 4
49 60 1
43 49 1
11 14 4
18 55 2
14 31 2
13 37 4
24 33 1
45 60 1
44 63 1
10 25 8
35 40 2
38 60 2
16 30 5
25 50 5
16 40 16
14 21 4
21 48 5
25 41 1
5 8 5
2 18 2
8 17 8
7 57 1
5 17 5
28 46 5
11 61 5
