1024 100000
207 262 1
334 659 1
426 574 1
237 488 1
475 959 1
32 847 1
7 356 1
295 966 1
727 997 1
374 909 1
33 829 1
520 924 1
163 625 1
704 802 1
243 725 1
257 997 1
489 757 1
551 773 1
207 748 1
892 921 1
602 747 1
534 878 1
534 979 1
576 853 1
551 782 1
25 687 1
44 905 1
534 921 1
352 656 1
816 1021 1
202 532 1
334 356 1
102 871 1
203 423 1
281 779 1
108 426 1
51 898 1
137 461 1
65 545 1
190 847 1
223 559 1
239 893 1
23 218 1
370 728 1
280 917 1
69 913 1
177 862 1
461 462 1
21 243 1
535 842 1
755 976 1
62 921 1
3 634 1
605 636 1
53 501 1
202 250 1
33 790 1
101 685 1
170 423 1
244 442 1
476 779 1
196 489 1
370 632 1
55 252 1
509 895 1
163 941 1
121 905 1
172 917 1
431 574 1
263 779 1
506 974 1
23 769 1
751 842 1
922 937 1
219 532 1
149 945 1
253 997 1
108 119 1
160 207 1
370 576 1
747 879 1
620 842 1
149 311 1
588 905 1
103 603 1
29 882 1
149 260 1
223 463 1
42 108 1
438 924 1
108 647 1
116 921 1
537 834 1
144 714 1
65 273 1
576 579 1
207 734 1
631 816 1
469 834 1
709 732 1
576 721 1
740 786 1
816 995 1
847 922 1
362 797 1
314 534 1
239 370 1
389 574 1
347 997 1
295 671 1
177 313 1
180 574 1
132 1006 1
3 807 1
577 984 1
108 374 1
245 510 1
107 506 1
248 1005 1
732 844 1
163 936 1
372 521 1
23 734 1
566 746 1
711 816 1
498 898 1
89 307 1
32 481 1
381 905 1
279 408 1
292 789 1
555 656 1
58 722 1
103 463 1
25 116 1
143 882 1
550 905 1
250 473 1
69 733 1
25 576 1
492 566 1
534 759 1
23 154 1
252 644 1
177 651 1
279 712 1
671 807 1
149 162 1
130 788 1
190 296 1
234 566 1
69 288 1
583 925 1
676 925 1
511 847 1
461 682 1
149 948 1
147 830 1
770 900 1
130 432 1
130 754 1
219 370 1
574 921 1
398 947 1
121 569 1
473 526 1
790 978 1
271 362 1
442 582 1
77 909 1
121 131 1
683 1011 1
161 197 1
313 921 1
121 328 1
69 557 1
243 954 1
422 703 1
65 139 1
55 121 1
307 365 1
898 954 1
848 1020 1
714 768 1
177 948 1
190 608 1
705 813 1
150 481 1
252 544 1
481 953 1
266 604 1
111 182 1
246 248 1
862 976 1
137 802 1
397 802 1
279 405 1
147 286 1
87 576 1
23 329 1
153 847 1
370 383 1
390 630 1
286 900 1
121 506 1
314 475 1
287 656 1
576 672 1
111 900 1
766 894 1
5 884 1
113 847 1
149 955 1
525 898 1
504 895 1
688 710 1
132 330 1
121 721 1
279 421 1
864 1020 1
157 909 1
295 741 1
161 235 1
753 984 1
3 443 1
392 551 1
307 619 1
67 829 1
566 816 1
623 917 1
315 656 1
186 921 1
705 1003 1
370 788 1
102 527 1
732 1016 1
427 895 1
817 829 1
243 322 1
671 756 1
41 816 1
121 361 1
62 976 1
656 660 1
3 812 1
568 757 1
193 703 1
859 882 1
138 279 1
309 1020 1
65 170 1
155 311 1
361 890 1
488 509 1
292 920 1
207 773 1
503 740 1
763 924 1
854 976 1
72 1011 1
739 779 1
436 656 1
121 395 1
615 705 1
25 166 1
510 527 1
159 829 1
323 526 1
250 523 1
266 558 1
510 626 1
149 406 1
299 905 1
173 382 1
102 279 1
302 740 1
474 922 1
17 844 1
605 779 1
766 980 1
148 266 1
130 322 1
266 848 1
534 987 1
161 310 1
103 962 1
576 685 1
526 637 1
53 689 1
102 204 1
755 1011 1
66 925 1
69 327 1
356 933 1
903 909 1
69 459 1
469 521 1
196 356 1
161 997 1
363 847 1
566 742 1
766 997 1
462 790 1
161 199 1
847 969 1
365 488 1
69 707 1
900 966 1
711 984 1
817 895 1
900 902 1
481 732 1
411 1020 1
335 921 1
362 866 1
390 675 1
538 905 1
50 207 1
248 798 1
293 917 1
58 281 1
781 984 1
207 909 1
252 360 1
703 987 1
390 587 1
